Date,base_book_n,base_book_net,base_fade_n,base_fade_net,all_book_n,all_book_net,all_fade_n,all_fade_net
2021-12-31,1,145.0,0,0.0,1,145.0,0,0.0
2022-01-03,0,0.0,0,0.0,0,0.0,0,0.0
2022-01-04,2,240.0,0,0.0,2,240.0,1,-217.5
2022-01-05,1,3457.5,0,0.0,1,3457.5,0,0.0
2022-01-06,0,0.0,0,0.0,0,0.0,0,0.0
2022-01-07,0,0.0,0,0.0,0,0.0,0,0.0
2022-01-10,0,0.0,0,0.0,0,0.0,0,0.0
2022-01-11,0,0.0,0,0.0,0,0.0,0,0.0
2022-01-12,0,0.0,0,0.0,0,0.0,0,0.0
2022-01-13,0,0.0,0,0.0,1,2682.5,0,0.0
2022-01-14,0,0.0,0,0.0,0,0.0,0,0.0
2022-01-18,0,0.0,0,0.0,0,0.0,0,0.0
2022-01-19,0,0.0,0,0.0,0,0.0,1,-217.5
2022-01-20,2,10665.0,0,0.0,0,0.0,0,0.0
2022-01-21,1,2445.0,0,0.0,0,0.0,2,-435.0
2022-01-24,0,0.0,0,0.0,0,0.0,0,0.0
2022-01-25,0,0.0,0,0.0,0,0.0,0,0.0
2022-01-26,0,0.0,0,0.0,0,0.0,0,0.0
2022-01-27,0,0.0,0,0.0,0,0.0,0,0.0
2022-01-28,0,0.0,0,0.0,1,-1555.0,0,0.0
2022-01-31,0,0.0,0,0.0,1,1995.0,0,0.0
2022-02-01,1,-1830.0,0,0.0,1,-1830.0,0,0.0
2022-02-02,1,-905.0,0,0.0,1,-905.0,0,0.0
2022-02-03,0,0.0,0,0.0,0,0.0,0,0.0
2022-02-04,0,0.0,0,0.0,0,0.0,0,0.0
2022-02-07,1,-80.0,0,0.0,1,-80.0,0,0.0
2022-02-08,0,0.0,0,0.0,0,0.0,0,0.0
2022-02-09,0,0.0,0,0.0,0,0.0,0,0.0
2022-02-10,0,0.0,0,0.0,0,0.0,0,0.0
2022-02-11,0,0.0,0,0.0,3,10722.5,0,0.0
2022-02-14,0,0.0,1,-217.5,1,-1167.5,1,-217.5
2022-02-15,0,0.0,0,0.0,0,0.0,0,0.0
2022-02-16,1,-1042.5,0,0.0,1,-1042.5,0,0.0
2022-02-17,0,0.0,0,0.0,0,0.0,0,0.0
2022-02-18,0,0.0,1,-217.5,2,-2135.0,1,-217.5
2022-02-22,0,0.0,0,0.0,0,0.0,0,0.0
2022-02-23,1,-1067.5,1,-217.5,1,-1067.5,1,-217.5
2022-02-24,0,0.0,0,0.0,0,0.0,0,0.0
2022-02-25,0,0.0,0,0.0,0,0.0,0,0.0
2022-02-28,0,0.0,0,0.0,0,0.0,0,0.0
2022-03-01,2,2490.0,0,0.0,2,2490.0,1,-217.5
2022-03-02,2,-735.0,0,0.0,2,-735.0,0,0.0
2022-03-03,0,0.0,0,0.0,0,0.0,0,0.0
2022-03-04,0,0.0,0,0.0,0,0.0,0,0.0
2022-03-07,1,2145.0,0,0.0,1,2145.0,1,-217.5
2022-03-08,0,0.0,0,0.0,0,0.0,0,0.0
2022-03-09,0,0.0,0,0.0,0,0.0,0,0.0
2022-03-11,0,0.0,0,0.0,1,2570.0,0,0.0
2022-03-14,2,-2735.0,0,0.0,2,-2735.0,0,0.0
2022-03-15,0,0.0,0,0.0,1,1420.0,1,-217.5
2022-03-21,0,0.0,0,0.0,0,0.0,0,0.0
2022-03-22,0,0.0,0,0.0,0,0.0,1,-217.5
2022-03-23,1,-1255.0,0,0.0,1,-1255.0,0,0.0
2022-03-24,0,0.0,0,0.0,0,0.0,0,0.0
2022-03-25,0,0.0,0,0.0,0,0.0,0,0.0
2022-03-28,0,0.0,0,0.0,1,-1092.5,0,0.0
2022-03-29,0,0.0,0,0.0,0,0.0,0,0.0
2022-03-30,1,207.5,0,0.0,1,207.5,0,0.0
2022-03-31,0,0.0,0,0.0,0,0.0,1,-217.5
2022-04-01,0,0.0,1,-217.5,0,0.0,1,-217.5
2022-04-04,0,0.0,0,0.0,1,520.0,0,0.0
2022-04-05,0,0.0,1,-217.5,0,0.0,0,0.0
2022-04-06,0,0.0,0,0.0,0,0.0,0,0.0
2022-04-07,3,-2565.0,0,0.0,3,-2565.0,0,0.0
2022-04-08,0,0.0,0,0.0,2,-1760.0,0,0.0
2022-04-11,0,0.0,0,0.0,0,0.0,0,0.0
2022-04-12,0,0.0,0,0.0,0,0.0,0,0.0
2022-04-13,3,2760.0,0,0.0,3,260.0,0,0.0
2022-04-14,1,1832.5,2,1152.5,2,877.5,0,0.0
2022-04-18,0,0.0,0,0.0,3,-2865.0,0,0.0
2022-04-19,0,0.0,0,0.0,3,-1590.0,0,0.0
2022-04-20,0,0.0,0,0.0,0,0.0,0,0.0
