Date,book,dir,variant,net,mfe_r,mfe_pts
2021-07-13,WT,S,eod,357.5,1.29,10.0
2021-07-13,WT,S,gb25,282.5,1.29,10.0
2021-07-13,WT,S,gb50,207.5,1.29,10.0
2021-07-13,WT,S,peakK,195.0,1.29,10.0
2021-07-13,WT,S,t1r,370.0,1.29,10.0
2021-07-13,WT,S,d1,357.5,1.29,10.0
2021-07-14,WT,S,eod,95.0,0.88,7.0
2021-07-14,WT,S,gb25,95.0,0.88,7.0
2021-07-14,WT,S,gb50,95.0,0.88,7.0
2021-07-14,WT,S,peakK,95.0,0.88,7.0
2021-07-14,WT,S,t1r,-417.5,0.88,7.0
2021-07-14,WT,S,d1,95.0,0.88,7.0
2021-07-15,FADE,S,eod,-217.5,4.5,18.0
2021-07-15,FADE,S,gb25,-217.5,4.5,18.0
2021-07-15,FADE,S,gb50,-217.5,4.5,18.0
2021-07-15,FADE,S,peakK,-217.5,4.5,18.0
2021-07-15,FADE,S,t1r,-217.5,4.5,18.0
2021-07-15,FADE,S,d1,-217.5,4.5,18.0
2021-08-02,WT,S,eod,1132.5,2.6,29.25
2021-08-02,WT,S,gb25,732.5,2.6,29.25
2021-08-02,WT,S,gb50,482.5,2.6,29.25
2021-08-02,WT,S,peakK,695.0,2.6,29.25
2021-08-02,WT,S,t1r,545.0,2.6,29.25
2021-08-02,WT,S,d1,1132.5,2.6,29.25
2021-08-02,WT,S,eod,545.0,1.56,17.5
2021-08-02,WT,S,gb25,420.0,1.56,17.5
2021-08-02,WT,S,gb50,545.0,1.56,17.5
2021-08-02,WT,S,peakK,570.0,1.56,17.5
2021-08-02,WT,S,t1r,545.0,1.56,17.5
2021-08-02,WT,S,d1,545.0,1.56,17.5
2021-08-17,WT,S,eod,-530.0,0.17,1.75
2021-08-17,WT,S,gb25,-530.0,0.17,1.75
2021-08-17,WT,S,gb50,-530.0,0.17,1.75
2021-08-17,WT,S,peakK,-530.0,0.17,1.75
2021-08-17,WT,S,t1r,-530.0,0.17,1.75
2021-08-17,WT,S,d1,-530.0,0.17,1.75
2021-08-20,WT,S,eod,-555.0,0.44,4.75
2021-08-20,WT,S,gb25,-555.0,0.44,4.75
2021-08-20,WT,S,gb50,-555.0,0.44,4.75
2021-08-20,WT,S,peakK,-555.0,0.44,4.75
2021-08-20,WT,S,t1r,-555.0,0.44,4.75
2021-08-20,WT,S,d1,-555.0,0.44,4.75
2021-08-20,WT,L,eod,120.0,0.84,9.0
2021-08-20,WT,L,gb25,120.0,0.84,9.0
2021-08-20,WT,L,gb50,120.0,0.84,9.0
2021-08-20,WT,L,peakK,120.0,0.84,9.0
2021-08-20,WT,L,t1r,-555.0,0.84,9.0
2021-08-20,WT,L,d1,120.0,0.84,9.0
2021-08-25,WT,L,eod,-80.0,0.36,3.5
2021-08-25,WT,L,gb25,-80.0,0.36,3.5
2021-08-25,WT,L,gb50,-80.0,0.36,3.5
2021-08-25,WT,L,peakK,-80.0,0.36,3.5
2021-08-25,WT,L,t1r,-505.0,0.36,3.5
2021-08-25,WT,L,d1,-80.0,0.36,3.5
2021-08-26,WT,S,eod,-505.0,0.85,8.25
2021-08-26,WT,S,gb25,-505.0,0.85,8.25
2021-08-26,WT,S,gb50,-505.0,0.85,8.25
2021-08-26,WT,S,peakK,-505.0,0.85,8.25
2021-08-26,WT,S,t1r,-505.0,0.85,8.25
2021-08-26,WT,S,d1,-505.0,0.85,8.25
2021-08-26,WT,S,eod,307.5,0.95,9.25
2021-08-26,WT,S,gb25,307.5,0.95,9.25
2021-08-26,WT,S,gb50,307.5,0.95,9.25
2021-08-26,WT,S,peakK,307.5,0.95,9.25
2021-08-26,WT,S,t1r,-505.0,0.95,9.25
2021-08-26,WT,S,d1,307.5,0.95,9.25
2021-08-27,WT,L,eod,232.5,1.08,10.75
2021-08-27,WT,L,gb25,357.5,1.08,10.75
2021-08-27,WT,L,gb50,245.0,1.08,10.75
2021-08-27,WT,L,peakK,270.0,1.08,10.75
2021-08-27,WT,L,t1r,482.5,1.08,10.75
2021-08-27,WT,L,d1,232.5,1.08,10.75
2021-08-27,WT,L,eod,-142.5,0.32,3.25
2021-08-27,WT,L,gb25,-142.5,0.32,3.25
2021-08-27,WT,L,gb50,-142.5,0.32,3.25
2021-08-27,WT,L,peakK,-142.5,0.32,3.25
2021-08-27,WT,L,t1r,-517.5,0.32,3.25
2021-08-27,WT,L,d1,-142.5,0.32,3.25
2021-08-30,WT,L,eod,-205.0,0.35,3.75
2021-08-30,WT,L,gb25,-205.0,0.35,3.75
2021-08-30,WT,L,gb50,-205.0,0.35,3.75
2021-08-30,WT,L,peakK,-205.0,0.35,3.75
2021-08-30,WT,L,t1r,-555.0,0.35,3.75
2021-08-30,WT,L,d1,-205.0,0.35,3.75
2021-08-31,WT,L,eod,195.0,0.63,6.5
2021-08-31,WT,L,gb25,195.0,0.63,6.5
2021-08-31,WT,L,gb50,195.0,0.63,6.5
2021-08-31,WT,L,peakK,195.0,0.63,6.5
2021-08-31,WT,L,t1r,-530.0,0.63,6.5
2021-08-31,WT,L,d1,195.0,0.63,6.5
2021-09-08,WT,S,eod,-330.0,0.44,2.75
2021-09-08,WT,S,gb25,-330.0,0.44,2.75
2021-09-08,WT,S,gb50,-330.0,0.44,2.75
2021-09-08,WT,S,peakK,-330.0,0.44,2.75
2021-09-08,WT,S,t1r,-330.0,0.44,2.75
2021-09-08,WT,S,d1,-330.0,0.44,2.75
2021-09-10,FADE,S,eod,-217.5,8.56,34.25
2021-09-10,FADE,S,gb25,145.0,8.56,34.25
2021-09-10,FADE,S,gb50,207.5,8.56,34.25
2021-09-10,FADE,S,peakK,182.5,8.56,34.25
2021-09-10,FADE,S,t1r,182.5,8.56,34.25
2021-09-10,FADE,S,d1,-217.5,8.56,34.25
2021-09-10,FADE,S,eod,1257.5,7.56,30.25
2021-09-10,FADE,S,gb25,170.0,7.56,30.25
2021-09-10,FADE,S,gb50,120.0,7.56,30.25
2021-09-10,FADE,S,peakK,132.5,7.56,30.25
2021-09-10,FADE,S,t1r,182.5,7.56,30.25
2021-09-10,FADE,S,d1,1257.5,7.56,30.25
2021-09-14,FADE,S,eod,-217.5,4.75,19.0
2021-09-14,FADE,S,gb25,132.5,4.75,19.0
2021-09-14,FADE,S,gb50,82.5,4.75,19.0
2021-09-14,FADE,S,peakK,82.5,4.75,19.0
2021-09-14,FADE,S,t1r,182.5,4.75,19.0
2021-09-14,FADE,S,d1,-217.5,4.75,19.0
2021-09-16,WT,S,eod,-505.0,0.26,2.5
2021-09-16,WT,S,gb25,-505.0,0.26,2.5
2021-09-16,WT,S,gb50,-505.0,0.26,2.5
2021-09-16,WT,S,peakK,-505.0,0.26,2.5
2021-09-16,WT,S,t1r,-505.0,0.26,2.5
2021-09-16,WT,S,d1,-505.0,0.26,2.5
