kind,feature,bucket,n_tr,PF_tr,net_tr,n_te,PF_te,net_te
rule2,pushes<=q1 & prior_str<=q1,,214,0.582,-19432,204,0.937,-2732
rule2,pushes<=q1 & prior_str>=q3,,253,0.662,-19052,265,0.746,-16762
rule2,pushes<=q1 & WT,,373,0.85,-10915,409,0.776,-20382
rule2,pushes<=q1 & hour!=EOD,,1058,0.724,-65552,1102,0.824,-46322
rule2,pushes>=q3 & nth_2e<=q1,,282,0.757,-16498,292,0.957,-3148
rule2,pushes>=q3 & nth_2e>=q3,,252,0.761,-12122,306,0.749,-17330
rule2,pushes>=q3 & vix>=q3,,207,0.776,-13435,67,1.0,-10
rule2,pushes>=q3 & adr10_pct>=q3,,186,0.709,-16455,95,0.842,-5488
rule2,pushes>=q3 & consec_ct<=q1,,306,0.832,-11018,340,0.84,-13675
rule2,pushes>=q3 & consec_ct>=q3,,228,0.668,-17602,258,0.881,-6802
rule2,pushes>=q3 & doji4<=q1,,319,0.732,-19432,410,0.899,-9725
rule2,pushes>=q3 & doji4>=q3,,215,0.801,-9188,188,0.768,-10752
rule2,pushes>=q3 & WT,,200,0.777,-9875,236,0.873,-6868
rule2,pushes>=q3 & hour!=EOD,,528,0.769,-27040,589,0.865,-18995
rule2,pos_day<=q1 & drift>=q3,,161,0.893,-3955,143,0.897,-3865
rule2,pos_day<=q1 & ema_slope<=q1,,303,0.842,-11240,296,0.93,-5368
rule2,pos_day<=q1 & vs_pC<=q1,,244,0.743,-15382,209,0.793,-12108
rule2,pos_day<=q1 & nth_2e<=q1,,234,0.693,-19345,187,0.914,-4360
rule2,pos_day<=q1 & nth_2e>=q3,,196,0.736,-11705,228,0.782,-12528
rule2,pos_day<=q1 & ema20_atr<=q1,,336,0.728,-22868,325,0.91,-7562
rule2,pos_day<=q1 & stochK<=q1,,277,0.824,-12022,270,0.976,-1612
rule2,pos_day<=q1 & zl_osc<=q1,,173,0.683,-15202,159,1.113,4918
rule2,pos_day<=q1 & consec_ct<=q1,,265,0.756,-16438,234,0.796,-12732
rule2,pos_day<=q1 & consec_ct>=q3,,165,0.635,-14612,181,0.909,-4155
rule2,pos_day<=q1 & doji4<=q1,,286,0.784,-15092,289,0.844,-12082
rule2,pos_day<=q1 & WT,,181,0.8,-8655,207,0.976,-1172
rule2,pos_day<=q1 & hour!=EOD,,419,0.73,-28195,408,0.859,-14890
rule2,pos_day>=q3 & drift>=q3,,193,0.812,-5628,176,0.695,-10930
rule2,pos_day>=q3 & ema_slope>=q3,,282,0.744,-12385,313,0.783,-13528
rule2,pos_day>=q3 & vs_pC>=q3,,256,0.742,-10630,261,0.669,-15930
rule2,pos_day>=q3 & nth_2e<=q1,,176,0.652,-12742,186,1.025,932
rule2,pos_day>=q3 & nth_2e>=q3,,234,0.786,-8682,256,0.577,-22592
rule2,pos_day>=q3 & ema20_atr>=q3,,319,0.696,-18008,342,0.791,-14572
rule2,pos_day>=q3 & stochK>=q3,,213,0.75,-9715,261,0.77,-12268
rule2,pos_day>=q3 & consec_ct<=q1,,258,0.747,-12452,261,0.793,-11855
rule2,pos_day>=q3 & consec_ct>=q3,,152,0.68,-8972,181,0.71,-9805
rule2,pos_day>=q3 & doji4<=q1,,277,0.711,-15672,285,0.906,-5225
rule2,pos_day>=q3 & WT,,222,0.702,-12460,235,0.732,-12925
rule2,pos_day>=q3 & hour!=EOD,,402,0.73,-20448,436,0.775,-20130
rule2,drift<=q1 & nth_2e<=q1,,223,0.555,-29278,226,0.86,-8742
rule2,drift<=q1 & nth_2e>=q3,,203,0.652,-15590,197,0.598,-17372
rule2,drift<=q1 & adr10_pct>=q3,,154,0.569,-23745,70,0.514,-14688
rule2,drift<=q1 & consec_ct<=q1,,254,0.517,-33870,248,0.705,-18790
rule2,drift<=q1 & consec_ct>=q3,,172,0.728,-10998,175,0.824,-7325
rule2,drift<=q1 & doji4<=q1,,286,0.487,-38892,275,0.744,-17475
rule2,drift<=q1 & hour!=EOD,,413,0.613,-41540,414,0.774,-23208
rule2,drift>=q3 & rng_sf_adr>=q3,,167,0.941,-1922,155,0.943,-2300
rule2,drift>=q3 & ema_slope>=q3,,168,0.846,-4015,148,0.848,-4615
rule2,drift>=q3 & vs_pC>=q3,,188,0.751,-7190,148,0.652,-9728
rule2,drift>=q3 & nth_2e<=q1,,250,0.802,-10288,210,0.819,-9362
rule2,drift>=q3 & nth_2e>=q3,,189,0.936,-2008,189,0.771,-9608
rule2,drift>=q3 & ema20_atr>=q3,,177,0.771,-6672,152,0.729,-8735
rule2,drift>=q3 & stochK>=q3,,150,0.677,-8238,135,0.776,-6488
rule2,drift>=q3 & consec_ct<=q1,,266,0.805,-10042,225,0.864,-7312
rule2,drift>=q3 & consec_ct>=q3,,173,0.929,-2252,174,0.708,-11658
rule2,drift>=q3 & doji4<=q1,,298,0.905,-5365,277,0.941,-3698
rule2,drift>=q3 & WT,,187,0.89,-3610,181,0.801,-8405
rule2,drift>=q3 & hour!=EOD,,428,0.871,-10452,389,0.821,-16258
rule2,rng_sf_adr<=q1 & fh_adr<=q1,,214,0.684,-13695,348,0.651,-26402
rule2,rng_sf_adr<=q1 & nth_2e<=q1,,276,0.63,-26642,352,0.763,-20610
rule2,rng_sf_adr<=q1 & adr10_pct>=q3,,162,0.569,-21910,103,0.743,-9102
rule2,rng_sf_adr<=q1 & consec_ct<=q1,,229,0.706,-16708,281,0.616,-26655
rule2,rng_sf_adr<=q1 & tight15<=q1,,153,0.666,-10540,230,0.828,-7525
rule2,rng_sf_adr<=q1 & doji4<=q1,,237,0.651,-20510,310,0.817,-12775
rule2,rng_sf_adr<=q1 & hour!=EOD,,375,0.657,-31100,477,0.787,-22735
rule2,rng_sf_adr>=q3 & fh_adr>=q3,,214,0.791,-10308,298,0.834,-14090
rule2,rng_sf_adr>=q3 & nth_2e<=q1,,153,0.824,-6478,185,1.034,1862
rule2,rng_sf_adr>=q3 & nth_2e>=q3,,219,0.706,-14570,288,0.616,-30740
rule2,rng_sf_adr>=q3 & consec_ct<=q1,,210,0.727,-13375,254,0.815,-14108
rule2,rng_sf_adr>=q3 & consec_ct>=q3,,162,0.794,-7672,219,0.746,-14770
rule2,rng_sf_adr>=q3 & doji4<=q1,,257,0.807,-11635,315,0.849,-12875
rule2,rng_sf_adr>=q3 & WT,,173,0.848,-5665,232,0.821,-11248
rule2,rng_sf_adr>=q3 & hour!=EOD,,355,0.79,-17225,458,0.806,-25228
rule2,fh_adr<=q1 & nth_2e<=q1,,181,0.674,-12855,301,0.686,-22468
rule2,fh_adr<=q1 & nth_2e>=q3,,152,0.689,-8622,263,0.709,-14640
rule2,fh_adr<=q1 & consec_ct<=q1,,208,0.639,-15202,326,0.649,-25480
rule2,fh_adr<=q1 & tight15<=q1,,174,0.673,-10745,285,0.692,-16675
rule2,fh_adr<=q1 & doji4<=q1,,208,0.666,-13965,363,0.766,-18102
rule2,fh_adr<=q1 & hour!=EOD,,329,0.69,-20558,552,0.709,-34510
rule2,fh_adr>=q3 & nth_2e<=q1,,226,0.843,-8880,255,1.029,2212
rule2,fh_adr>=q3 & nth_2e>=q3,,160,0.717,-9575,210,0.69,-17050
rule2,fh_adr>=q3 & consec_ct<=q1,,220,0.713,-15900,262,0.933,-5248
rule2,fh_adr>=q3 & consec_ct>=q3,,166,0.927,-2555,203,0.817,-9590
rule2,fh_adr>=q3 & tight15>=q3,,180,0.827,-8350,259,0.88,-10308
rule2,fh_adr>=q3 & doji4<=q1,,265,0.877,-7475,323,0.978,-1928
rule2,fh_adr>=q3 & hour!=EOD,,380,0.807,-17225,459,0.9,-12895
rule2,ema_slope<=q1 & vs_pC<=q1,,213,0.828,-8590,196,0.854,-7905
rule2,ema_slope<=q1 & nth_2e<=q1,,192,0.816,-8835,176,0.922,-3742
rule2,ema_slope<=q1 & nth_2e>=q3,,180,0.72,-10988,217,0.947,-2710
rule2,ema_slope<=q1 & ema20_atr<=q1,,292,0.841,-10835,311,0.954,-3630
rule2,ema_slope<=q1 & stochK<=q1,,243,0.849,-8840,264,1.005,355
rule2,ema_slope<=q1 & consec_ct<=q1,,221,0.809,-10205,222,0.997,-160
rule2,ema_slope<=q1 & consec_ct>=q3,,151,0.717,-9618,171,0.852,-6292
rule2,ema_slope<=q1 & tight15>=q3,,160,0.683,-13562,182,0.962,-2072
rule2,ema_slope<=q1 & doji4<=q1,,249,0.807,-11245,267,0.933,-4572
rule2,ema_slope<=q1 & WT,,167,0.916,-3135,219,0.997,-132
rule2,ema_slope<=q1 & hour!=EOD,,365,0.793,-17612,386,0.958,-3992
rule2,ema_slope>=q3 & vs_pC>=q3,,216,0.731,-9530,231,0.784,-8918
rule2,ema_slope>=q3 & nth_2e<=q1,,157,0.765,-6648,176,1.286,9770
rule2,ema_slope>=q3 & nth_2e>=q3,,211,0.739,-10005,226,0.6,-18080
rule2,ema_slope>=q3 & ema20_atr>=q3,,307,0.812,-9972,336,0.839,-10805
rule2,ema_slope>=q3 & stochK>=q3,,219,0.812,-7320,247,0.924,-3722
rule2,ema_slope>=q3 & consec_ct<=q1,,225,0.808,-7500,223,0.898,-4702
rule2,ema_slope>=q3 & doji4<=q1,,255,0.738,-12525,251,1.075,3532
rule2,ema_slope>=q3 & WT,,193,0.936,-2015,215,0.768,-9888
rule2,ema_slope>=q3 & hour!=EOD,,362,0.752,-16310,400,0.899,-8012
rule2,vs_pC<=q1 & gap_atr<=q1,,284,0.812,-12620,228,0.82,-11528
rule2,vs_pC<=q1 & nth_2e<=q1,,216,0.956,-2292,193,0.88,-6728
rule2,vs_pC<=q1 & nth_2e>=q3,,210,0.592,-19925,216,0.818,-9668
rule2,vs_pC<=q1 & ema20_atr<=q1,,208,0.805,-9828,198,0.893,-5665
rule2,vs_pC<=q1 & stochK<=q1,,192,0.882,-5522,175,0.8,-9938
rule2,vs_pC<=q1 & adr10_pct>=q3,,153,0.839,-7378,70,0.829,-4638
rule2,vs_pC<=q1 & consec_ct<=q1,,251,0.734,-16742,227,0.806,-12872
rule2,vs_pC<=q1 & consec_ct>=q3,,175,0.857,-5475,182,0.919,-3522
rule2,vs_pC<=q1 & doji4<=q1,,284,0.852,-9708,270,0.82,-13412
rule2,vs_pC<=q1 & WT,,157,0.784,-8098,168,0.863,-6040
rule2,vs_pC<=q1 & hour!=EOD,,416,0.803,-19330,400,0.865,-14400
rule2,vs_pC>=q3 & gap_atr>=q3,,266,0.609,-18655,271,0.681,-17492
rule2,vs_pC>=q3 & nth_2e<=q1,,197,0.529,-17672,189,0.758,-9870
rule2,vs_pC>=q3 & nth_2e>=q3,,218,0.721,-10178,243,0.601,-18215
rule2,vs_pC>=q3 & ema20_atr>=q3,,226,0.663,-12830,225,0.721,-11575
rule2,vs_pC>=q3 & stochK>=q3,,173,0.714,-8178,178,0.63,-12778
rule2,vs_pC>=q3 & vix>=q3,,158,0.614,-14428,65,0.536,-10600
rule2,vs_pC>=q3 & consec_ct<=q1,,254,0.698,-13170,256,0.696,-15780
rule2,vs_pC>=q3 & consec_ct>=q3,,161,0.517,-14680,176,0.643,-12305
rule2,vs_pC>=q3 & tight15<=q1,,160,0.653,-8900,182,0.609,-12222
rule2,vs_pC>=q3 & doji4<=q1,,268,0.501,-25728,286,0.731,-15330
rule2,vs_pC>=q3 & WT,,185,0.706,-8900,200,0.667,-13088
rule2,vs_pC>=q3 & hour!=EOD,,405,0.633,-26488,425,0.694,-25762
rule2,gap_atr<=q1 & nth_2e<=q1,,237,0.944,-3160,200,0.833,-9488
rule2,gap_atr<=q1 & nth_2e>=q3,,220,0.552,-21600,178,0.653,-14590
rule2,gap_atr<=q1 & vix>=q3,,170,0.811,-9612,64,0.842,-4370
rule2,gap_atr<=q1 & adr10_pct>=q3,,160,0.822,-8300,69,0.826,-4532
rule2,gap_atr<=q1 & consec_ct<=q1,,266,0.686,-19792,223,0.662,-21928
rule2,gap_atr<=q1 & consec_ct>=q3,,191,0.879,-4968,155,0.937,-2150
rule2,gap_atr<=q1 & doji4<=q1,,302,0.86,-9310,251,0.897,-6580
rule2,gap_atr<=q1 & doji4>=q3,,155,0.59,-15450,127,0.5,-17498
rule2,gap_atr<=q1 & WT,,150,0.749,-8612,131,0.614,-13642
rule2,gap_atr<=q1 & hour!=EOD,,447,0.781,-22248,373,0.77,-22415
rule2,gap_atr>=q3 & nth_2e<=q1,,200,0.562,-18550,220,0.812,-9125
rule2,gap_atr>=q3 & nth_2e>=q3,,192,0.633,-12860,223,0.525,-21028
rule2,gap_atr>=q3 & consec_ct<=q1,,249,0.566,-21470,251,0.666,-17618
rule2,gap_atr>=q3 & doji4<=q1,,250,0.552,-22938,298,0.764,-14228
rule2,gap_atr>=q3 & WT,,152,0.633,-10198,177,0.689,-10748
rule2,gap_atr>=q3 & hour!=EOD,,383,0.604,-29828,437,0.691,-28010
rule2,nth_2e<=q1 & ema20_atr<=q1,,224,0.641,-21758,194,0.954,-2345
rule2,nth_2e<=q1 & ema20_atr>=q3,,193,0.78,-8502,194,0.959,-1695
rule2,nth_2e<=q1 & er10<=q1,,207,0.701,-15172,174,0.854,-6670
rule2,nth_2e<=q1 & er10>=q3,,186,0.851,-5792,197,0.921,-3535
rule2,nth_2e<=q1 & stochK<=q1,,258,0.69,-22065,214,0.989,-620
rule2,nth_2e<=q1 & stochK>=q3,,210,0.848,-6038,260,0.894,-6050
rule2,nth_2e<=q1 & zl_osc<=q1,,252,0.672,-23485,253,1.011,760
rule2,nth_2e<=q1 & zl_osc>=q3,,236,0.871,-7730,294,0.942,-4670
rule2,nth_2e<=q1 & vix<=q1,,154,0.563,-11720,290,0.832,-8712
rule2,nth_2e<=q1 & vix>=q3,,342,0.802,-21322,128,1.099,5048
rule2,nth_2e<=q1 & adr10_pct<=q1,,185,0.691,-9100,264,0.844,-7882
rule2,nth_2e<=q1 & adr10_pct>=q3,,307,0.735,-26548,168,0.95,-3128
rule2,nth_2e<=q1 & consec_ct<=q1,,539,0.72,-37895,540,0.926,-10350
rule2,nth_2e<=q1 & consec_ct>=q3,,350,0.837,-12662,383,0.906,-8790
rule2,nth_2e<=q1 & tight15<=q1,,170,0.699,-10088,208,0.741,-10915
rule2,nth_2e<=q1 & tight15>=q3,,262,0.885,-7860,291,0.988,-1118
rule2,nth_2e<=q1 & doji4<=q1,,585,0.738,-37662,604,0.978,-3345
rule2,nth_2e<=q1 & doji4>=q3,,304,0.813,-12895,319,0.806,-15795
rule2,nth_2e<=q1 & prior_str<=q1,,191,0.762,-9942,192,0.957,-1810
rule2,nth_2e<=q1 & prior_str>=q3,,170,0.847,-5750,158,0.972,-1040
rule2,nth_2e<=q1 & WT,,226,0.765,-12455,228,0.922,-4278
rule2,nth_2e<=q1 & hour!=EOD,,880,0.77,-48512,920,0.923,-17762
rule2,nth_2e>=q3 & ema20_atr<=q1,,189,0.67,-14245,228,0.773,-13128
rule2,nth_2e>=q3 & ema20_atr>=q3,,219,0.746,-9920,229,0.62,-17645
rule2,nth_2e>=q3 & er10<=q1,,173,0.689,-10865,211,0.377,-33068
rule2,nth_2e>=q3 & er10>=q3,,170,0.867,-4175,216,0.924,-3468
rule2,nth_2e>=q3 & adx14<=q1,,161,0.539,-15605,168,0.505,-16578
rule2,nth_2e>=q3 & adx14>=q3,,165,0.852,-4412,177,0.777,-8772
rule2,nth_2e>=q3 & stochK<=q1,,162,0.696,-11172,203,0.865,-6565
rule2,nth_2e>=q3 & stochK>=q3,,181,0.647,-12205,184,0.594,-15220
rule2,nth_2e>=q3 & zl_osc<=q1,,164,0.632,-14832,166,0.739,-11268
rule2,nth_2e>=q3 & vix>=q3,,275,0.669,-24775,97,0.496,-18785
rule2,nth_2e>=q3 & adr10_pct>=q3,,238,0.707,-19128,119,0.543,-18820
rule2,nth_2e>=q3 & consec_ct<=q1,,428,0.679,-27352,446,0.671,-34905
rule2,nth_2e>=q3 & consec_ct>=q3,,303,0.656,-22290,351,0.728,-19968
rule2,nth_2e>=q3 & tight15<=q1,,224,0.555,-17858,253,0.771,-9728
rule2,nth_2e>=q3 & doji4<=q1,,483,0.68,-31665,554,0.722,-34995
rule2,nth_2e>=q3 & doji4>=q3,,248,0.649,-17978,243,0.628,-19878
rule2,nth_2e>=q3 & prior_str<=q1,,163,0.551,-15240,175,0.673,-12162
rule2,nth_2e>=q3 & prior_str>=q3,,206,0.686,-13642,245,0.614,-23575
rule2,nth_2e>=q3 & WT,,347,0.87,-8335,417,0.745,-22972
rule2,nth_2e>=q3 & hour!=EOD,,706,0.694,-44080,771,0.723,-47555
rule2,ema20_atr<=q1 & stochK<=q1,,292,0.79,-14948,308,0.941,-4590
rule2,ema20_atr<=q1 & zl_osc<=q1,,193,0.6,-21640,196,1.017,908
rule2,ema20_atr<=q1 & consec_ct<=q1,,254,0.672,-21245,235,0.817,-11588
rule2,ema20_atr<=q1 & consec_ct>=q3,,159,0.621,-14758,187,0.914,-3885
rule2,ema20_atr<=q1 & tight15>=q3,,153,0.746,-10252,169,0.947,-2695
rule2,ema20_atr<=q1 & doji4<=q1,,276,0.648,-24805,280,0.799,-15100
rule2,ema20_atr<=q1 & WT,,193,0.708,-13752,219,0.898,-5532
rule2,ema20_atr<=q1 & hour!=EOD,,408,0.662,-34540,416,0.876,-13218
rule2,ema20_atr>=q3 & er10>=q3,,151,0.86,-3555,172,0.872,-4398
rule2,ema20_atr>=q3 & stochK>=q3,,258,0.799,-9628,279,0.769,-13482
rule2,ema20_atr>=q3 & consec_ct<=q1,,266,0.71,-14868,244,0.79,-11245
rule2,ema20_atr>=q3 & doji4<=q1,,283,0.734,-14852,275,0.891,-5925
rule2,ema20_atr>=q3 & WT,,211,0.791,-7780,232,0.737,-12635
rule2,ema20_atr>=q3 & hour!=EOD,,406,0.775,-17242,418,0.792,-18090
rule2,er10<=q1 & consec_ct<=q1,,236,0.649,-19205,219,0.547,-25932
rule2,er10<=q1 & doji4<=q1,,270,0.765,-13825,283,0.662,-24690
rule2,er10<=q1 & hour!=EOD,,374,0.706,-24845,377,0.611,-37535
rule2,er10>=q3 & stochK>=q3,,157,0.777,-6160,191,0.686,-12880
rule2,er10>=q3 & consec_ct<=q1,,231,0.939,-2730,239,0.959,-2232
rule2,er10>=q3 & doji4<=q1,,216,0.716,-13730,257,0.948,-2972
rule2,er10>=q3 & hour!=EOD,,349,0.869,-9058,406,0.95,-4380
rule2,adx14<=q1 & hour!=EOD,,232,0.678,-14922,243,0.597,-20165
rule2,adx14>=q3 & doji4<=q1,,170,0.833,-5462,155,0.668,-11862
rule2,adx14>=q3 & hour!=EOD,,234,0.912,-3820,244,0.798,-11132
rule2,stochK<=q1 & zl_osc<=q1,,256,0.629,-26505,234,1.015,930
rule2,stochK<=q1 & adr10_pct>=q3,,150,0.836,-7900,74,0.914,-2145
rule2,stochK<=q1 & consec_ct<=q1,,268,0.72,-19215,245,0.943,-3675
rule2,stochK<=q1 & consec_ct>=q3,,152,0.644,-14022,172,0.913,-3510
rule2,stochK<=q1 & doji4<=q1,,279,0.641,-26620,292,0.914,-6448
rule2,stochK<=q1 & hour!=EOD,,412,0.705,-31272,410,0.952,-4938
rule2,stochK>=q3 & zl_osc>=q3,,195,0.695,-13212,234,0.867,-7358
rule2,stochK>=q3 & consec_ct<=q1,,236,0.743,-11468,248,0.787,-11790
rule2,stochK>=q3 & consec_ct>=q3,,155,0.772,-6775,196,0.76,-9480
rule2,stochK>=q3 & doji4<=q1,,259,0.709,-14958,299,0.846,-9670
rule2,stochK>=q3 & hour!=EOD,,384,0.769,-16870,439,0.776,-20995
rule2,zl_osc<=q1 & vix>=q3,,196,0.764,-14718,71,0.781,-6180
rule2,zl_osc<=q1 & adr10_pct>=q3,,167,0.752,-13422,87,0.561,-15210
rule2,zl_osc<=q1 & consec_ct<=q1,,249,0.708,-19108,260,0.911,-6512
rule2,zl_osc<=q1 & consec_ct>=q3,,167,0.587,-19210,159,0.903,-3995
rule2,zl_osc<=q1 & doji4<=q1,,279,0.659,-25532,279,0.948,-3982
rule2,zl_osc<=q1 & hour!=EOD,,407,0.67,-36235,412,0.93,-7785
rule2,zl_osc>=q3 & vix>=q3,,187,0.635,-22298,84,0.869,-4920
rule2,zl_osc>=q3 & adr10_pct>=q3,,159,0.649,-18932,113,0.924,-3290
rule2,zl_osc>=q3 & consec_ct<=q1,,217,0.653,-20572,272,0.915,-6535
rule2,zl_osc>=q3 & consec_ct>=q3,,151,0.9,-3492,196,0.823,-9342
rule2,zl_osc>=q3 & doji4<=q1,,248,0.644,-23352,325,0.866,-12112
rule2,zl_osc>=q3 & hour!=EOD,,358,0.766,-21428,460,0.89,-13950
rule2,vix<=q1 & adr10_pct<=q1,,174,0.602,-10520,337,0.83,-9298
rule2,vix<=q1 & consec_ct<=q1,,173,0.537,-13102,315,0.69,-17375
rule2,vix<=q1 & doji4<=q1,,179,0.496,-15558,377,0.738,-17222
rule2,vix<=q1 & hour!=EOD,,287,0.584,-19272,546,0.785,-19718
rule2,vix>=q3 & adr10_pct>=q3,,475,0.732,-39825,169,0.787,-15195
rule2,vix>=q3 & consec_ct<=q1,,353,0.771,-24478,122,0.802,-10160
rule2,vix>=q3 & consec_ct>=q3,,264,0.714,-21620,103,0.904,-3578
rule2,vix>=q3 & tight15>=q3,,161,0.837,-8705,69,0.967,-1095
rule2,vix>=q3 & doji4<=q1,,412,0.739,-32022,153,0.922,-4465
rule2,vix>=q3 & doji4>=q3,,205,0.766,-14075,72,0.7,-9272
rule2,vix>=q3 & WT,,200,0.854,-8238,72,0.529,-13510
rule2,vix>=q3 & hour!=EOD,,602,0.766,-41798,219,0.864,-11708
rule2,adr10_pct<=q1 & consec_ct<=q1,,192,0.704,-8898,294,0.788,-11408
rule2,adr10_pct<=q1 & doji4<=q1,,210,0.635,-12438,356,0.821,-11355
rule2,adr10_pct<=q1 & hour!=EOD,,319,0.689,-15258,503,0.869,-11390
rule2,adr10_pct>=q3 & consec_ct<=q1,,318,0.79,-20178,161,0.837,-9905
rule2,adr10_pct>=q3 & consec_ct>=q3,,227,0.631,-25498,126,0.72,-12042
rule2,adr10_pct>=q3 & tight15<=q1,,162,0.631,-14498,106,0.684,-9442
rule2,adr10_pct>=q3 & doji4<=q1,,356,0.701,-32555,197,0.897,-7048
rule2,adr10_pct>=q3 & doji4>=q3,,189,0.767,-13120,90,0.576,-14900
rule2,adr10_pct>=q3 & WT,,182,0.885,-5948,92,0.486,-17598
rule2,adr10_pct>=q3 & hour!=EOD,,532,0.74,-41985,280,0.808,-19450
rule2,consec_ct<=q1 & tight15<=q1,,247,0.595,-19622,271,0.626,-19555
rule2,consec_ct<=q1 & tight15>=q3,,221,0.672,-20305,250,1.029,2338
rule2,consec_ct<=q1 & doji4<=q1,,658,0.682,-49128,656,0.856,-24130
rule2,consec_ct<=q1 & doji4>=q3,,309,0.757,-16120,330,0.731,-21125
rule2,consec_ct<=q1 & prior_str<=q1,,207,0.785,-9172,203,0.909,-3965
rule2,consec_ct<=q1 & prior_str>=q3,,225,0.699,-15038,240,0.835,-9638
rule2,consec_ct<=q1 & WT,,337,0.785,-15322,383,0.864,-11865
rule2,consec_ct<=q1 & hour!=EOD,,940,0.723,-59400,968,0.832,-40315
rule2,consec_ct>=q3 & tight15>=q3,,173,0.929,-3015,216,0.704,-19780
rule2,consec_ct>=q3 & doji4<=q1,,410,0.771,-20200,502,0.872,-14210
rule2,consec_ct>=q3 & doji4>=q3,,243,0.727,-14752,232,0.741,-14548
rule2,consec_ct>=q3 & prior_str>=q3,,151,0.86,-4355,163,0.623,-14978
rule2,consec_ct>=q3 & WT,,236,0.88,-5468,262,0.734,-15385
rule2,consec_ct>=q3 & hour!=EOD,,646,0.764,-33192,723,0.847,-25002
rule2,tight15<=q1 & doji4<=q1,,249,0.619,-18208,294,0.79,-11570
rule2,tight15<=q1 & hour!=EOD,,384,0.63,-26570,455,0.77,-19100
rule2,tight15>=q3 & doji4<=q1,,279,0.817,-13508,315,0.914,-8375
rule2,tight15>=q3 & hour!=EOD,,389,0.79,-21532,459,0.902,-14232
rule2,doji4<=q1 & prior_str<=q1,,224,0.601,-19632,236,0.915,-4330
rule2,doji4<=q1 & prior_str>=q3,,262,0.745,-14422,261,0.82,-10968
rule2,doji4<=q1 & WT,,389,0.77,-19220,422,0.824,-16710
rule2,doji4<=q1 & hour!=EOD,,1045,0.73,-64050,1139,0.882,-32032
rule2,doji4>=q3 & WT,,184,0.953,-1570,223,0.789,-10540
rule2,doji4>=q3 & hour!=EOD,,541,0.757,-28542,552,0.747,-33285
rule2,prior_str<=q1 & hour!=EOD,,347,0.673,-24348,362,0.833,-13048
rule2,prior_str>=q3 & WT,,151,0.945,-1630,189,0.932,-2895
rule2,prior_str>=q3 & hour!=EOD,,364,0.793,-16108,392,0.778,-20898
rule2,WT & hour!=EOD,,564,0.835,-18982,633,0.831,-23952
