kind,feature,bucket,n_tr,PF_tr,net_tr,n_te,PF_te,net_te
cat,ib_pos,below,321,0.743,-19580,346,0.872,-11492
cat,ib_pos,inside,903,0.739,-55715,949,0.821,-42608
cat,va_pos,above,621,0.667,-40005,694,0.815,-26345
cat,va_pos,below,538,0.747,-34552,526,0.835,-23818
cat,va_pos,inside,459,0.759,-25482,500,0.811,-23850
cat,eth_pos,above,1444,0.711,-89145,1473,0.769,-76928
cat,eth_pos,inside,163,0.699,-15690,176,0.999,-42
cat,prior_out,0.0,460,0.483,-52750,481,0.568,-46605
cat,prior_out,1.0,271,1.065,3108,316,0.884,-8268
cat,above_pH,False,1154,0.742,-71008,1210,0.812,-58475
cat,above_pH,True,464,0.667,-29032,510,0.847,-15538
cat,below_pL,False,1238,0.69,-83278,1366,0.831,-52218
cat,below_pL,True,380,0.822,-16762,354,0.789,-21795
cat,zl_sign,-1,813,0.702,-55240,844,0.792,-41858
cat,zl_sign,1,807,0.747,-44960,876,0.848,-32155
cat,climax10,False,1465,0.737,-85462,1473,0.823,-61378
cat,climax10,True,155,0.611,-14738,247,0.806,-12635
cat,dbl_pb,False,1026,0.748,-57918,1085,0.804,-52250
cat,dbl_pb,True,219,0.719,-10258,230,0.916,-3162
cat,m2_tag,False,761,0.743,-44268,813,0.984,-3052
cat,m2_tag,True,859,0.706,-55932,907,0.686,-70960
cat,better_px,False,850,0.635,-76788,897,0.823,-40172
cat,better_px,True,770,0.846,-23412,823,0.818,-33840
rule2,ts_bars<=q1 & mchan<=q1,,176,0.904,-3605,165,0.844,-6950
rule2,ts_bars<=q1 & pushes<=q1,,206,0.788,-10092,192,0.885,-5998
rule2,ts_bars<=q1 & nth_2e<=q1,,186,0.887,-4955,192,0.928,-3798
rule2,ts_bars<=q1 & consec_ct<=q1,,157,0.879,-4448,155,0.784,-9788
rule2,ts_bars<=q1 & doji4<=q1,,194,0.783,-9558,195,0.753,-13712
rule2,ts_bars<=q1 & hour!=EOD,,295,0.865,-9025,285,0.843,-12300
rule2,ts_bars>=q3 & pushes<=q1,,191,0.806,-6930,216,0.723,-12630
rule2,ts_bars>=q3 & nth_2e>=q3,,187,0.892,-3648,241,0.684,-16442
rule2,ts_bars>=q3 & consec_ct<=q1,,150,0.806,-5425,182,0.9,-3772
rule2,ts_bars>=q3 & doji4<=q1,,185,0.921,-2712,208,0.858,-6215
rule2,ts_bars>=q3 & WT,,257,0.8,-9648,296,0.83,-10405
rule2,ts_bars>=q3 & hour!=EOD,,262,0.837,-7985,305,0.837,-10250
rule2,leg_atr<=q1 & pb_depth>=q3,,215,0.683,-15400,206,0.581,-22742
rule2,leg_atr<=q1 & pb_bars<=q1,,203,0.772,-9978,193,0.632,-17090
rule2,leg_atr<=q1 & mchan<=q1,,245,0.754,-12800,198,0.684,-15965
rule2,leg_atr<=q1 & pushes<=q1,,226,0.739,-12618,196,0.823,-8118
rule2,leg_atr<=q1 & nth_2e<=q1,,204,0.859,-6208,192,0.718,-14160
rule2,leg_atr<=q1 & nth_2e>=q3,,166,0.571,-15555,157,0.583,-15085
rule2,leg_atr<=q1 & consec_ct<=q1,,211,0.77,-10268,190,0.564,-22638
rule2,leg_atr<=q1 & consec_ct>=q3,,159,0.677,-11495,159,0.808,-6608
rule2,leg_atr<=q1 & doji4<=q1,,249,0.775,-12108,250,0.722,-16875
rule2,leg_atr<=q1 & prior_str<=q1,,215,0.583,-20188,204,0.806,-8908
rule2,leg_atr<=q1 & hour!=EOD,,360,0.742,-20138,342,0.683,-26585
rule2,leg_atr>=q3 & pb_depth<=q1,,216,1.036,1445,263,0.915,-5040
rule2,leg_atr>=q3 & pb_bars>=q3,,171,0.837,-5180,190,0.709,-12412
rule2,leg_atr>=q3 & mchan<=q1,,150,0.957,-1275,197,0.7,-13822
rule2,leg_atr>=q3 & mchan>=q3,,182,0.89,-3722,185,1.017,688
rule2,leg_atr>=q3 & pushes<=q1,,254,0.919,-3895,286,0.786,-14342
rule2,leg_atr>=q3 & nth_2e>=q3,,197,0.747,-9585,228,0.757,-12040
rule2,leg_atr>=q3 & consec_ct<=q1,,200,0.792,-8338,216,0.882,-5980
rule2,leg_atr>=q3 & doji4<=q1,,221,0.737,-12392,247,0.872,-6735
rule2,leg_atr>=q3 & prior_str>=q3,,171,0.777,-8142,184,0.864,-6070
rule2,leg_atr>=q3 & WT,,169,1.046,1380,202,0.997,-122
rule2,leg_atr>=q3 & hour!=EOD,,326,0.947,-3280,377,0.872,-10860
rule2,pb_depth<=q1 & mchan>=q3,,191,0.83,-6355,208,1.148,6485
rule2,pb_depth<=q1 & pushes<=q1,,232,0.865,-6072,285,0.84,-10288
rule2,pb_depth<=q1 & nth_2e>=q3,,191,0.803,-7042,229,0.86,-6995
rule2,pb_depth<=q1 & ema20_atr>=q3,,155,0.993,-188,168,0.746,-8915
rule2,pb_depth<=q1 & consec_ct<=q1,,200,0.796,-8462,222,0.955,-2335
rule2,pb_depth<=q1 & doji4<=q1,,217,0.761,-11098,233,0.903,-5028
rule2,pb_depth<=q1 & prior_str>=q3,,157,0.781,-7210,169,0.951,-1932
rule2,pb_depth<=q1 & WT,,185,0.927,-2488,234,1.048,2342
rule2,pb_depth<=q1 & hour!=EOD,,327,0.868,-8535,385,0.975,-2112
rule2,pb_depth>=q3 & pb_bars>=q3,,186,0.612,-16680,159,0.634,-13970
rule2,pb_depth>=q3 & mchan<=q1,,278,0.762,-13915,233,0.673,-19128
rule2,pb_depth>=q3 & pushes<=q1,,247,0.719,-14798,199,0.719,-13320
rule2,pb_depth>=q3 & nth_2e<=q1,,199,0.856,-6158,189,0.841,-7608
rule2,pb_depth>=q3 & nth_2e>=q3,,173,0.468,-21440,153,0.503,-18378
rule2,pb_depth>=q3 & consec_ct<=q1,,208,0.713,-12652,194,0.65,-17570
rule2,pb_depth>=q3 & consec_ct>=q3,,164,0.615,-14945,148,0.757,-8415
rule2,pb_depth>=q3 & doji4<=q1,,238,0.716,-14890,259,0.721,-17895
rule2,pb_depth>=q3 & prior_str<=q1,,154,0.497,-18595,157,0.755,-8910
rule2,pb_depth>=q3 & hour!=EOD,,356,0.689,-24730,329,0.719,-22658
rule2,pb_bars<=q1 & mchan<=q1,,225,0.742,-13550,212,0.686,-16935
rule2,pb_bars<=q1 & mchan>=q3,,175,0.656,-12212,189,0.851,-6332
rule2,pb_bars<=q1 & pushes<=q1,,260,0.746,-14325,257,0.683,-20698
rule2,pb_bars<=q1 & nth_2e<=q1,,217,0.736,-13498,193,0.963,-1678
rule2,pb_bars<=q1 & nth_2e>=q3,,183,0.668,-12265,208,0.574,-21590
rule2,pb_bars<=q1 & consec_ct<=q1,,236,0.734,-13642,217,0.616,-21110
rule2,pb_bars<=q1 & consec_ct>=q3,,164,0.67,-12120,184,0.948,-2158
rule2,pb_bars<=q1 & doji4<=q1,,268,0.748,-14878,280,0.81,-12512
rule2,pb_bars<=q1 & prior_str<=q1,,159,0.711,-9382,147,0.609,-13398
rule2,pb_bars<=q1 & hour!=EOD,,393,0.713,-24878,395,0.771,-21700
rule2,pb_bars>=q3 & mchan<=q1,,246,0.643,-19605,277,0.748,-15485
rule2,pb_bars>=q3 & mchan>=q3,,231,0.761,-11218,256,0.661,-20455
rule2,pb_bars>=q3 & pushes<=q1,,318,0.614,-26790,337,0.777,-16098
rule2,pb_bars>=q3 & pushes>=q3,,159,0.876,-4032,196,0.599,-19842
rule2,pb_bars>=q3 & nth_2e<=q1,,213,0.825,-8415,237,0.771,-12972
rule2,pb_bars>=q3 & nth_2e>=q3,,264,0.584,-22408,296,0.648,-22968
rule2,pb_bars>=q3 & vix>=q3,,189,0.772,-11858,68,0.809,-4702
rule2,pb_bars>=q3 & adr10_pct>=q3,,164,0.838,-7382,80,0.645,-10338
rule2,pb_bars>=q3 & consec_ct<=q1,,279,0.651,-20258,315,0.662,-25575
rule2,pb_bars>=q3 & consec_ct>=q3,,198,0.759,-10565,218,0.775,-10365
rule2,pb_bars>=q3 & doji4<=q1,,296,0.582,-27592,350,0.753,-19388
rule2,pb_bars>=q3 & doji4>=q3,,181,0.91,-3230,183,0.616,-16552
rule2,pb_bars>=q3 & prior_str>=q3,,152,0.856,-4498,170,0.67,-12725
rule2,pb_bars>=q3 & WT,,164,0.884,-3758,193,0.824,-7190
rule2,pb_bars>=q3 & hour!=EOD,,465,0.716,-28112,520,0.72,-33112
rule2,overlap<=q1 & mchan<=q1,,239,0.814,-9858,257,0.908,-5760
rule2,overlap<=q1 & pushes<=q1,,264,0.854,-8270,302,0.915,-6098
rule2,overlap<=q1 & nth_2e<=q1,,232,0.809,-10510,260,1.068,4388
rule2,overlap<=q1 & nth_2e>=q3,,152,0.628,-11535,200,0.732,-12300
rule2,overlap<=q1 & consec_ct<=q1,,270,0.8,-12125,274,1.001,80
rule2,overlap<=q1 & doji4<=q1,,265,0.689,-19388,323,0.923,-6165
rule2,overlap<=q1 & hour!=EOD,,369,0.777,-18332,446,0.96,-4280
rule2,overlap>=q3 & mchan<=q1,,222,0.519,-26385,221,0.78,-12068
rule2,overlap>=q3 & mchan>=q3,,214,0.549,-22695,247,0.772,-12985
rule2,overlap>=q3 & pushes<=q1,,290,0.494,-36075,321,0.774,-17192
rule2,overlap>=q3 & nth_2e<=q1,,222,0.497,-29635,258,0.953,-2978
rule2,overlap>=q3 & nth_2e>=q3,,214,0.581,-19445,210,0.538,-22075
rule2,overlap>=q3 & vix>=q3,,177,0.563,-24185,61,0.6,-10568
rule2,overlap>=q3 & consec_ct<=q1,,232,0.42,-32872,251,0.597,-27705
rule2,overlap>=q3 & consec_ct>=q3,,204,0.666,-16208,217,1.062,2652
rule2,overlap>=q3 & doji4<=q1,,281,0.537,-31630,303,0.717,-21465
