dir,regime,with_trend,adr,mae_pts,eod_move,fill_hour,entry_px,Date,yr,gap,sma20,skip_after,net
L,BEAR,False,33.95,15.75,14.75,09,5039.25,2021-07-19,2021,0.939,5099.1125,True,-530.0
S,BEAR,True,33.95,31.0,-27.75,12,5026.25,2021-07-19,2021,0.939,5099.1125,True,-530.0
S,BULL,False,35.95,32.75,-23.25,09,5095.75,2021-07-20,2021,0.134,5104.275,False,-555.0
L,NEUTRAL,False,35.95,6.5,-1.25,13,5120.25,2021-07-20,2021,0.134,5104.275,False,-80.0
S,BULL,False,39.5,13.75,-12.5,09,5139.5,2021-07-21,2021,0.166,5109.3,True,-605.0
L,BEAR,False,38.98,7.75,13.75,09,5148.75,2021-07-22,2021,0.01,5115.1125,False,670.0
L,BEAR,False,38.98,10.75,10.75,10,5151.75,2021-07-22,2021,0.01,5115.1125,False,520.0
L,BULL,True,38.98,0.25,9.0,12,5153.5,2021-07-22,2021,0.01,5115.1125,False,432.5
L,BULL,True,36.9,0.75,6.25,11,5194.25,2021-07-23,2021,0.324,5121.5875,False,295.0
L,BULL,True,36.9,5.25,-0.75,13,5201.25,2021-07-23,2021,0.324,5121.5875,False,-55.0
S,NEUTRAL,False,36.9,5.25,-5.0,10,5210.5,2021-07-26,2021,0.058,5128.7125,False,-267.5
S,BULL,False,36.35,0.25,10.75,09,5196.25,2021-07-27,2021,0.24,5135.9375,False,520.0
S,NEUTRAL,False,36.35,7.25,2.25,09,5187.75,2021-07-27,2021,0.24,5135.9375,False,95.0
S,BEAR,True,36.35,19.5,-10.0,12,5175.5,2021-07-27,2021,0.24,5135.9375,False,-567.5
S,NEUTRAL,False,37.77,11.25,5.5,09,5210.75,2021-07-29,2021,0.217,5146.525,False,-580.0
S,NEUTRAL,False,36.95,3.5,-1.75,09,5192.5,2021-07-30,2021,0.418,5152.225,False,-105.0
L,BULL,True,36.95,10.0,2.5,12,5191.75,2021-07-30,2021,0.418,5152.225,False,107.5
S,BEAR,True,34.08,5.75,23.0,09,5206.0,2021-08-02,2021,0.255,5156.5625,False,1132.5
S,BEAR,True,34.08,2.0,11.25,12,5194.25,2021-08-02,2021,0.255,5156.5625,False,545.0
L,NEUTRAL,False,32.95,4.5,30.5,09,5178.5,2021-08-03,2021,0.096,5158.7375,False,1507.5
L,NEUTRAL,False,32.95,1.5,5.0,12,5204.0,2021-08-03,2021,0.096,5158.7375,False,232.5
L,NEUTRAL,False,32.95,2.5,1.25,13,5207.75,2021-08-03,2021,0.096,5158.7375,False,45.0
S,BULL,False,30.5,0.5,10.0,09,5205.75,2021-08-04,2021,0.149,5162.7,False,482.5
S,NEUTRAL,False,30.5,7.75,2.75,10,5198.5,2021-08-04,2021,0.149,5162.7,False,120.0
L,BULL,True,29.43,4.25,8.25,10,5211.5,2021-08-05,2021,0.188,5165.025,False,395.0
