cut,n_tr,net_tr,PF_tr,n_te,net_te,PF_te,$/tr
headline (no SB cut),417,21752,1.32,459,7280,1.09,33.1
SB strong (ibs>=.7 & dir & rng>=ABR),65,-2375,0.78,54,14692,2.94,103.5
SB NOT strong,352,24128,1.43,405,-7412,0.89,22.1
SB ibs_o >= .7 only,200,9325,1.28,213,3898,1.11,32.0
SB ibs_o < .4 (weak),103,6122,1.38,104,-8920,0.51,-13.5
SB dir-agreeing close,218,885,1.02,252,15390,1.38,34.6
SB big (rngx >= 1),111,-630,0.97,114,9668,1.52,40.2
SB strong + EMA side,60,-1350,0.86,51,15308,3.2,125.7
