Date,engine,book,net
2022-02-23,NEW,WT-S,-1067.5
2022-02-23,NEW,FADE,-217.5
2022-03-01,OLD,WT-S,1482.5
2022-03-01,OLD,WT-S,1007.5
2022-03-01,NEW,WT-S,1482.5
2022-03-01,NEW,WT-S,1007.5
2022-03-02,OLD,WT-L,70.0
2022-03-02,OLD,WT-L,-805.0
2022-03-02,NEW,WT-L,70.0
2022-03-02,NEW,WT-L,-805.0
2022-03-07,OLD,WT-S,2145.0
2022-03-07,NEW,WT-S,2145.0
2022-03-14,OLD,WT-L,-1367.5
2022-03-14,OLD,WT-L,-1367.5
2022-03-14,NEW,WT-L,-1367.5
2022-03-14,NEW,WT-L,-1367.5
2022-03-23,OLD,WT-L,-1255.0
2022-03-23,NEW,WT-L,-1255.0
2022-03-30,OLD,WT-S,207.5
2022-04-01,OLD,FADE,-217.5
2022-04-01,NEW,FADE,-217.5
2022-04-05,OLD,FADE,-217.5
2022-04-05,NEW,FADE,-217.5
2022-04-07,OLD,WT-S,-855.0
2022-04-07,OLD,WT-S,-855.0
2022-04-07,OLD,WT-S,-855.0
2022-04-07,NEW,WT-S,-855.0
2022-04-07,NEW,WT-S,-855.0
2022-04-07,NEW,WT-S,-855.0
2022-04-13,OLD,WT-L,1557.5
2022-04-13,OLD,WT-L,907.5
2022-04-13,OLD,WT-L,295.0
2022-04-13,NEW,WT-L,1557.5
2022-04-13,NEW,WT-L,907.5
2022-04-13,NEW,WT-L,295.0
2022-04-14,OLD,WT-S,1832.5
2022-04-14,OLD,FADE,-217.5
2022-04-14,OLD,FADE,1370.0
2022-04-14,NEW,WT-S,1832.5
2022-04-14,NEW,FADE,-217.5
2022-04-14,NEW,FADE,1370.0
2022-04-21,OLD,FADE,-217.5
2022-04-21,NEW,FADE,-217.5
2022-04-22,OLD,FADE,3895.0
2022-04-22,NEW,FADE,3895.0
2022-04-25,OLD,FADE,-217.5
2022-04-25,NEW,FADE,-217.5
2022-04-27,OLD,WT-S,-1317.5
2022-04-27,NEW,WT-S,-1317.5
2022-04-29,OLD,WT-S,3407.5
2022-04-29,OLD,FADE,-217.5
2022-04-29,NEW,WT-S,3407.5
2022-04-29,NEW,FADE,-217.5
2022-05-02,OLD,FADE,-217.5
2022-05-02,NEW,FADE,-217.5
2022-05-04,OLD,FADE,-217.5
2022-05-04,OLD,WT-L,-1567.5
2022-05-04,NEW,FADE,-217.5
2022-05-04,NEW,WT-L,-1567.5
2022-05-11,OLD,FADE,3045.0
2022-05-11,NEW,FADE,3045.0
2022-05-16,OLD,WT-L,457.5
2022-05-16,OLD,WT-L,7.5
2022-05-16,NEW,WT-L,457.5
2022-05-16,NEW,WT-L,7.5
2022-05-16,NEW,WT-L,-1642.5
2022-05-19,OLD,WT-S,-1542.5
2022-05-19,NEW,WT-S,-1542.5
2022-05-25,OLD,WT-L,1095.0
2022-05-25,NEW,WT-L,1095.0
2022-05-26,OLD,WT-L,-717.5
2022-05-26,NEW,WT-L,-717.5
2022-06-02,OLD,FADE,-217.5
2022-06-02,OLD,WT-L,3732.5
2022-06-02,OLD,WT-L,2745.0
2022-06-02,NEW,FADE,-217.5
2022-06-02,NEW,WT-L,3732.5
2022-06-02,NEW,WT-L,2745.0
2022-06-09,OLD,WT-S,3632.5
2022-06-09,NEW,WT-S,3632.5
2022-06-14,OLD,WT-S,907.5
2022-06-14,NEW,WT-S,907.5
2022-06-21,NEW,FADE,-217.5
2022-06-28,OLD,WT-S,1832.5
2022-06-28,OLD,WT-S,1170.0
2022-06-28,NEW,WT-S,1832.5
