Date,book,filled,stop_net,retest_net,yr
2021-07-09,2EL,False,470.0,,2021
2021-07-09,2EL,False,332.5,,2021
2021-07-13,2ES,True,295.0,357.5,2021
2021-07-14,2ES,True,32.5,95.0,2021
2021-08-02,2ES,True,1070.0,1132.5,2021
2021-08-02,2ES,True,482.5,545.0,2021
2021-08-02,2ES,False,432.5,,2021
2021-08-17,2ES,True,-530.0,-530.0,2021
2021-08-20,2ES,True,-555.0,-555.0,2021
2021-08-20,2EL,True,57.5,120.0,2021
2021-08-24,2EL,False,-255.0,,2021
2021-08-25,2EL,True,-142.5,-80.0,2021
2021-08-26,2ES,True,-505.0,-505.0,2021
2021-08-26,2ES,True,245.0,307.5,2021
2021-08-27,2EL,True,170.0,232.5,2021
2021-08-27,2EL,False,82.5,,2021
2021-08-27,2EL,True,-205.0,-142.5,2021
2021-08-27,2ES,False,45.0,,2021
2021-08-30,2EL,True,-267.5,-205.0,2021
2021-08-31,2EL,True,132.5,195.0,2021
2021-09-03,2EL,False,-167.5,,2021
2021-09-08,2ES,True,-330.0,-330.0,2021
2021-09-16,2ES,True,-505.0,-505.0,2021
2021-09-16,2EL,True,-55.0,7.5,2021
2021-09-17,2ES,True,270.0,332.5,2021
2021-09-27,2EL,False,-242.5,,2021
2021-09-27,2EL,True,-430.0,-367.5,2021
2021-10-01,2EL,True,1445.0,1507.5,2021
2021-10-04,2ES,True,-867.5,-867.5,2021
2021-10-05,2EL,True,-867.5,-867.5,2021
2021-10-18,2EL,False,357.5,,2021
2021-10-18,2EL,True,220.0,282.5,2021
2021-10-19,2EL,True,945.0,1007.5,2021
2021-10-19,2EL,True,720.0,782.5,2021
2021-10-19,2EL,False,482.5,,2021
2021-10-19,2EL,True,295.0,357.5,2021
2021-10-19,2EL,False,307.5,,2021
2021-10-20,2EL,True,-105.0,-42.5,2021
2021-10-21,2EL,False,682.5,,2021
2021-10-22,2ES,True,295.0,357.5,2021
2021-10-22,2ES,True,-617.5,-617.5,2021
2021-10-25,2EL,False,432.5,,2021
2021-10-27,2ES,True,-505.0,-505.0,2021
2021-10-27,2EL,True,-505.0,-505.0,2021
2021-10-28,2EL,True,-480.0,-480.0,2021
2021-10-29,2ES,True,-467.5,-467.5,2021
2021-10-29,2EL,False,607.5,,2021
2021-10-29,2EL,False,-467.5,,2021
2021-11-04,2EL,True,-505.0,-505.0,2021
2021-11-04,2ES,True,-505.0,-505.0,2021
2021-11-05,2ES,True,270.0,332.5,2021
2021-11-09,2ES,True,-467.5,-467.5,2021
2021-11-10,2ES,False,-80.0,,2021
2021-11-15,2ES,True,-55.0,7.5,2021
2021-11-16,2EL,True,-267.5,-205.0,2021
2021-11-16,2EL,True,-492.5,-492.5,2021
2021-11-17,2ES,True,-505.0,-505.0,2021
2021-11-30,2ES,True,-555.0,-555.0,2021
2021-12-06,2EL,True,-642.5,-642.5,2021
2021-12-06,2EL,True,-642.5,-642.5,2021
2021-12-06,2EL,True,-642.5,-642.5,2021
2021-12-13,2ES,True,295.0,357.5,2021
2021-12-15,2ES,True,-755.0,-755.0,2021
2021-12-15,2EL,True,-755.0,4245.0,2021
2021-12-16,2ES,True,2207.5,2270.0,2021
2021-12-16,2ES,True,1420.0,1482.5,2021
2021-12-21,2EL,False,1382.5,,2021
2021-12-27,2EL,True,982.5,1045.0,2021
2021-12-27,2EL,False,707.5,,2021
2021-12-27,2EL,False,520.0,,2021
2021-12-29,2ES,True,-80.0,-17.5,2021
2021-12-31,2ES,True,82.5,145.0,2021
2022-01-04,2ES,True,820.0,882.5,2022
2022-01-04,2ES,False,-642.5,,2022
2022-01-04,2ES,True,-642.5,-642.5,2022
2022-01-05,2ES,True,3395.0,3457.5,2022
2022-01-20,2ES,True,5695.0,5757.5,2022
2022-01-20,2ES,False,5707.5,,2022
2022-01-20,2ES,True,4845.0,4907.5,2022
2022-01-21,2ES,True,2382.5,2445.0,2022
2022-02-01,2ES,True,-1830.0,-1830.0,2022
2022-02-02,2EL,True,-967.5,-905.0,2022
2022-02-07,2ES,True,-1705.0,-80.0,2022
2022-02-07,2EL,False,-1705.0,,2022
2022-02-16,2ES,True,-1042.5,-1042.5,2022
2022-02-23,2ES,True,-1067.5,-1067.5,2022
2022-03-01,2ES,True,1420.0,1482.5,2022
2022-03-01,2ES,True,945.0,1007.5,2022
2022-03-02,2EL,True,7.5,70.0,2022
2022-03-02,2EL,True,-867.5,-805.0,2022
2022-03-07,2ES,True,2082.5,2145.0,2022
2022-03-08,2EL,False,-592.5,,2022
2022-03-14,2EL,True,-1367.5,-1367.5,2022
2022-03-14,2EL,True,-1367.5,-1367.5,2022
2022-03-23,2EL,True,-1255.0,-1255.0,2022
2022-03-23,2ES,False,1232.5,,2022
2022-03-30,2ES,True,145.0,207.5,2022
2022-04-07,2ES,True,-855.0,-855.0,2022
2022-04-07,2ES,True,-855.0,-855.0,2022
2022-04-07,2ES,True,-855.0,-855.0,2022
2022-04-13,2EL,True,1495.0,1557.5,2022
2022-04-13,2EL,True,845.0,907.5,2022
2022-04-13,2EL,True,232.5,295.0,2022
2022-04-14,2ES,True,1770.0,1832.5,2022
2022-04-27,2ES,True,-1317.5,-1317.5,2022
2022-04-29,2ES,True,3345.0,3407.5,2022
2022-05-04,2EL,True,-1567.5,-1567.5,2022
