yr,gap,mult,win,side,oos_net,oos_R,n
2012,99.0,0.4,09-11,both,-100.0,-0.9552032004398043,55
2013,99.0,0.3,09-11,long,-382.5,-0.7236618544853828,24
2014,99.0,0.3,09-12,long,3370.0,13.011195948370936,36
2015,0.3,0.2,09-12,long,657.5,1.8356862804714462,36
2016,99.0,0.15,09-12,long,-97.5,2.2685805860805885,37
2017,99.0,0.15,09-12,long,-1950.0,-18.36343434343435,30
2018,99.0,0.15,09-11,long,6590.0,13.28424590946922,47
2019,99.0,0.15,09-11,long,-250.0,-0.20569821615792427,45
2020,99.0,0.15,09-11,long,-9137.5,-17.619729118682077,60
2021,1.0,0.15,09-11,long,-717.5,-1.8910873856285813,41
2022,1.0,0.3,09-12,long,-775.0,-1.013858033069313,50
2023,1.0,0.3,09-12,long,7542.5,12.379475375796378,59
2024,0.75,0.2,09-11,long,-4182.5,-8.50436854672054,39
2025,99.0,0.15,10-13,long,13590.0,18.160694652687866,72
2026,99.0,0.15,10-13,long,1770.0,7.839958641097879,51
