Date,yr,side,net,R
2010-06-22,2010,L,170.0,1.7
2010-06-24,2010,L,-192.5,-1.1
2010-06-25,2010,S,-142.5,-1.14
2010-06-25,2010,L,-117.5,-1.175
2010-06-28,2010,S,-117.5,-1.175
2010-06-30,2010,S,188.8,1.8875
2010-07-02,2010,L,-117.5,-1.175
2010-07-08,2010,S,-17.5,-0.175
2010-07-08,2010,L,-117.5,-1.175
2010-07-09,2010,S,132.5,1.325
2010-07-14,2010,S,-117.5,-1.175
2010-07-14,2010,L,113.8,1.1375
2010-07-20,2010,S,-117.5,-1.175
2010-07-28,2010,L,132.5,1.325
2010-07-29,2010,L,-142.5,-1.14
2010-08-02,2010,S,-130.0,-1.1555555555555554
2010-08-03,2010,S,-117.5,-1.175
2010-08-04,2010,S,-5.0,-0.05
2010-08-04,2010,L,170.0,1.7
2010-08-05,2010,S,101.2,1.0125
2010-08-09,2010,S,-117.5,-1.175
2010-08-13,2010,L,76.2,0.5545454545454546
2010-08-18,2010,S,-142.5,-1.14
2010-08-20,2010,S,-30.0,-0.3
2010-08-20,2010,L,-130.0,-1.1555555555555554
2010-08-26,2010,S,107.5,1.075
2010-08-30,2010,L,88.8,0.8875
2010-09-02,2010,S,126.2,1.2625
2010-09-03,2010,L,-142.5,-1.14
2010-09-07,2010,L,-142.5,-1.14
2010-09-08,2010,S,-117.5,-1.175
2010-09-09,2010,L,113.8,1.1375
2010-09-10,2010,S,126.2,1.2625
2010-09-14,2010,S,-117.5,-1.175
2010-09-16,2010,S,-117.5,-1.175
2010-09-21,2010,S,51.2,0.5125
2010-09-27,2010,S,-117.5,-1.175
2010-09-27,2010,L,70.0,0.7
2010-09-29,2010,S,-117.5,-1.175
2010-10-04,2010,L,-117.5,-1.175
2010-10-05,2010,S,-117.5,-1.175
2010-10-06,2010,L,7.5,0.06666666666666667
2010-10-08,2010,S,-117.5,-1.175
2010-10-11,2010,S,26.2,0.2625
2010-10-11,2010,L,63.8,0.6375
2010-10-12,2010,S,-117.5,-1.175
2010-10-14,2010,S,107.5,1.075
2010-10-18,2010,S,-117.5,-1.175
2010-10-25,2010,L,-117.5,-1.175
2010-10-27,2010,S,-30.0,-0.26666666666666666
2010-10-27,2010,L,-155.0,-1.1272727272727272
2010-10-29,2010,L,38.8,0.2818181818181818
2010-11-01,2010,L,-117.5,-1.175
2010-11-02,2010,S,88.8,0.8875
2010-11-02,2010,L,88.8,0.8875
2010-11-03,2010,S,-180.0,-0.6
2010-11-03,2010,L,-117.5,-1.175
2010-11-08,2010,S,-117.5,-1.175
2010-11-08,2010,L,88.8,0.8875
2010-11-12,2010,L,-117.5,-1.175
2010-11-15,2010,L,-117.5,-1.175
2010-11-17,2010,S,138.8,1.3875
2010-11-19,2010,S,-117.5,-1.175
2010-11-22,2010,S,-17.5,-0.175
2010-11-22,2010,L,-142.5,-1.14
2010-11-24,2010,S,-117.5,-1.175
2010-11-25,2010,S,-117.5,-1.175
2010-12-03,2010,S,-117.5,-1.175
2010-12-06,2010,S,38.8,0.3875
2010-12-07,2010,L,-117.5,-1.175
2010-12-10,2010,S,-117.5,-1.175
2010-12-14,2010,S,82.5,0.825
2010-12-15,2010,S,95.0,0.95
2010-12-17,2010,S,-117.5,-1.175
2010-12-17,2010,L,13.8,0.1375
2010-12-21,2010,S,-117.5,-1.175
2010-12-27,2010,S,-117.5,-1.175
2010-12-29,2010,S,26.2,0.2625
2010-12-29,2010,L,-17.5,-0.175
2011-01-06,2011,L,-117.5,-1.175
2011-01-11,2011,S,70.0,0.7
2011-01-11,2011,L,70.0,0.7
2011-01-12,2011,S,-117.5,-1.175
2011-01-13,2011,S,82.5,0.825
2011-01-13,2011,L,95.0,0.95
2011-01-18,2011,S,-117.5,-1.175
2011-01-21,2011,L,-117.5,-1.175
2011-01-24,2011,S,-117.5,-1.175
2011-01-27,2011,S,82.5,0.825
2011-01-31,2011,S,-117.5,-1.175
2011-02-02,2011,S,82.5,0.825
2011-02-04,2011,S,-117.5,-1.175
2011-02-08,2011,S,-117.5,-1.175
2011-02-14,2011,S,-117.5,-1.175
2011-02-14,2011,L,32.5,0.325
2011-02-17,2011,S,-117.5,-1.175
2011-02-18,2011,S,-117.5,-1.175
2011-02-18,2011,L,13.8,0.1375
2011-03-02,2011,L,107.5,0.7818181818181819
2011-03-03,2011,S,-117.5,-1.175
2011-03-09,2011,S,151.2,1.5125
2011-03-09,2011,L,-117.5,-1.175
2011-03-16,2011,S,-130.0,-1.1555555555555554
2011-03-17,2011,L,-142.5,-1.14
2011-03-18,2011,L,120.0,1.0666666666666667
2011-03-28,2011,S,57.5,0.575
2011-03-28,2011,L,-117.5,-1.175
2011-03-29,2011,S,-117.5,-1.175
2011-03-30,2011,S,-117.5,-1.175
2011-03-31,2011,S,82.5,0.825
2011-03-31,2011,L,20.0,0.17777777777777778
2011-04-01,2011,S,-117.5,-1.175
2011-04-04,2011,L,-117.5,-1.175
2011-04-11,2011,L,76.2,0.7625
2011-04-19,2011,L,-117.5,-1.175
2011-04-21,2011,S,76.2,0.7625
2011-04-25,2011,L,101.2,1.0125
2011-04-27,2011,S,-117.5,-1.175
2011-04-27,2011,L,88.8,0.8875
2011-05-02,2011,S,88.8,0.8875
2011-05-02,2011,L,-117.5,-1.175
2011-05-03,2011,L,63.8,0.5666666666666667
2011-05-06,2011,L,-142.5,-1.14
2011-05-09,2011,L,38.8,0.3875
2011-05-11,2011,L,-117.5,-1.175
2011-05-12,2011,S,-117.5,-1.175
2011-05-13,2011,L,-117.5,-1.175
2011-05-16,2011,S,-117.5,-1.175
2011-05-17,2011,L,-117.5,-1.175
2011-05-19,2011,L,-117.5,-1.175
2011-05-20,2011,S,195.0,1.95
2011-05-20,2011,L,195.0,1.95
2011-05-23,2011,L,-130.0,-1.1555555555555554
2011-05-25,2011,S,-117.5,-1.175
2011-05-26,2011,S,-117.5,-1.175
