Date,yr,entry_px,net,prior_hvl_es,below
2021-01-04,2021,4543.75,1482.5,4532.659912109375,False
2021-01-26,2021,4671.5,-217.5,4617.360107421875,False
2021-02-10,2021,4710.5,-217.5,4634.97998046875,False
2021-02-26,2021,4629.25,-217.5,4689.199951171875,True
2021-03-03,2021,4666.5,-217.5,4674.35009765625,True
2021-03-03,2021,4657.0,-217.5,4674.35009765625,True
2021-03-24,2021,4746.5,-217.5,4730.050048828125,False
2021-03-25,2021,4670.5,-217.5,4715.330078125,True
2021-04-09,2021,4922.0,-217.5,4770.860107421875,False
2021-04-28,2021,5010.5,-217.5,4959.47998046875,False
2021-04-30,2021,5000.5,-217.5,4973.669921875,False
2021-05-10,2021,5046.25,1857.5,4990.2099609375,False
2021-07-15,2021,5183.75,-217.5,5138.83984375,False
2021-07-22,2021,5183.25,-217.5,5127.9599609375,False
2021-09-10,2021,5324.0,-217.5,5311.4501953125,False
2021-09-10,2021,5317.25,1120.0,5311.4501953125,False
2021-09-13,2021,5291.5,-217.5,5290.35009765625,False
2021-09-14,2021,5286.75,-217.5,5304.16015625,True
2021-10-01,2021,5120.5,-217.5,5245.97021484375,True
2021-10-27,2021,5404.5,-217.5,5247.56005859375,False
2021-11-23,2021,5503.5,-217.5,5461.18017578125,False
2021-12-08,2021,5520.5,-217.5,5453.2001953125,False
2022-02-14,2022,5230.0,-217.5,5396.16015625,True
2022-02-18,2022,5207.25,-217.5,5365.31982421875,True
2022-02-23,2022,5105.5,-217.5,5331.0400390625,True
2022-03-17,2022,5232.75,-217.5,5200.5,False
2022-04-01,2022,5377.25,-217.5,5350.60986328125,False
2022-04-05,2022,5390.0,-217.5,5369.02978515625,False
2022-04-14,2022,5254.25,-217.5,5309.77978515625,True
2022-04-14,2022,5262.0,1370.0,5309.77978515625,True
2022-04-21,2022,5327.0,-217.5,5305.43017578125,False
2022-04-22,2022,5182.25,3895.0,5312.490234375,True
2022-04-25,2022,5060.75,-217.5,5275.080078125,True
2022-04-29,2022,5042.75,-217.5,5189.3701171875,True
2022-05-02,2022,4963.0,-217.5,5240.77001953125,True
2022-05-04,2022,4999.25,-217.5,5189.35986328125,True
2022-05-11,2022,4851.25,3045.0,5176.8798828125,True
2022-06-02,2022,4929.75,-217.5,4953.41015625,True
2022-08-08,2022,5020.25,-217.5,4911.9599609375,False
2022-08-19,2022,5078.25,-217.5,5039.240234375,False
2022-08-31,2022,4827.75,-217.5,4966.320068359375,True
2022-09-14,2022,4781.75,-217.5,4876.409912109375,True
2022-09-22,2022,4590.0,-217.5,4803.260009765625,True
2022-10-10,2022,4446.0,-217.5,4643.820068359375,True
2022-10-11,2022,4410.5,-217.5,4631.68994140625,True
2022-10-11,2022,4460.0,-217.5,4631.68994140625,True
2022-10-12,2022,4424.25,-217.5,4643.43994140625,True
2022-11-30,2022,4768.5,-217.5,4812.7900390625,True
2022-12-09,2022,4783.5,-217.5,4824.050048828125,True
2022-12-28,2022,4613.5,-217.5,4634.6201171875,True
2023-01-05,2023,4617.5,-217.5,4677.669921875,True
2023-02-08,2023,4912.0,-217.5,4867.2001953125,False
2023-03-07,2023,4799.25,1120.0,4795.469970703125,False
2023-03-27,2023,4761.5,-217.5,4772.47998046875,True
2023-05-03,2023,4895.5,-217.5,4888.669921875,False
2023-05-04,2023,4834.5,-217.5,4889.419921875,True
2023-06-21,2023,5120.0,-217.5,5017.60009765625,False
2023-08-17,2023,5122.25,-217.5,5224.080078125,True
2023-08-24,2023,5142.0,2432.5,5145.08984375,True
2023-09-27,2023,4979.0,-217.5,5145.0400390625,True
2023-10-11,2023,5049.0,-217.5,5026.41015625,False
2023-10-13,2023,5045.5,-217.5,5037.990234375,False
2023-10-19,2023,4998.75,-217.5,5068.39990234375,True
2023-10-25,2023,4886.0,-217.5,5008.43017578125,True
2023-10-31,2023,4846.75,-217.5,4974.56005859375,True
2023-11-03,2023,5025.0,-217.5,4930.0498046875,False
2023-11-08,2023,5055.0,-217.5,4993.259765625,False
2023-11-09,2023,5046.75,-217.5,4994.89990234375,False
2023-11-16,2023,5169.5,-217.5,5037.4599609375,False
2023-12-14,2023,5384.75,-217.5,5240.7900390625,False
2024-02-20,2024,5597.5,-217.5,5570.52001953125,False
2024-02-23,2024,5724.0,907.5,5569.759765625,False
2024-03-08,2024,5789.0,-217.5,5648.3701171875,False
2024-03-21,2024,5851.75,-217.5,5742.5400390625,False
2024-04-23,2024,5652.5,-217.5,5651.22998046875,False
2024-04-30,2024,5640.75,1570.0,5657.58984375,True
2024-05-17,2024,5860.5,-217.5,5741.31982421875,False
2024-05-21,2024,5879.5,-217.5,5811.419921875,False
2024-07-01,2024,6002.75,-217.5,5999.9501953125,False
2024-08-01,2024,5923.75,-217.5,6008.52001953125,True
2024-09-04,2024,6012.0,-217.5,6078.669921875,True
2024-09-10,2024,5966.75,-217.5,6022.830078125,True
2024-09-24,2024,6177.25,-217.5,6103.16015625,False
2024-10-01,2024,6158.5,-217.5,6157.60009765625,False
2024-11-14,2024,6415.0,-217.5,6308.330078125,False
2024-11-14,2024,6403.5,-217.5,6308.330078125,False
2024-11-15,2024,6317.0,-217.5,6355.35986328125,True
2024-12-03,2024,6463.0,-217.5,6408.009765625,False
2024-12-13,2024,6464.25,-217.5,6436.0498046875,False
2024-12-16,2024,6495.25,-217.5,6437.5498046875,False
2025-01-29,2025,6419.25,-217.5,6368.58984375,False
2025-01-31,2025,6478.25,3620.0,6396.41015625,False
2025-02-06,2025,6433.25,-217.5,6424.52978515625,False
2025-02-24,2025,6343.5,-217.5,6446.85986328125,True
2025-02-28,2025,6200.75,-217.5,6398.08984375,True
2025-03-13,2025,5854.5,-217.5,6281.14990234375,True
2025-03-25,2025,6108.0,-217.5,6061.8798828125,False
2025-03-27,2025,6043.5,-217.5,6129.47998046875,True
2025-05-13,2025,6195.5,-217.5,5998.5498046875,False
2025-07-07,2025,6527.75,1145.0,6345.77978515625,False
2025-07-15,2025,6543.5,-217.5,6461.1201171875,False
2025-07-18,2025,6565.0,-217.5,6485.8798828125,False
2025-07-31,2025,6674.75,3632.5,6669.8701171875,False
2025-08-11,2025,6648.5,807.5,6598.740234375,False
2025-08-13,2025,6713.0,-217.5,6604.31005859375,False
2025-08-19,2025,6658.25,-217.5,6672.2001953125,True
2025-09-19,2025,6880.0,-217.5,6713.81005859375,False
2025-09-29,2025,6881.25,-217.5,6861.0498046875,False
2025-10-10,2025,6829.0,-217.5,6930.5,True
2025-10-22,2025,6943.75,1307.5,6903.89990234375,False
2025-10-29,2025,7115.0,-217.5,6937.85986328125,False
2025-11-19,2025,6821.25,-217.5,6933.93017578125,True
2025-12-04,2025,7029.5,-217.5,6952.81982421875,False
2025-12-30,2025,7061.0,-217.5,7042.75,False
2026-01-02,2026,6995.5,-217.5,7058.0,True
2026-02-23,2026,6966.25,-217.5,7064.02978515625,True
2026-03-13,2026,6796.25,-217.5,6991.52978515625,True
2026-05-22,2026,7576.0,-217.5,7458.009765625,False
2026-07-07,2026,7560.0,-217.5,7517.81982421875,False
