Date,yr,dir,entry_px,net,prior_hvl_es,above,pO,pH,pL,pC,sma10,sma20,sma50,slope20,ret1,ret5,ret10,ret20,adr10,er10,rvol10,hi20,lo20,vix_prev,px_vs_pC,px_vs_sma20,px_vs_sma50,px_vs_pH,px_vs_pL,pos_prangeD,dist_hi20,above_sma20,above_sma50
2021-07-13,2021,S,5168.0,357.5,5063.009765625,True,5158.75,5178.75,5154.25,5176.0,5128.625,,,,0.0032952122504361636,0.006808014005057483,0.018897637795275646,,25.875,0.47880299251870323,0.004815793571271445,,,16.17,-8.0,,,-10.75,13.75,0.5612244897959183,,0,0
2021-07-14,2021,S,5170.0,95.0,5076.97021484375,True,5167.0,5183.25,5158.0,5160.5,5136.2,,,,-0.0029945904173106497,0.00599444417369277,0.014897487585427083,,27.0,0.3585798816568047,0.005056186464648901,,,17.12,9.5,,,-13.25,12.0,0.4752475247524752,,0,0
2021-08-02,2021,S,5206.0,1132.5,5080.97021484375,True,5197.5,5206.75,5196.75,5203.75,5141.0,5123.1,,,0.0165559679624927,0.006966281263605989,0.010584065640627305,0.03392608782038553,37.2,0.1379746835443038,0.009471096915532563,5206.75,5023.5,18.24,2.25,82.89999999999964,,-0.75,9.25,0.925,0.020161290322580645,1,0
2021-08-02,2021,S,5194.25,545.0,5080.97021484375,True,5197.5,5206.75,5196.75,5203.75,5141.0,5123.1,,,0.0165559679624927,0.006966281263605989,0.010584065640627305,0.03392608782038553,37.2,0.1379746835443038,0.009471096915532563,5206.75,5023.5,18.24,-9.5,71.14999999999964,,-12.5,-2.5,-0.25,0.33602150537634407,1,0
2021-08-17,2021,S,5222.5,-530.0,5169.93994140625,True,5248.75,5276.0,5232.0,5273.5,5178.725,5161.2875,,38.1875,0.006489168813818003,0.013403795339899105,0.020463451211842676,0.03579671004173823,33.85,0.28218812541694466,0.008972775992123413,5276.0,5023.5,16.12,-51.0,61.212499999999636,,-53.5,-9.5,-0.2159090909090909,1.5805022156573116,1,0
2021-08-20,2021,S,5227.25,-555.0,5207.93017578125,True,5165.25,5214.25,5164.0,5203.75,5210.7,5173.6625,,29.225000000000364,0.0018771659607239588,-0.0044480581595561786,0.029629996042738416,0.012205796537638536,36.175,0.42755174875089225,0.008187382193162875,5276.0,5023.5,21.67,23.5,53.587499999999636,,13.0,63.25,1.2587064676616915,1.3476157567380789,1,0
2021-08-20,2021,L,5231.0,120.0,5207.93017578125,True,5165.25,5214.25,5164.0,5203.75,5210.7,5173.6625,,29.225000000000364,0.0018771659607239588,-0.0044480581595561786,0.029629996042738416,0.012205796537638536,36.175,0.42755174875089225,0.008187382193162875,5276.0,5023.5,21.67,27.25,57.337499999999636,,16.75,67.0,1.3333333333333333,1.2439530062197652,1,0
2021-08-25,2021,L,5294.0,-80.0,5193.1298828125,True,5282.25,5288.0,5277.0,5281.0,5239.425,5193.95,,26.149999999999636,0.0005210060152511797,0.008257362417068315,0.01890796835809372,0.03381784368423624,32.175,0.38132295719844356,0.005823710657840185,5288.0,5023.5,17.22,13.0,100.05000000000018,,6.0,17.0,1.5454545454545454,-0.1864801864801865,1,0
2021-08-26,2021,S,5272.75,-505.0,5192.0,True,5284.5,5297.5,5280.25,5292.75,5246.125,5200.6375,,30.112500000000182,0.002224957394432847,0.0190123219098961,0.01282112615414066,0.025925566970343095,32.375,0.29646017699115046,0.005388270544965864,5297.5,5023.5,16.79,-20.0,72.11250000000018,,-24.75,-7.5,-0.43478260869565216,0.7644787644787645,1,0
2021-08-26,2021,S,5273.75,307.5,5192.0,True,5284.5,5297.5,5280.25,5292.75,5246.125,5200.6375,,30.112500000000182,0.002224957394432847,0.0190123219098961,0.01282112615414066,0.025925566970343095,32.375,0.29646017699115046,0.005388270544965864,5297.5,5023.5,16.79,-19.0,73.11250000000018,,-23.75,-6.5,-0.37681159420289856,0.7335907335907336,1,0
