Date,dir,count,book,regime,fire_bar,sig_bar,fill,stop,R,net,Rpts,sb_ibs_o,sb_body,sb_dirok,sb_rngx,ema_dist,ema_side_ok,ema_touch,warm
2021-06-18,L,2,T1,BEAR,14,13,4972.75,4962.75,-1.0,-505.0,10.0,0.9459459459459459,0.05405405405405406,True,1.0277777777777777,-0.1370948520650725,False,False,True
2021-06-18,L,2,T2,BEAR,14,13,4972.75,4962.75,-1.0,-505.0,10.0,0.9459459459459459,0.05405405405405406,True,1.0277777777777777,-0.1370948520650725,False,False,True
2021-06-18,S,2,T1,BULL,57,56,4971.25,4974.75,1.0,170.0,3.5,0.5454545454545454,0.18181818181818182,False,0.6790123456790124,0.15192788120938205,True,True,True
2021-06-18,S,2,T2,BULL,57,56,4971.25,4974.75,2.0,345.0,3.5,0.5454545454545454,0.18181818181818182,False,0.6790123456790124,0.15192788120938205,True,True,True
2021-06-21,L,2,T1,BULL,26,25,5006.5,5003.0,-1.0,-180.0,3.5,0.18181818181818182,0.0,False,0.7913669064748201,2.703642405199945,True,False,True
2021-06-21,L,2,T2,BULL,26,25,5006.5,5003.0,-1.0,-180.0,3.5,0.18181818181818182,0.0,False,0.7913669064748201,2.703642405199945,True,False,True
2021-06-21,L,2,T1,BULL,37,36,5006.5,5003.25,-1.0,-167.5,3.25,0.8,0.6,True,1.1111111111111112,1.4668120781768974,True,False,True
2021-06-21,L,2,T2,BULL,37,36,5006.5,5003.25,-1.0,-167.5,3.25,0.8,0.6,True,1.1111111111111112,1.4668120781768974,True,False,True
2021-06-21,L,2,T1,BULL,62,61,5012.0,5008.75,-1.0,-167.5,3.25,0.5,0.3,False,1.1904761904761905,1.1096627526556058,True,True,True
2021-06-21,L,2,T2,BULL,62,61,5012.0,5008.75,-1.0,-167.5,3.25,0.5,0.3,False,1.1904761904761905,1.1096627526556058,True,True,True
2021-06-22,L,2,T1,NEUTRAL,10,9,5014.75,5011.0,1.0,182.5,3.75,0.8333333333333334,0.16666666666666666,True,0.5806451612903225,0.48166556641914327,True,True,False
2021-06-22,L,2,T2,NEUTRAL,10,9,5014.75,5011.0,2.0,370.0,3.75,0.8333333333333334,0.16666666666666666,True,0.5806451612903225,0.48166556641914327,True,True,False
2021-06-22,L,2,T1,BULL,31,30,5027.25,5024.25,1.0,145.0,3.0,0.2222222222222222,0.5555555555555556,False,0.8910891089108911,1.3230422019589945,True,False,True
2021-06-22,L,2,T2,BULL,31,30,5027.25,5024.25,2.0,295.0,3.0,0.2222222222222222,0.5555555555555556,False,0.8910891089108911,1.3230422019589945,True,False,True
2021-06-22,L,2,T1,BULL,66,65,5034.5,5030.25,1.0,207.5,4.25,0.9285714285714286,0.8571428571428571,True,1.4,1.7601298500845588,True,False,True
2021-06-22,L,2,T2,BULL,66,65,5034.5,5030.25,2.0,420.0,4.25,0.9285714285714286,0.8571428571428571,True,1.4,1.7601298500845588,True,False,True
2021-06-22,L,2,T1,BULL,81,80,5036.0,5033.0,-1.0,-155.0,3.0,0.7777777777777778,0.2222222222222222,True,0.75,-0.13122374041965182,False,False,True
2021-06-22,L,2,T2,BULL,81,80,5036.0,5033.0,-1.0,-155.0,3.0,0.7777777777777778,0.2222222222222222,True,0.75,-0.13122374041965182,False,False,True
2021-06-23,S,2,T1,NEUTRAL,11,10,5042.25,5045.5,1.0,157.5,3.25,0.30000000000000004,0.6,False,0.591715976331361,-0.3198303131667946,False,False,False
2021-06-23,S,2,T2,NEUTRAL,11,10,5042.25,5045.5,2.0,320.0,3.25,0.30000000000000004,0.6,False,0.591715976331361,-0.3198303131667946,False,False,False
2021-06-23,L,2,T1,NEUTRAL,57,56,5040.0,5037.5,-1.0,-130.0,2.5,0.7142857142857143,0.5714285714285714,True,1.1111111111111112,0.7584742975525424,True,True,True
2021-06-23,L,2,T2,NEUTRAL,57,56,5040.0,5037.5,-1.0,-130.0,2.5,0.7142857142857143,0.5714285714285714,True,1.1111111111111112,0.7584742975525424,True,True,True
2021-06-24,L,2,T1,NEUTRAL,8,7,5056.0,5051.75,-1.0,-217.5,4.25,0.7857142857142857,0.21428571428571427,True,0.98,0.5768388514390972,True,True,False
2021-06-24,L,2,T2,NEUTRAL,8,7,5056.0,5051.75,-1.0,-217.5,4.25,0.7857142857142857,0.21428571428571427,True,0.98,0.5768388514390972,True,True,False
2021-06-24,L,2,T1,BULL,19,18,5056.75,5054.25,-1.0,-130.0,2.5,0.14285714285714285,0.14285714285714285,False,0.7608695652173914,0.2804250313139441,True,True,True
