Date,policy,net
2021-12-15,P3,-205.0
2021-12-15,P3,-205.0
2021-12-16,P1,2257.5
2021-12-16,P2,2257.5
2021-12-16,P2,-205.0
2021-12-16,P3,2257.5
2021-12-16,P3,-205.0
2021-12-20,P1,-205.0
2021-12-20,P2,-205.0
2021-12-20,P3,-205.0
2021-12-21,P1,1432.5
2021-12-21,P2,1432.5
2021-12-21,P3,1432.5
2021-12-27,P1,1032.5
2021-12-27,P2,1032.5
2021-12-27,P2,570.0
2021-12-27,P3,1032.5
2021-12-27,P3,570.0
2021-12-29,P1,-205.0
2021-12-29,P2,-205.0
2021-12-29,P3,-205.0
2021-12-31,P1,-205.0
2021-12-31,P2,-205.0
2021-12-31,P3,-205.0
2022-01-04,P1,-205.0
2022-01-04,P1,-205.0
2022-01-04,P2,-205.0
2022-01-04,P2,-205.0
2022-01-04,P2,-205.0
2022-01-04,P3,-205.0
2022-01-04,P3,-205.0
2022-01-04,P3,-205.0
2022-01-05,P1,-205.0
2022-01-05,P2,-205.0
2022-01-05,P3,-205.0
2022-01-10,P1,-205.0
2022-01-10,P2,-205.0
2022-01-10,P3,-205.0
2022-01-20,P1,5745.0
2022-01-20,P2,5745.0
2022-01-20,P2,5757.5
2022-01-20,P2,-205.0
2022-01-20,P3,5745.0
2022-01-20,P3,5757.5
2022-01-20,P3,-205.0
2022-01-21,P1,-205.0
2022-01-21,P2,-205.0
2022-01-21,P3,-205.0
2022-01-24,P1,-205.0
2022-01-24,P1,-205.0
2022-01-24,P1,-205.0
2022-01-24,P2,-205.0
2022-01-24,P2,-205.0
2022-01-24,P2,-205.0
2022-01-24,P3,-205.0
2022-01-24,P3,-205.0
2022-01-24,P3,-205.0
2022-01-26,P1,-205.0
2022-01-26,P2,-205.0
2022-01-26,P3,-205.0
2022-02-01,P1,-205.0
2022-02-01,P2,-205.0
2022-02-01,P3,-205.0
2022-02-02,P1,-205.0
2022-02-02,P2,-205.0
2022-02-02,P3,-205.0
2022-02-04,P1,-205.0
2022-02-04,P2,-205.0
2022-02-04,P3,-205.0
2022-02-07,P1,-205.0
2022-02-07,P1,-205.0
