Date,adr,short,fx2,fx3,fx4,fx5,fx6,fx8,fx10,fx12,adr0.06,adr0.08,adr0.1,adr0.12,adr0.15,adr0.2,EOD,is_tr
2022-04-14,62.775,True,-117.5,1370.0,1370.0,1370.0,1370.0,1370.0,1370.0,1370.0,1370.0,1370.0,1370.0,1370.0,1370.0,1370.0,1370.0,True
2022-04-19,62.55,False,-117.5,-167.5,-217.5,-267.5,-317.5,-267.5,-267.5,-267.5,-205.1,-267.7,-330.3,-267.5,-267.5,-267.5,-267.5,True
2022-04-21,62.0,True,-117.5,-167.5,-217.5,-267.5,-317.5,4495.0,4495.0,4495.0,-203.5,-265.5,-327.5,-389.5,4495.0,4495.0,4495.0,True
2022-04-22,69.4,True,-117.5,-167.5,3895.0,3895.0,3895.0,3895.0,3895.0,3895.0,3895.0,3895.0,3895.0,3895.0,3895.0,3895.0,3895.0,True
2022-04-25,75.0,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-242.5,-317.5,-392.5,-467.5,-580.0,-767.5,-3930.0,True
2022-04-26,80.4,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-258.7,-339.1,-419.5,-499.9,-620.5,-821.5,-3142.5,True
2022-04-29,91.675,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,2595.0,-292.5,-384.2,-475.9,2595.0,2595.0,2595.0,2595.0,True
2022-05-02,99.275,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-315.3,-414.6,-513.9,-613.1,-762.1,-1010.2,-1517.5,True
2022-05-04,103.55,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-328.1,-431.7,-535.2,-638.8,-794.1,-1053.0,-6980.0,True
2022-05-11,112.925,True,3045.0,3045.0,3045.0,3045.0,3045.0,3045.0,3045.0,3045.0,3045.0,3045.0,3045.0,3045.0,3045.0,3045.0,3045.0,True
2022-05-26,87.85,False,-117.5,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,True
2022-06-01,82.575,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-265.2,-347.8,-430.4,-512.9,-636.8,-417.5,-417.5,True
2022-06-02,78.55,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-253.1,-331.7,-410.2,-488.8,-606.6,-803.0,-4492.5,True
2022-06-21,75.5,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-244.0,-319.5,-395.0,-470.5,-583.7,-772.5,-530.0,True
2022-07-08,64.45,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-210.9,-275.3,-339.7,-404.2,-500.9,-662.0,-392.5,True
2022-07-08,64.45,False,-117.5,-167.5,-217.5,-267.5,-317.5,-55.0,-55.0,-55.0,-210.9,-275.3,-339.7,-55.0,-55.0,-55.0,-55.0,True
2022-07-12,62.975,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-206.4,-269.4,-332.4,-395.3,-489.8,-647.3,-1767.5,True
2022-07-20,62.55,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-205.1,-267.7,-330.3,-392.8,-486.6,-643.0,-180.0,True
2022-07-26,66.45,True,-117.5,557.5,557.5,557.5,557.5,557.5,557.5,557.5,557.5,557.5,557.5,557.5,557.5,557.5,557.5,True
2022-07-27,63.45,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,1857.5,-207.8,-271.3,-334.8,-398.2,-493.4,1857.5,1857.5,True
2022-07-27,63.45,False,-117.5,-167.5,-217.5,-267.5,-317.5,1620.0,1620.0,1620.0,-207.8,-271.3,-334.8,-398.2,1620.0,1620.0,1620.0,True
2022-08-08,56.3,True,-117.5,-167.5,-217.5,-267.5,-317.5,1607.5,1607.5,1607.5,-186.4,-242.7,-299.0,-355.3,1607.5,1607.5,1607.5,True
2022-08-19,46.2,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,220.0,-156.1,-202.3,-248.5,-294.7,-364.0,-479.5,220.0,True
2022-08-31,58.325,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-192.5,-250.8,-309.1,-367.4,-454.9,-600.7,1257.5,True
2022-09-09,74.95,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,482.5,482.5,-242.4,-317.3,-392.2,-467.2,482.5,482.5,482.5,True
2022-09-14,66.5,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-217.0,-283.5,-350.0,-416.5,-516.3,-682.5,-342.5,True
2022-10-10,82.125,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-263.9,-346.0,-428.1,-510.2,-633.4,-838.8,-192.5,True
2022-10-11,81.375,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-261.6,-343.0,-424.4,-505.8,-627.8,-831.2,-780.0,True
2022-10-11,81.375,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,1695.0,1695.0,-261.6,-343.0,1695.0,1695.0,1695.0,1695.0,1695.0,True
2022-10-12,79.025,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-254.6,-333.6,-412.6,-491.7,-610.2,432.5,432.5,True
2022-10-21,85.65,False,-117.5,-167.5,-217.5,-267.5,-317.5,820.0,820.0,820.0,-274.5,-360.1,820.0,820.0,820.0,820.0,820.0,True
2022-10-26,88.325,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-282.5,-370.8,-459.1,-547.5,-679.9,-900.7,-1605.0,True
2022-11-30,36.525,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-127.1,-163.6,-200.1,-236.6,-291.4,-382.8,-7142.5,True
2022-12-07,56.45,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-186.8,-243.3,-299.8,-356.2,-440.9,-582.0,-880.0,True
2022-12-09,59.95,True,-117.5,-167.5,-217.5,-267.5,-317.5,1132.5,1132.5,1132.5,-197.3,-257.3,-317.2,1132.5,1132.5,1132.5,1132.5,True
2022-12-14,70.525,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-229.1,-299.6,-370.1,-440.6,-546.4,-722.7,-2092.5,True
2022-12-23,68.175,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,145.0,145.0,-222.0,-290.2,-358.4,-426.5,145.0,145.0,145.0,True
2022-12-28,66.575,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,757.5,757.5,-217.2,-283.8,-350.4,-416.9,757.5,757.5,757.5,True
2023-01-05,58.45,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-192.8,-251.3,-309.8,-368.2,-455.9,-602.0,-42.5,True
2023-02-07,58.7,False,-117.5,-167.5,-217.5,-267.5,-317.5,932.5,932.5,932.5,-193.6,-252.3,-311.0,-369.7,932.5,932.5,932.5,True
2023-02-08,63.85,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-209.1,-272.9,-336.8,-400.6,-496.4,-656.0,-155.0,True
2023-02-15,63.675,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-208.5,-272.2,-335.9,-399.5,-495.1,-654.2,932.5,True
2023-02-17,56.525,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-187.1,-243.6,-300.1,-356.7,-441.4,-582.8,-30.0,True
2023-03-07,46.4,True,-117.5,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,True
2023-03-23,78.125,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-251.9,-330.0,-408.1,-486.2,-603.4,-798.8,-2167.5,True
2023-03-24,76.2,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-246.1,-322.3,-398.5,-474.7,-589.0,-779.5,1695.0,True
2023-03-27,74.125,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-239.9,-314.0,-388.1,-462.3,-573.4,-758.7,-242.5,True
2023-03-28,67.55,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-220.1,-287.7,-355.3,-422.8,-524.1,-693.0,207.5,True
2023-04-12,34.825,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-122.0,-156.8,-191.6,-226.5,-278.7,-365.8,-1930.0,True
2023-05-01,39.125,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-342.5,-342.5,-134.9,-174.0,-213.1,-252.2,-310.9,-408.7,-342.5,True
2023-05-03,42.425,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-144.8,-187.2,-229.6,-272.1,-335.7,-441.7,1320.0,True
2023-05-04,45.65,True,-117.5,-167.5,-217.5,-267.5,-317.5,382.5,382.5,382.5,-154.4,-200.1,-245.7,-291.4,-359.9,382.5,382.5,True
2023-05-23,37.325,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-129.5,-166.8,-204.1,-241.5,-297.4,-390.8,-1930.0,True
2023-06-08,37.475,False,-117.5,620.0,620.0,620.0,620.0,620.0,620.0,620.0,620.0,620.0,620.0,620.0,620.0,620.0,620.0,True
2023-06-21,38.75,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-133.7,-172.5,-211.2,-250.0,-308.1,-405.0,-30.0,True
2023-06-27,36.425,False,-117.5,-167.5,757.5,757.5,757.5,757.5,757.5,757.5,-126.8,-163.2,757.5,757.5,757.5,757.5,757.5,True
2023-07-10,29.075,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-505.0,-117.5,-133.8,-162.9,-191.9,-235.6,-308.2,-505.0,True
2023-07-14,26.475,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-117.5,-123.4,-149.9,-176.3,-216.1,-282.3,-805.0,True
2023-07-24,30.475,False,-117.5,-167.5,-217.5,-267.5,-317.5,32.5,32.5,32.5,-117.5,-139.4,-169.9,-200.4,-246.1,-322.3,32.5,True
