Date,dir,fire_bar,net
2021-06-21,L,26,657.5
2021-06-21,L,37,657.5
2021-06-21,L,62,382.5
2021-06-24,L,19,-205.0
2021-06-25,L,23,245.0
2021-06-28,L,13,-205.0
2021-06-28,S,37,-205.0
2021-06-30,S,54,-205.0
2021-07-01,L,8,-205.0
2021-07-01,L,16,-205.0
2021-07-08,S,17,-205.0
2021-07-09,L,38,382.5
2021-07-13,S,61,345.0
2021-07-14,S,40,-205.0
2021-07-19,S,53,-205.0
2021-08-02,S,7,-205.0
2021-08-02,S,40,532.5
2021-08-02,S,59,482.5
2021-08-17,S,50,-205.0
2021-08-20,S,24,-205.0
2021-08-20,L,55,-205.0
2021-08-24,L,54,-205.0
2021-08-25,L,42,-92.5
2021-08-26,S,17,-205.0
2021-08-26,S,63,295.0
2021-08-27,L,22,-205.0
2021-08-27,L,50,-205.0
2021-08-30,L,28,-205.0
2021-08-31,L,16,-205.0
2021-09-08,S,29,-205.0
2021-09-16,S,22,-205.0
2021-09-16,L,61,-5.0
2021-09-17,S,58,-205.0
2021-09-22,L,17,-205.0
2021-09-27,L,8,-205.0
2021-09-27,L,19,-205.0
2021-10-01,L,35,1495.0
2021-10-04,S,38,-205.0
2021-10-05,L,26,-205.0
2021-10-14,L,38,370.0
2021-10-18,L,56,270.0
2021-10-19,L,7,995.0
2021-10-19,L,15,770.0
2021-10-19,L,27,532.5
2021-10-19,L,42,-205.0
2021-10-19,L,50,-205.0
2021-10-20,L,23,-205.0
2021-10-21,L,42,732.5
2021-10-22,S,9,-205.0
2021-10-22,S,33,-205.0
2021-10-25,L,27,482.5
2021-10-27,S,18,-205.0
2021-10-27,L,54,-205.0
2021-10-28,L,26,-205.0
2021-10-29,S,12,-205.0
2021-10-29,L,32,-205.0
2021-10-29,L,43,-205.0
2021-11-04,L,15,-205.0
2021-11-04,S,29,-205.0
2021-11-05,S,59,-205.0
2021-11-09,S,39,-205.0
2021-11-15,S,15,-5.0
2021-11-16,L,31,-205.0
2021-11-16,L,44,-205.0
2021-11-17,S,13,-205.0
2021-11-29,L,23,807.5
2021-11-29,L,43,-205.0
2021-11-29,S,66,-205.0
2021-11-30,S,26,-205.0
2021-12-06,L,7,-205.0
2021-12-06,L,54,-205.0
2021-12-06,L,60,-205.0
2021-12-07,L,26,-205.0
2021-12-13,S,48,-205.0
2021-12-14,S,11,-205.0
2021-12-14,S,25,-205.0
2021-12-14,S,38,-205.0
2021-12-15,S,34,-205.0
2021-12-15,L,49,-205.0
2021-12-16,S,18,2257.5
2021-12-16,S,28,-205.0
2021-12-20,S,17,-205.0
2021-12-21,L,32,1432.5
2021-12-27,L,26,1032.5
2021-12-27,L,53,570.0
2021-12-29,S,17,-205.0
2021-12-31,S,13,-205.0
2022-01-04,S,10,-205.0
2022-01-04,S,49,-205.0
2022-01-04,S,60,-205.0
2022-01-05,S,52,-205.0
2022-01-10,L,61,-205.0
2022-01-20,S,32,5745.0
2022-01-20,S,40,5757.5
2022-01-20,S,52,-205.0
