Date,dir,net,adr,gap,hold,regime,entry_px
2024-12-18,S,10470.0,30.32,0.012,47,BEAR,6481.25
2025-10-10,S,9345.0,45.45,0.133,74,BEAR,6970.75
2026-06-17,S,4132.5,112.88,0.181,32,BEAR,7575.5
2022-06-02,L,3732.5,78.55,0.051,64,BULL,4944.25
2022-06-09,S,3632.5,70.0,0.458,51,BEAR,4942.25
2022-01-05,S,3457.5,40.6,0.027,26,BEAR,5618.25
2025-02-21,S,3095.0,41.98,0.023,60,BEAR,6437.0
2024-03-20,L,2495.0,44.17,0.004,56,BULL,5789.0
2023-01-20,L,2482.5,54.45,0.255,63,BULL,4724.0
2025-03-26,S,2482.5,73.2,0.078,60,BEAR,6098.75
2025-04-24,L,2445.0,169.85,0.193,61,BULL,5763.0
2021-12-16,S,2270.0,63.33,0.338,63,BEAR,5560.75
2025-04-24,L,2257.5,169.85,0.193,51,BULL,5766.75
2024-08-22,S,2170.0,53.9,0.302,67,BEAR,6117.75
2026-05-13,L,2170.0,59.0,0.124,64,BULL,7496.25
2024-01-19,L,2082.5,38.95,0.235,48,BULL,5437.75
2022-10-27,S,2070.0,91.12,0.054,18,BEAR,4648.5
2026-07-13,S,1945.0,68.3,0.354,70,BEAR,7598.75
2026-04-13,L,1932.5,83.45,0.311,31,BULL,6951.75
2023-01-20,L,1895.0,54.45,0.255,48,BULL,4735.75
