Date,dir,stop,target,dist_pts,net
2021-06-28,L,abr4.0,eod,12.25,432.5
2021-06-28,L,abr4.0,t2x,12.25,-617.5
2021-06-28,L,abr4.0,t3x,12.25,-617.5
2021-06-28,L,fx4p,eod,4.0,-205.0
2021-06-28,L,fx4p,t2x,4.0,-205.0
2021-06-28,L,fx4p,t3x,4.0,-205.0
2021-06-28,S,abr1.0,eod,2.0,-105.0
2021-06-28,S,abr1.0,t2x,2.0,195.0
2021-06-28,S,abr1.0,t3x,2.0,-105.0
2021-06-28,S,abr1.5,eod,2.0,-105.0
2021-06-28,S,abr1.5,t2x,2.0,195.0
2021-06-28,S,abr1.5,t3x,2.0,-105.0
2021-06-28,S,abr2.0,eod,2.75,-142.5
2021-06-28,S,abr2.0,t2x,2.75,-142.5
2021-06-28,S,abr2.0,t3x,2.75,-142.5
2021-06-28,S,abr3.0,eod,4.25,-217.5
2021-06-28,S,abr3.0,t2x,4.25,-217.5
2021-06-28,S,abr3.0,t3x,4.25,-217.5
2021-06-28,S,abr4.0,eod,5.5,-280.0
2021-06-28,S,abr4.0,t2x,5.5,-280.0
2021-06-28,S,abr4.0,t3x,5.5,-280.0
2021-06-28,S,fx4p,eod,4.0,-205.0
2021-06-28,S,fx4p,t2x,4.0,-205.0
2021-06-28,S,fx4p,t3x,4.0,-205.0
2021-06-30,S,abr1.0,eod,2.0,-105.0
2021-06-30,S,abr1.0,t2x,2.0,-105.0
2021-06-30,S,abr1.0,t3x,2.0,-105.0
2021-06-30,S,abr1.5,eod,2.0,-105.0
2021-06-30,S,abr1.5,t2x,2.0,-105.0
2021-06-30,S,abr1.5,t3x,2.0,-105.0
2021-06-30,S,abr2.0,eod,2.5,-130.0
2021-06-30,S,abr2.0,t2x,2.5,-130.0
2021-06-30,S,abr2.0,t3x,2.5,-130.0
2021-06-30,S,abr3.0,eod,4.0,-205.0
2021-06-30,S,abr3.0,t2x,4.0,-205.0
2021-06-30,S,abr3.0,t3x,4.0,-205.0
2021-06-30,S,abr4.0,eod,5.25,-267.5
2021-06-30,S,abr4.0,t2x,5.25,-267.5
2021-06-30,S,abr4.0,t3x,5.25,-267.5
2021-06-30,S,fx4p,eod,4.0,-205.0
2021-06-30,S,fx4p,t2x,4.0,-205.0
2021-06-30,S,fx4p,t3x,4.0,-205.0
2021-07-01,L,abr1.0,eod,3.25,-167.5
