Date,first,ADR/EOD,ADR/EOD_r,ADR/1:1,ADR/1:1_r,ADR/2:1,ADR/2:1_r,SB/1:1,SB/1:1_r,SB/2:1,SB/2:1_r,SB/EOD,SB/EOD_r
2022-05-25,True,1095.0,eod,1370.0,win,1095.0,eod,207.5,win,432.5,win,-242.5,stop
2022-05-26,True,-717.5,eod,-717.5,eod,-717.5,eod,-142.5,stop,-142.5,stop,-142.5,stop
2022-06-02,True,3732.5,eod,1157.5,win,2332.5,win,407.5,win,832.5,win,3732.5,eod
2022-06-02,False,2745.0,eod,1157.5,win,2332.5,win,232.5,win,482.5,win,2745.0,eod
2022-06-09,True,3632.5,eod,1032.5,win,2082.5,win,-605.0,stop,-605.0,stop,-605.0,stop
2022-06-14,True,907.5,eod,1120.0,win,907.5,eod,432.5,win,882.5,win,-467.5,stop
2022-06-28,True,1832.5,eod,1007.5,win,1832.5,eod,220.0,win,-255.0,stop,-255.0,stop
2022-06-28,False,1170.0,eod,1007.5,win,1170.0,eod,-205.0,stop,-205.0,stop,-205.0,stop
2022-07-21,True,107.5,eod,107.5,eod,107.5,eod,-192.5,stop,-192.5,stop,-192.5,stop
2022-07-22,True,520.0,eod,945.0,win,520.0,eod,357.5,win,732.5,win,520.0,eod
2022-07-28,True,1432.5,eod,957.5,win,1432.5,eod,-180.0,stop,-180.0,stop,-180.0,stop
2022-07-28,False,495.0,eod,495.0,eod,495.0,eod,82.5,win,182.5,win,-117.5,stop
2022-08-02,True,-992.5,stop,957.5,win,-992.5,stop,-242.5,stop,-242.5,stop,-242.5,stop
2022-08-04,True,-980.0,stop,-980.0,stop,-980.0,stop,-317.5,stop,-317.5,stop,-317.5,stop
2022-08-24,True,-342.5,eod,-342.5,eod,-342.5,eod,-80.0,stop,-80.0,stop,-80.0,stop
2022-08-30,True,-5.0,eod,807.5,win,-5.0,eod,-392.5,stop,-392.5,stop,-392.5,stop
2022-08-30,False,-842.5,stop,-842.5,stop,-842.5,stop,-205.0,stop,-205.0,stop,-205.0,stop
2022-09-07,True,1695.0,eod,1020.0,win,2057.5,win,-317.5,stop,-317.5,stop,-317.5,stop
2022-09-08,True,-880.0,eod,-880.0,eod,-880.0,eod,-142.5,stop,-142.5,stop,-142.5,stop
2022-09-14,True,-555.0,eod,982.5,win,-555.0,eod,-155.0,stop,-155.0,stop,-155.0,stop
2022-09-21,True,-980.0,stop,-980.0,stop,-980.0,stop,-430.0,stop,-430.0,stop,-430.0,stop
2022-09-28,True,1970.0,eod,920.0,win,1857.5,win,232.5,win,482.5,win,1970.0,eod
2022-09-28,False,945.0,eod,920.0,win,945.0,eod,-167.5,stop,-167.5,stop,-167.5,stop
2022-09-28,False,1082.5,eod,920.0,win,1857.5,win,157.5,win,332.5,win,1082.5,eod
2022-10-03,True,1245.0,eod,1020.0,win,2057.5,win,-192.5,stop,-192.5,stop,-192.5,stop
