entry_id,Date,dir,hh,retest,stop,net,er10,mchan
2021-06-21_26L2,2021-06-21,L,10,2,3p,632.5,0.279,3
2021-06-21_26L2,2021-06-21,L,10,2,4p,632.5,0.279,3
2021-06-21_26L2,2021-06-21,L,10,2,5p,632.5,0.279,3
2021-06-21_26L2,2021-06-21,L,10,2,6p,632.5,0.279,3
2021-06-21_26L2,2021-06-21,L,10,2,sb1,-142.5,0.279,3
2021-06-21_26L2,2021-06-21,L,10,4,3p,657.5,0.279,3
2021-06-21_26L2,2021-06-21,L,10,4,4p,657.5,0.279,3
2021-06-21_26L2,2021-06-21,L,10,4,5p,657.5,0.279,3
2021-06-21_26L2,2021-06-21,L,10,4,6p,657.5,0.279,3
2021-06-21_26L2,2021-06-21,L,10,4,sb1,-117.5,0.279,3
2021-06-21_26L2,2021-06-21,L,11,6,3p,682.5,0.279,3
2021-06-21_26L2,2021-06-21,L,11,6,4p,682.5,0.279,3
2021-06-21_26L2,2021-06-21,L,11,6,5p,682.5,0.279,3
2021-06-21_26L2,2021-06-21,L,11,6,6p,682.5,0.279,3
2021-06-21_26L2,2021-06-21,L,11,6,sb1,-92.5,0.279,3
2021-06-21_26L2,2021-06-21,L,11,8,3p,707.5,0.279,3
2021-06-21_26L2,2021-06-21,L,11,8,4p,707.5,0.279,3
2021-06-21_26L2,2021-06-21,L,11,8,5p,707.5,0.279,3
2021-06-21_26L2,2021-06-21,L,11,8,6p,707.5,0.279,3
2021-06-21_26L2,2021-06-21,L,11,8,sb1,-67.5,0.279,3
2021-06-21_37L2,2021-06-21,L,11,2,3p,632.5,0.209,0
2021-06-21_37L2,2021-06-21,L,11,2,4p,632.5,0.209,0
2021-06-21_37L2,2021-06-21,L,11,2,5p,632.5,0.209,0
2021-06-21_37L2,2021-06-21,L,11,2,6p,632.5,0.209,0
2021-06-21_37L2,2021-06-21,L,11,2,sb1,-130.0,0.209,0
2021-06-21_37L2,2021-06-21,L,11,4,3p,657.5,0.209,0
