Date,book,dir,gap,gross_20,net_20,gross_30,net_30,gross_40,net_40
2021-12-14,WT,S,0.684,-462.5,-480.0,-700.0,-717.5,125.0,107.5
2021-12-14,WT,S,0.684,-462.5,-480.0,-700.0,-717.5,-925.0,-942.5
2021-12-14,WT,S,0.684,-462.5,-480.0,-700.0,-717.5,-925.0,-942.5
2021-12-15,WT,S,0.069,-487.5,-505.0,-737.5,-755.0,-987.5,-1005.0
2021-12-15,WT,L,0.069,-487.5,-505.0,4262.5,4245.0,4262.5,4245.0
2021-12-16,WT,S,0.34,2287.5,2270.0,2287.5,2270.0,2287.5,2270.0
2021-12-16,WT,S,0.34,1500.0,1482.5,1500.0,1482.5,1500.0,1482.5
2021-12-20,WT,S,1.173,-625.0,-642.5,-937.5,-955.0,-1250.0,-1267.5
2021-12-27,WT,L,0.244,1062.5,1045.0,1062.5,1045.0,1062.5,1045.0
2021-12-29,WT,S,0.062,-600.0,-617.5,0.0,-17.5,0.0,-17.5
2021-12-31,WT,S,0.143,-500.0,-517.5,162.5,145.0,162.5,145.0
2022-01-04,WT,S,0.295,900.0,882.5,900.0,882.5,900.0,882.5
2022-01-04,WT,S,0.295,-412.5,-430.0,-625.0,-642.5,-825.0,-842.5
2022-01-05,WT,S,0.027,-400.0,-417.5,3475.0,3457.5,3475.0,3457.5
2022-01-10,WT,L,0.625,-450.0,-467.5,-662.5,-680.0,1150.0,1132.5
2022-01-20,WT,S,0.351,5775.0,5757.5,5775.0,5757.5,5775.0,5757.5
2022-01-20,WT,S,0.351,4925.0,4907.5,4925.0,4907.5,4925.0,4907.5
2022-01-21,WT,S,0.085,2462.5,2445.0,2462.5,2445.0,2462.5,2445.0
2022-01-24,WT,S,1.139,-737.5,-755.0,-1100.0,-1117.5,-1475.0,-1492.5
2022-01-24,WT,L,1.139,-737.5,-755.0,-1100.0,-1117.5,5550.0,5532.5
2022-01-26,WT,S,1.514,-887.5,-905.0,-1325.0,-1342.5,4237.5,4220.0
2022-02-01,WT,S,0.391,-1212.5,-1230.0,-1812.5,-1830.0,-2412.5,-2430.0
2022-02-02,WT,L,0.355,-887.5,-905.0,-887.5,-905.0,-887.5,-905.0
2022-02-04,WT,L,0.611,-1137.5,-1155.0,-1187.5,-1205.0,-1187.5,-1205.0
2022-02-07,WT,S,0.236,-1125.0,-1142.5,-62.5,-80.0,-62.5,-80.0
2022-02-10,WT,S,1.158,1187.5,1170.0,1187.5,1170.0,1187.5,1170.0
2022-02-14,FADE,S,0.196,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-02-16,WT,S,0.228,-687.5,-705.0,-1025.0,-1042.5,-1375.0,-1392.5
2022-02-17,WT,S,0.559,-700.0,-717.5,1487.5,1470.0,1487.5,1470.0
2022-02-17,WT,S,0.559,1962.5,1945.0,1962.5,1945.0,1962.5,1945.0
2022-02-18,FADE,S,0.053,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-02-22,WT,S,0.641,-675.0,-692.5,-1012.5,-1030.0,-362.5,-380.0
2022-02-22,WT,S,0.641,-675.0,-692.5,-1012.5,-1030.0,-1337.5,-1355.0
2022-02-23,WT,S,0.278,-700.0,-717.5,-1050.0,-1067.5,-1400.0,-1417.5
2022-02-23,FADE,S,0.278,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-02-24,WT,L,2.212,-787.5,-805.0,-1187.5,-1205.0,4300.0,4282.5
2022-02-24,WT,L,2.212,3425.0,3407.5,3425.0,3407.5,3425.0,3407.5
2022-03-01,WT,S,0.285,1500.0,1482.5,1500.0,1482.5,1500.0,1482.5
2022-03-01,WT,S,0.285,1025.0,1007.5,1025.0,1007.5,1025.0,1007.5
2022-03-02,WT,L,0.263,87.5,70.0,87.5,70.0,87.5,70.0
2022-03-02,WT,L,0.263,-787.5,-805.0,-787.5,-805.0,-787.5,-805.0
2022-03-03,FADE,S,0.563,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-03-04,WT,S,0.859,-937.5,-955.0,-1412.5,-1430.0,-1887.5,-1905.0
2022-03-04,WT,S,0.859,-937.5,-955.0,-1412.5,-1430.0,-1887.5,-1905.0
2022-03-04,WT,L,0.859,-937.5,-955.0,312.5,295.0,312.5,295.0
2022-03-07,WT,S,0.039,2162.5,2145.0,2162.5,2145.0,2162.5,2145.0
2022-03-09,WT,L,1.95,512.5,495.0,512.5,495.0,512.5,495.0
