cell,n,netR,ci_lo,ci_hi,wr,pf,net,per_tr,yrs_pos,yrs
1 all MC + 2E exec,5345,0.05641740745576415,0.020647354232392,0.09269786563894668,43.25537885874649,1.1048365689680089,214745.80000000005,40.17695042095417,6,6
2 + stackv2 filters,2770,0.14324161808859573,0.08716690314541613,0.19952933266248507,45.9927797833935,1.2725458281859332,302722.80000000005,109.2862093862816,6,6
3 + regime (with-trend),2618,0.035025422116919114,-0.016570780832565142,0.0875430486977101,42.55156608097785,1.0214941508058797,21598.02000000001,8.249816653934305,3,6
4 + regime + gap  [full 2E gating],1910,0.06599461463651599,0.006248471723904385,0.13026189129944962,43.717277486910994,1.1040877046531878,66522.4,34.828481675392666,4,6
5 + stackv2 + regime + gap,1063,0.16021782257216094,0.06589673802935814,0.26261314774510425,46.75446848541863,1.290556468487812,108302.81999999999,101.88412041392286,5,6
