Date,yr,dir,type,entry_px,net,prior_hvl_es,below
2021-06-09,2021,Long,Sneaky,5058.0,-92.5,5017.81982421875,False
2021-06-09,2021,Short,Sneaky,5057.0,-80.0,5017.81982421875,False
2021-06-09,2021,Short,Sneaky,5055.5,-105.0,5017.81982421875,False
2021-06-09,2021,Short,Trap,5055.0,307.5,5017.81982421875,False
2021-06-10,2021,Short,Sneaky,5067.5,157.5,5016.919921875,False
2021-06-10,2021,Long,Trap,5055.5,407.5,5016.919921875,False
2021-06-10,2021,Short,IB,5066.75,-105.0,5016.919921875,False
2021-06-10,2021,Long,Sneaky,5068.0,-92.5,5016.919921875,False
2021-06-10,2021,Long,Trap,5067.25,-80.0,5016.919921875,False
2021-06-11,2021,Short,Sneaky,5064.25,-130.0,5022.259765625,False
2021-06-11,2021,Long,Trap,5061.25,520.0,5022.259765625,False
2021-06-11,2021,Short,Sneaky,5067.25,-67.5,5022.259765625,False
2021-06-14,2021,Long,Trap,5064.25,-130.0,5006.509765625,False
2021-06-14,2021,Short,Trap,5063.25,-117.5,5006.509765625,False
2021-06-14,2021,Long,Sneaky,5062.25,832.5,5006.509765625,False
2021-06-15,2021,Short,BO,5068.25,-105.0,5029.97998046875,False
2021-06-15,2021,Long,Trap,5068.75,-105.0,5029.97998046875,False
2021-06-15,2021,Short,Trap,5072.25,-92.5,5029.97998046875,False
2021-06-16,2021,Short,Sneaky,5068.75,-130.0,5036.1298828125,False
2021-06-16,2021,Short,Sneaky,5068.25,1070.0,5036.1298828125,False
2021-06-16,2021,Short,OB,5068.75,-80.0,5036.1298828125,False
2021-06-16,2021,Long,BO,5057.75,-92.5,5036.1298828125,False
2021-06-16,2021,Long,IB,5037.75,-242.5,5036.1298828125,False
2021-06-17,2021,Long,Trap,5044.75,-192.5,5031.740234375,False
2021-06-17,2021,Short,OB,5044.25,-217.5,5031.740234375,False
2021-06-17,2021,Long,OB,5050.75,-130.0,5031.740234375,False
2021-06-17,2021,Long,OB,5030.5,782.5,5031.740234375,True
2021-06-18,2021,Long,Sneaky,5006.0,-155.0,5037.4501953125,True
2021-06-18,2021,Long,OB,5003.75,-142.5,5037.4501953125,True
2021-06-18,2021,Short,IB,5004.5,-205.0,5037.4501953125,True
2021-06-18,2021,Long,Trap,5005.5,-142.5,5037.4501953125,True
2021-06-18,2021,Long,Trap,5006.5,-292.5,5037.4501953125,True
2021-06-21,2021,Short,IB,5037.25,-205.0,5021.6298828125,False
2021-06-21,2021,Long,Trap,5040.25,582.5,5021.6298828125,False
2021-06-21,2021,Short,BO,5046.0,-105.0,5021.6298828125,False
2021-06-22,2021,Long,Trap,5047.5,1082.5,5052.02001953125,True
2021-06-22,2021,Short,Sneaky,5060.0,-155.0,5052.02001953125,False
2021-06-22,2021,Short,Trap,5062.25,-67.5,5052.02001953125,False
2021-06-22,2021,Long,IB,5062.5,-105.0,5052.02001953125,False
2021-06-23,2021,Long,Sneaky,5070.75,-105.0,5023.8798828125,False
2021-06-23,2021,Long,Trap,5070.75,-105.0,5023.8798828125,False
2021-06-23,2021,Long,Trap,5071.5,-130.0,5023.8798828125,False
2021-06-24,2021,Short,BO,5088.5,-142.5,5038.47021484375,False
2021-06-24,2021,Long,Trap,5088.25,-92.5,5038.47021484375,False
2021-06-24,2021,Long,OB,5090.5,-117.5,5038.47021484375,False
2021-06-25,2021,Short,Sneaky,5099.0,-155.0,5044.2001953125,False
2021-06-25,2021,Long,Sneaky,5101.0,-92.5,5044.2001953125,False
2021-06-25,2021,Short,OB,5101.0,-80.0,5044.2001953125,False
2021-06-25,2021,Long,OB,5101.0,170.0,5044.2001953125,False
2021-06-28,2021,Long,Sneaky,5103.25,-117.5,5044.43017578125,False
2021-06-28,2021,Long,IB,5101.25,607.5,5044.43017578125,False
2021-06-29,2021,Long,IB,5122.0,-105.0,5065.64990234375,False
2021-06-29,2021,Long,IB,5118.75,-92.5,5065.64990234375,False
2021-06-29,2021,Long,Trap,5116.5,-130.0,5065.64990234375,False
2021-06-29,2021,Short,IB,5116.25,-142.5,5065.64990234375,False
2021-06-30,2021,Short,Sneaky,5117.25,-130.0,5072.169921875,False
2021-06-30,2021,Long,Trap,5116.75,395.0,5072.169921875,False
2021-06-30,2021,Short,Sneaky,5118.0,-130.0,5072.169921875,False
2021-07-01,2021,Short,Sneaky,5132.5,-80.0,5070.60009765625,False
2021-07-01,2021,Short,OB,5129.75,-205.0,5070.60009765625,False
2021-07-02,2021,Long,IB,5158.0,745.0,5069.4599609375,False
2021-07-02,2021,Long,IB,5172.75,7.5,5069.4599609375,False
2021-07-02,2021,Short,Sneaky,5172.0,-130.0,5069.4599609375,False
2021-07-06,2021,Long,OB,5152.5,-105.0,5066.47021484375,False
2021-07-07,2021,Long,Trap,5175.0,-80.0,5064.39013671875,False
2021-07-07,2021,Long,Sneaky,5164.75,895.0,5064.39013671875,False
2021-07-07,2021,Short,Trap,5180.5,-80.0,5064.39013671875,False
2021-07-07,2021,Long,Trap,5180.25,120.0,5064.39013671875,False
2021-07-08,2021,Long,Trap,5122.75,-130.0,5092.7900390625,False
2021-07-08,2021,Short,Sneaky,5149.25,-130.0,5092.7900390625,False
2021-07-08,2021,Short,Trap,5151.75,470.0,5092.7900390625,False
2021-07-09,2021,Short,Sneaky,5187.25,-105.0,5119.47998046875,False
2021-07-12,2021,Short,Trap,5204.0,-130.0,5095.16015625,False
2021-07-12,2021,Short,BO,5204.0,-67.5,5095.16015625,False
2021-07-12,2021,Short,Trap,5207.75,-105.0,5095.16015625,False
2021-07-13,2021,Long,IB,5201.5,-205.0,5096.759765625,False
2021-07-14,2021,Long,BO,5209.75,-67.5,5110.72021484375,False
2021-07-14,2021,Long,BO,5198.75,120.0,5110.72021484375,False
2021-07-14,2021,Short,IB,5200.5,-205.0,5110.72021484375,False
2021-07-14,2021,Long,Sneaky,5203.75,-205.0,5110.72021484375,False
2021-07-14,2021,Short,IB,5205.5,-130.0,5110.72021484375,False
2021-07-15,2021,Long,IB,5183.0,-67.5,5138.83984375,False
2021-07-15,2021,Short,Trap,5188.5,345.0,5138.83984375,False
2021-07-15,2021,Short,Sneaky,5181.5,-217.5,5138.83984375,False
2021-07-15,2021,Long,BO,5172.25,432.5,5138.83984375,False
2021-07-16,2021,Long,Trap,5176.75,-192.5,5143.85986328125,False
2021-07-16,2021,Long,OB,5171.75,-92.5,5143.85986328125,False
2021-07-16,2021,Short,OB,5177.75,-92.5,5143.85986328125,False
2021-07-16,2021,Long,Trap,5178.25,-130.0,5143.85986328125,False
2021-07-16,2021,Short,BO,5171.0,1132.5,5143.85986328125,False
2021-07-16,2021,Long,Sneaky,5168.5,-117.5,5143.85986328125,False
2021-07-19,2021,Long,IB,5073.75,-230.0,5152.16015625,True
2021-07-19,2021,Long,Trap,5083.0,-230.0,5152.16015625,True
2021-07-19,2021,Short,Sneaky,5081.0,-230.0,5152.16015625,True
2021-07-19,2021,Short,Trap,5087.0,-55.0,5152.16015625,True
2021-07-19,2021,Long,Sneaky,5072.25,-417.5,5152.16015625,True
2021-07-19,2021,Short,OB,5059.25,-167.5,5152.16015625,True
2021-07-20,2021,Short,Trap,5149.0,-80.0,5171.240234375,True
2021-07-20,2021,Short,OB,5150.25,-92.5,5171.240234375,True
2021-07-20,2021,Long,Trap,5149.25,-105.0,5171.240234375,True
2021-07-20,2021,Long,OB,5153.25,-292.5,5171.240234375,True
2021-07-20,2021,Short,Trap,5154.75,-180.0,5171.240234375,True
2021-07-21,2021,Long,Trap,5171.5,-80.0,5136.89990234375,False
2021-07-21,2021,Short,IB,5174.25,-67.5,5136.89990234375,False
2021-07-21,2021,Long,IB,5177.5,-117.5,5136.89990234375,False
