SignalNum,SignalType,Direction,DateTime,BarNum,SignalPrice,StopPrice,Date,FilterStatus,_date,TargetR,Filled,SBClose,SEPrice,FillPrice,EntryTime,EntryBarNum,EntryPrice,ActualStop,Target,Target1,RiskPts,RiskDollar,ExitTime,ExitBarNum,ExitPrice,ExitReason,GrossPnLPts,GrossPnL,NetPnL,R_achieved,MAE_pts,MAE_dollar,MAE_R,MFE_pts,MFE_dollar,MFE_R,CumPF,SlippagePts,SlippageDollar,Leg1ExitReason,Leg1ExitPrice,Leg1GrossPts,Leg1GrossPnL,Leg2ExitReason,Leg2ExitPrice,Leg2GrossPts,Leg2GrossPnL,Leg3ExitReason,Leg3ExitPrice,Leg3GrossPts,Leg3GrossPnL,TradeType,BlendedEntry,PB1FillPrice,PB2FillPrice,PBLevel,PBLevelRaw,E2FillPrice,E2FillTime,T1_R,PB_R,SameBarConflict,EntryType,RawFillPrice,EntrySlipTicks,ExitSlipTicks,ActualCalcMs,WireDelayMs,ExecCostTicks,ExecModelVersion,ReferenceTime,OrderLiveTime,RetraceTime,FirstThroughTime,ExitTriggerTime,ConcurrentRiskDollar,R
5,BO+FT,Short,2021-06-18 11:40:00,38,4909.5,4922.5,2021-06-18,ok,2021-06-18,1.0,True,4909.5,4911.5,4911.5,2021-06-18 11:40:00.006939515,39.0,4911.5,4922.75,4900.25,,11.25,562.5,2021-06-18 14:00:33.250488967,67.0,4900.25,Target,11.25,562.5,562.5,1.0,4.25,212.5,0.37777777777777777,11.5,575.0,1.0222222222222221,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,4911.5,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-06-18 11:40:00.006939515,2021-06-18 11:40:00.006939515,,,2021-06-18 14:00:33.250488967,562.5,1.0
9,BO+FT,Short,2021-06-18 12:25:00,47,4908.25,4924.75,2021-06-18,ok,2021-06-18,1.0,True,4908.25,4911.0,4911.0,2021-06-18 12:25:00.188327319,48.0,4911.0,4925.0,4897.0,,14.0,700.0,2021-06-18 14:59:14.271139115,78.0,4897.0,Target,14.0,700.0,700.0,1.0,3.75,187.5,0.26785714285714285,14.25,712.5,1.0178571428571428,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,4911.0,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-06-18 12:25:00.188327319,2021-06-18 12:25:00.188327319,,,2021-06-18 14:59:14.271139115,1262.5,1.0
18,BO+FT,Long,2021-06-18 14:15:00,69,4909.0,4886.0,2021-06-18,ok,2021-06-18,1.0,True,4909.0,4905.25,4905.25,2021-06-18 14:15:00.004057795,70.0,4905.25,4885.75,4924.75,,19.5,975.0,2021-06-18 15:02:17.828381747,79.0,4885.75,Stop,-19.5,-975.0,-975.0,-1.0,19.5,975.0,1.0,7.75,387.5,0.3974358974358974,1.294871794871795,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,4905.25,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-06-18 14:15:00.004057795,2021-06-18 14:15:00.004057795,,,2021-06-18 15:02:17.828381747,1675.0,-1.0
37,BO+FT,Long,2021-06-22 10:10:00,20,4968.5,4954.5,2021-06-22,ok,2021-06-22,1.0,True,4968.5,4964.75,4964.75,2021-06-22 10:10:00.178316325,21.0,4964.75,4954.25,4975.25,,10.5,525.0,2021-06-22 14:02:27.985646263,67.0,4975.25,Target,10.5,525.0,525.0,1.0,1.5,75.0,0.14285714285714285,10.75,537.5,1.0238095238095237,1.8333333333333333,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,4964.75,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-06-22 10:10:00.178316325,2021-06-22 10:10:00.178316325,,,2021-06-22 14:02:27.985646263,525.0,1.0
45,BO+FT,Long,2021-06-22 13:15:00,57,4968.0,4962.0,2021-06-22,ok,2021-06-22,1.0,True,4968.0,4967.5,4967.5,2021-06-22 13:15:00.096490615,58.0,4967.5,4961.75,4973.25,,5.75,287.5,2021-06-22 13:56:59.931346729,66.0,4973.25,Target,5.75,287.5,287.5,1.0,1.0,50.0,0.17391304347826086,6.0,300.0,1.0434782608695652,2.128205128205128,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,4967.5,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-06-22 13:15:00.096490615,2021-06-22 13:15:00.096490615,,,2021-06-22 13:56:59.931346729,812.5,1.0
70,BO+FT,Short,2021-06-24 09:50:00,16,4993.5,5007.0,2021-06-24,ok,2021-06-24,1.0,True,4993.5,4996.5,4996.5,2021-06-24 09:50:00.011964917,17.0,4996.5,5007.25,4985.75,,10.75,537.5,2021-06-24 15:14:59.952737219,81.0,4996.75,EOD,-0.25,-12.5,-12.5,-0.023255813953488372,2.5,125.0,0.23255813953488372,7.0,350.0,0.6511627906976745,2.1012658227848102,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,4996.5,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-06-24 09:50:00.011964917,2021-06-24 09:50:00.011964917,,,2021-06-24 15:14:59.952737219,537.5,-0.023
86,BO+FT,Long,2021-06-25 10:10:00,20,5005.25,4998.75,2021-06-25,ok,2021-06-25,1.0,True,5005.25,5004.0,5004.0,2021-06-25 10:10:00.120812661,21.0,5004.0,4998.5,5009.5,,5.5,275.0,2021-06-25 13:55:28.933729395,66.0,5009.5,Target,5.5,275.0,275.0,1.0,1.0,50.0,0.18181818181818182,5.75,287.5,1.0454545454545454,2.3797468354430378,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5004.0,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-06-25 10:10:00.120812661,2021-06-25 10:10:00.120812661,,,2021-06-25 13:55:28.933729395,275.0,1.0
134,BO+FT,Short,2021-06-29 13:20:00,58,5021.25,5028.75,2021-06-29,ok,2021-06-29,1.0,True,5021.25,5021.75,5021.75,2021-06-29 13:20:00.533229425,59.0,5021.75,5029.0,5014.5,,7.25,362.5,2021-06-29 15:14:59.547864453,81.0,5023.5,EOD,-1.75,-87.5,-87.5,-0.2413793103448276,2.75,137.5,0.3793103448275862,6.5,325.0,0.896551724137931,2.186046511627907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5021.75,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-06-29 13:20:00.533229425,2021-06-29 13:20:00.533229425,,,2021-06-29 15:14:59.547864453,362.5,-0.241
163,BO+FT,Short,2021-07-01 10:10:00,20,5036.0,5047.0,2021-07-01,ok,2021-07-01,1.0,True,5036.0,5038.5,5038.5,2021-07-01 10:10:00.749014199,21.0,5038.5,5047.25,5029.75,,8.75,437.5,2021-07-01 13:35:13.968172551,62.0,5047.25,Stop,-8.75,-437.5,-437.5,-1.0,8.75,437.5,1.0,6.25,312.5,0.7142857142857143,1.5537190082644627,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5038.5,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-07-01 10:10:00.749014199,2021-07-01 10:10:00.749014199,,,2021-07-01 13:35:13.968172551,437.5,-1.0
196,BO+FT,Long,2021-07-02 14:05:00,67,5079.75,5072.75,2021-07-02,ok,2021-07-02,1.0,True,5079.75,5078.25,5078.25,2021-07-02 14:05:00.014524869,68.0,5078.25,5072.5,5084.0,,5.75,287.5,2021-07-02 14:50:02.448437191,77.0,5084.0,Target,5.75,287.5,287.5,1.0,0.25,12.5,0.043478260869565216,6.25,312.5,1.0869565217391304,1.743801652892562,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5078.25,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-07-02 14:05:00.014524869,2021-07-02 14:05:00.014524869,,,2021-07-02 14:50:02.448437191,287.5,1.0
