,tgt0.25R,tgt0.5R,tgt0.75R,tgt1.0R,tgt1.5R,tgt2.0R
stop1.0x,146125.0,253450.0,308150.0,323362.0,346988.0,350200.0
stop1.5x,230688.0,323788.0,346119.0,362244.0,364456.0,367688.0
stop2.0x,290100.0,337525.0,351050.0,359300.0,364938.0,358862.0
stop2.5x,324000.0,354381.0,363588.0,376256.0,355381.0,355225.0
stop3.0x,328975.0,351800.0,369562.0,362062.0,357050.0,354575.0
