,tgt0.25R,tgt0.5R,tgt0.75R,tgt1.0R,tgt1.5R,tgt2.0R
stop1.0x,92.05,159.65,154.07,140.59,101.31,91.56
stop1.5x,98.43,115.9,64.92,67.95,68.36,49.86
stop2.0x,90.66,43.2,44.93,45.99,40.95,40.27
stop2.5x,81.25,34.43,35.32,35.75,33.77,33.75
stop3.0x,54.38,27.54,28.93,28.34,27.95,27.76
