,tgt0.25R,tgt0.5R,tgt0.75R,tgt1.0R,tgt1.5R,tgt2.0R
stop1.0x,99.2,95.1,87.3,78.8,67.6,60.5
stop1.5x,97.3,86.0,75.5,69.1,62.4,60.3
stop2.0x,94.2,78.1,69.5,65.1,62.2,61.5
stop2.5x,89.7,73.7,66.7,64.5,63.0,62.6
stop3.0x,84.9,70.1,65.2,64.0,63.2,63.0
