W,n,win%,expR,CIR,PF,SQN,totR,net$,avgW_R,avgL_R,maxDD_R
2021-06-14/2021-06-20,3.0,66.7,0.845,1.827,2.26,0.91,2.5,1225.0,1.77,-1.0,-1.0
2021-06-21/2021-06-27,4.0,75.0,0.988,0.811,108.0,2.39,4.0,1338.0,1.32,-0.02,-0.0
2021-06-28/2021-07-04,3.0,0.0,-0.414,0.59,0.0,-1.37,-1.2,-525.0,,-0.41,-1.0
2021-07-05/2021-07-11,5.0,40.0,-0.063,0.386,0.24,-0.32,-0.3,-875.0,0.31,-0.31,-0.8
2021-07-12/2021-07-18,8.0,62.5,0.277,0.672,3.51,0.81,2.2,2288.0,0.82,-0.62,-0.7
2021-07-19/2021-07-25,2.0,0.0,-0.59,0.803,0.0,-1.44,-1.2,-1200.0,,-0.59,-0.2
2021-08-02/2021-08-08,3.0,66.7,0.763,1.294,8.92,1.16,2.3,1188.0,1.27,-0.26,-0.3
2021-08-09/2021-08-15,6.0,33.3,-0.048,0.535,0.72,-0.18,-0.3,-150.0,0.67,-0.41,-1.3
2021-08-16/2021-08-22,11.0,72.7,0.433,0.625,2.17,1.36,4.8,3612.0,0.97,-1.0,-2.0
2021-08-23/2021-08-29,2.0,50.0,0.204,0.399,inf,1.0,0.4,275.0,0.41,0.0,0.0
2021-08-30/2021-09-05,3.0,66.7,-0.034,0.815,1.07,-0.08,-0.1,25.0,0.37,-0.85,-0.8
2021-09-06/2021-09-12,3.0,66.7,0.573,0.962,11.18,1.17,1.7,1400.0,1.06,-0.41,-0.4
2021-09-13/2021-09-19,8.0,75.0,0.551,0.416,12.83,2.6,4.4,4288.0,0.82,-0.27,-0.5
2021-09-20/2021-09-26,5.0,40.0,-0.25,0.766,0.78,-0.64,-1.3,-538.0,0.65,-0.85,-1.0
2021-09-27/2021-10-03,8.0,62.5,0.113,0.467,1.11,0.47,0.9,225.0,0.55,-0.61,-1.6
2021-10-04/2021-10-10,6.0,50.0,-0.21,0.694,1.16,-0.59,-1.3,375.0,0.58,-1.0,-3.0
2021-10-11/2021-10-17,3.0,33.3,-0.115,1.057,0.62,-0.21,-0.3,-388.0,0.86,-0.6,-0.2
2021-10-18/2021-10-24,4.0,25.0,-0.742,0.507,0.02,-2.87,-3.0,-1350.0,0.03,-1.0,-2.0
2021-10-25/2021-10-31,3.0,33.3,-0.511,0.677,0.07,-1.48,-1.5,-862.0,0.16,-0.84,-0.7
2021-11-01/2021-11-07,4.0,75.0,0.416,0.482,111.0,1.69,1.7,1375.0,0.57,-0.03,0.0
2021-11-08/2021-11-14,10.0,50.0,0.029,0.449,1.15,0.12,0.3,212.0,0.52,-0.46,-1.3
2021-11-15/2021-11-21,1.0,0.0,-0.224,,0.0,,-0.2,-138.0,,-0.22,0.0
2021-11-29/2021-12-05,1.0,100.0,0.822,,inf,,0.8,1100.0,0.82,,0.0
2021-12-06/2021-12-12,1.0,0.0,-0.481,,0.0,,-0.5,-312.0,,-0.48,0.0
2021-12-13/2021-12-19,9.0,66.7,0.411,0.574,5.76,1.4,3.7,5175.0,0.79,-0.34,-1.0
2021-12-20/2021-12-26,4.0,50.0,0.037,1.132,1.16,0.06,0.1,275.0,0.84,-0.76,-1.5
2021-12-27/2022-01-02,6.0,50.0,0.3,1.167,2.05,0.5,1.8,1425.0,1.6,-1.0,-3.0
2022-01-03/2022-01-09,4.0,75.0,-0.118,0.596,1.24,-0.39,-0.5,138.0,0.18,-1.0,0.0
2022-01-10/2022-01-16,2.0,50.0,0.455,2.851,2.09,0.31,0.9,2050.0,1.91,-1.0,0.0
2022-01-17/2022-01-23,5.0,80.0,0.836,0.698,227.5,2.35,4.2,5662.0,1.05,-0.02,-0.0
2022-01-24/2022-01-30,8.0,75.0,0.548,0.547,9.47,1.96,4.4,12912.0,0.9,-0.51,-1.0
2022-01-31/2022-02-06,4.0,50.0,-0.229,0.872,0.93,-0.52,-0.9,-162.0,0.54,-1.0,-2.0
2022-02-07/2022-02-13,7.0,57.1,0.07,0.6,1.37,0.23,0.5,1200.0,0.66,-0.72,-1.8
2022-02-14/2022-02-20,4.0,50.0,-0.062,0.677,0.66,-0.18,-0.2,-575.0,0.42,-0.54,-1.1
2022-02-21/2022-02-27,7.0,71.4,0.873,1.044,5.33,1.64,6.1,14450.0,1.62,-1.0,-1.0
2022-02-28/2022-03-06,7.0,85.7,0.32,0.352,2.74,1.78,2.2,3625.0,0.48,-0.64,-0.6
2022-03-07/2022-03-13,2.0,100.0,0.379,0.252,inf,2.94,0.8,2375.0,0.38,,0.0
2022-03-14/2022-03-20,4.0,75.0,0.479,1.203,2.55,0.78,1.9,2012.0,0.97,-1.0,-1.0
2022-03-21/2022-03-27,5.0,60.0,-0.108,0.647,1.13,-0.33,-0.5,200.0,0.42,-0.9,-1.2
2022-03-28/2022-04-03,2.0,50.0,0.923,2.11,6.0,0.86,1.8,1312.0,2.0,-0.15,-0.2
2022-04-04/2022-04-10,6.0,50.0,-0.061,0.473,0.55,-0.25,-0.4,-912.0,0.37,-0.5,-0.3
