,tgt0.25R,tgt0.5R,tgt0.75R,tgt1.0R,tgt1.5R,tgt2.0R
stop1.0x,-1588.0,-1588.0,-2000.0,-2300.0,-3425.0,-3825.0
stop1.5x,-2344.0,-2794.0,-5331.0,-5331.0,-5331.0,-7375.0
stop2.0x,-3200.0,-7812.0,-7812.0,-7812.0,-8912.0,-8912.0
stop2.5x,-3988.0,-10294.0,-10294.0,-10525.0,-10525.0,-10525.0
stop3.0x,-6050.0,-12775.0,-12775.0,-12775.0,-12775.0,-12775.0
