Y,n,win%,expR,CIR,PF,SQN,totR,net$,avgW_R,avgL_R,maxDD_R
2021,126.0,54.0,0.162,0.153,1.75,2.08,20.4,19462.0,0.81,-0.6,-7.2
2022,255.0,65.1,0.271,0.106,2.51,5.0,69.2,116012.0,0.76,-0.64,-3.6
2023,240.0,64.6,0.233,0.105,2.27,4.36,55.8,56138.0,0.7,-0.61,-5.2
2024,258.0,56.2,0.2,0.11,1.94,3.56,51.5,60375.0,0.83,-0.61,-4.1
2025,237.0,65.0,0.267,0.102,2.36,5.12,63.3,91300.0,0.72,-0.57,-2.9
2026,80.0,60.0,0.087,0.162,1.51,1.05,7.0,15575.0,0.56,-0.62,-5.2
