,tgt0.25R,tgt0.5R,tgt0.75R,tgt1.0R,tgt1.5R,tgt2.0R
stop1.0x,0.24,0.426,0.521,0.546,0.589,0.586
stop1.5x,0.221,0.3,0.316,0.336,0.326,0.33
stop2.0x,0.196,0.213,0.228,0.224,0.225,0.223
stop2.5x,0.164,0.182,0.179,0.183,0.175,0.171
stop3.0x,0.138,0.148,0.146,0.145,0.142,0.137
