M,n,win%,expR,CIR,PF,SQN,totR,net$,avgW_R,avgL_R,maxDD_R
2021-06,8.0,62.5,0.467,0.544,2.19,1.68,3.7,1275.0,1.0,-0.42,-1.0
2021-07,17.0,52.9,0.074,0.368,1.16,0.39,1.3,575.0,0.68,-0.61,-1.9
2021-08,24.0,62.5,0.24,0.309,1.92,1.53,5.8,3800.0,0.77,-0.64,-2.0
2021-09,25.0,72.0,0.464,0.26,4.7,3.5,11.6,10950.0,0.83,-0.48,-1.0
2021-10,16.0,43.8,-0.169,0.434,1.02,-0.76,-2.7,125.0,0.74,-0.88,-4.5
2021-11,16.0,56.2,0.107,0.267,2.23,0.78,1.7,1962.0,0.48,-0.37,-1.3
2021-12,20.0,60.0,0.177,0.372,2.14,0.93,3.5,4775.0,0.76,-0.69,-3.5
2022-01,19.0,89.5,0.627,0.243,12.19,5.06,11.9,21825.0,0.76,-0.51,-1.0
2022-02,25.0,60.0,0.123,0.321,1.68,0.75,3.1,8700.0,0.73,-0.79,-2.7
2022-03,16.0,87.5,0.38,0.298,4.96,2.5,6.1,9312.0,0.58,-1.0,-1.8
2022-04,31.0,54.8,0.098,0.285,1.44,0.68,3.0,5850.0,0.75,-0.69,-3.4
2022-05,21.0,57.1,0.212,0.339,1.96,1.23,4.5,10362.0,0.82,-0.6,-3.0
2022-06,27.0,63.0,0.213,0.269,2.13,1.55,5.7,9212.0,0.66,-0.54,-1.5
2022-07,14.0,85.7,0.469,0.375,4.35,2.45,6.6,7462.0,0.71,-1.0,-1.0
2022-08,27.0,70.4,0.22,0.25,3.21,1.73,6.0,9162.0,0.58,-0.63,-1.9
2022-09,18.0,66.7,0.199,0.352,2.66,1.11,3.6,8275.0,0.64,-0.69,-2.8
2022-10,24.0,54.2,0.019,0.261,1.13,0.14,0.5,1012.0,0.51,-0.56,-3.1
2022-11,17.0,76.5,0.235,0.313,2.71,1.47,4.0,5000.0,0.52,-0.7,-1.3
2022-12,16.0,68.8,0.367,0.305,3.8,2.36,5.9,5638.0,0.7,-0.37,-1.0
2023-01,14.0,64.3,0.33,0.316,2.55,2.05,4.6,3850.0,0.69,-0.32,-0.5
2023-02,18.0,61.1,0.148,0.303,2.03,0.96,2.7,4450.0,0.56,-0.51,-1.0
2023-03,24.0,70.8,0.362,0.245,7.79,2.9,8.7,15112.0,0.66,-0.37,-1.0
2023-04,17.0,58.8,-0.014,0.37,1.14,-0.07,-0.2,688.0,0.54,-0.81,-3.9
2023-05,14.0,71.4,0.293,0.328,4.23,1.75,4.1,3638.0,0.61,-0.51,-1.0
2023-06,19.0,52.6,0.065,0.343,1.47,0.37,1.2,1825.0,0.68,-0.62,-2.6
2023-07,22.0,68.2,0.205,0.349,1.89,1.15,4.5,2825.0,0.7,-0.86,-1.7
2023-08,32.0,71.9,0.266,0.235,2.15,2.22,8.5,5900.0,0.61,-0.61,-2.7
2023-09,26.0,57.7,0.201,0.292,1.8,1.35,5.2,3850.0,0.76,-0.56,-2.0
2023-10,16.0,62.5,0.074,0.359,1.61,0.4,1.2,2875.0,0.55,-0.71,-2.0
2023-11,19.0,84.2,0.401,0.283,5.17,2.78,7.6,5688.0,0.61,-0.73,-1.0
2023-12,19.0,78.9,0.349,0.302,2.6,2.26,6.6,4450.0,0.63,-0.72,-1.5
2024-01,26.0,61.5,0.143,0.283,1.64,0.99,3.7,2988.0,0.64,-0.65,-2.2
2024-02,21.0,61.9,0.192,0.392,1.37,0.96,4.0,2138.0,0.87,-0.92,-1.7
2024-03,22.0,68.2,0.299,0.34,3.01,1.72,6.6,8025.0,0.81,-0.8,-2.0
2024-04,32.0,68.8,0.283,0.251,2.86,2.21,9.1,11088.0,0.68,-0.59,-2.0
2024-05,17.0,52.9,0.125,0.375,1.68,0.65,2.1,2612.0,0.75,-0.58,-2.0
2024-06,22.0,54.5,0.065,0.31,1.28,0.41,1.4,1688.0,0.66,-0.65,-1.8
2024-07,25.0,72.0,0.421,0.288,4.47,2.86,10.5,15088.0,0.81,-0.57,-1.4
2024-08,20.0,60.0,0.21,0.33,2.33,1.25,4.2,8300.0,0.71,-0.54,-2.0
2024-09,17.0,58.8,0.321,0.305,4.14,2.06,5.5,8038.0,0.76,-0.31,-1.0
2024-10,9.0,66.7,0.183,0.449,1.77,0.8,1.6,1512.0,0.58,-0.61,-1.0
2024-11,22.0,54.5,0.127,0.292,1.35,0.85,2.8,2300.0,0.65,-0.5,-3.1
2024-12,25.0,56.0,-0.035,0.277,1.15,-0.25,-0.9,988.0,0.49,-0.7,-3.5
2025-01,21.0,76.2,0.398,0.319,2.41,2.44,8.4,10775.0,0.77,-0.79,-1.0
2025-02,15.0,86.7,0.609,0.26,27.06,4.58,9.1,11075.0,0.75,-0.29,-0.5
2025-03,26.0,57.7,0.24,0.275,2.65,1.72,6.2,14125.0,0.75,-0.45,-2.0
2025-04,26.0,73.1,0.268,0.314,2.1,1.67,7.0,17038.0,0.69,-0.88,-2.0
2025-05,15.0,53.3,0.103,0.392,1.02,0.51,1.5,125.0,0.7,-0.58,-1.5
2025-06,10.0,90.0,0.548,0.311,36.0,3.46,5.5,6125.0,0.64,-0.25,-0.2
2025-07,23.0,65.2,0.185,0.284,1.59,1.28,4.3,2325.0,0.62,-0.63,-1.3
2025-08,20.0,65.0,0.252,0.347,1.96,1.42,5.0,3912.0,0.76,-0.68,-2.0
2025-09,22.0,59.1,0.227,0.259,2.87,1.72,5.0,5238.0,0.64,-0.37,-1.4
2025-10,16.0,56.2,0.155,0.363,2.24,0.83,2.5,5612.0,0.67,-0.51,-2.2
2025-11,22.0,77.3,0.32,0.275,2.44,2.29,7.0,9662.0,0.61,-0.66,-2.2
2025-12,21.0,66.7,0.315,0.233,5.61,2.66,6.6,9562.0,0.62,-0.3,-0.7
2026-01,15.0,66.7,0.166,0.343,2.09,0.95,2.5,4125.0,0.57,-0.63,-1.4
2026-02,16.0,62.5,0.19,0.317,1.55,1.18,3.0,3475.0,0.61,-0.5,-1.0
2026-03,22.0,59.1,-0.03,0.306,1.05,-0.19,-0.7,675.0,0.47,-0.76,-3.6
2026-04,8.0,100.0,0.487,0.299,inf,3.19,3.9,4812.0,0.49,,0.0
2026-05,8.0,37.5,-0.056,0.438,1.12,-0.25,-0.5,275.0,0.58,-0.44,-1.9
2026-06,11.0,63.6,0.051,0.393,2.38,0.25,0.6,5175.0,0.47,-0.69,-1.0
