Y,n,win%,expR,CIR,PF,SQN,totR,net$,avgW_R,avgL_R,maxDD_R
2021,126.0,59.5,0.198,0.133,2.03,2.9,24.9,23462.0,0.75,-0.61,-4.5
2022,255.0,67.5,0.238,0.088,2.39,5.33,60.7,101812.0,0.66,-0.64,-3.4
2023,240.0,67.1,0.228,0.088,2.35,5.07,54.8,55150.0,0.64,-0.61,-3.9
2024,258.0,61.6,0.196,0.091,2.1,4.24,50.7,64762.0,0.71,-0.62,-3.5
2025,237.0,67.9,0.288,0.088,2.54,6.41,68.2,95575.0,0.69,-0.55,-2.2
2026,80.0,63.7,0.111,0.145,1.65,1.5,8.9,18538.0,0.53,-0.62,-3.6
