W,n,win%,expR,CIR,PF,SQN,totR,net$,avgW_R,avgL_R,maxDD_R
2021-06-14/2021-06-20,3.0,66.7,0.333,1.307,1.29,0.5,1.0,288.0,1.0,-1.0,-1.0
2021-06-21/2021-06-27,4.0,75.0,0.744,0.501,87.0,2.91,3.0,1075.0,1.0,-0.02,-0.0
2021-06-28/2021-07-04,3.0,33.3,-0.08,1.143,0.55,-0.14,-0.2,-238.0,1.0,-0.62,-1.0
2021-07-05/2021-07-11,5.0,60.0,0.251,0.65,1.15,0.76,1.3,162.0,0.7,-0.42,-0.8
2021-07-12/2021-07-18,8.0,62.5,0.148,0.521,2.93,0.56,1.2,1762.0,0.61,-0.62,-0.7
2021-07-19/2021-07-25,2.0,0.0,-0.59,0.803,0.0,-1.44,-1.2,-1200.0,,-0.59,-0.2
2021-08-02/2021-08-08,3.0,66.7,0.582,0.82,7.25,1.39,1.7,938.0,1.0,-0.26,-0.3
2021-08-09/2021-08-15,6.0,33.3,-0.086,0.467,0.6,-0.36,-0.5,-212.0,0.55,-0.41,-1.3
2021-08-16/2021-08-22,11.0,72.7,0.315,0.529,1.85,1.17,3.5,2650.0,0.81,-1.0,-2.0
2021-08-23/2021-08-29,2.0,100.0,0.704,0.581,inf,2.38,1.4,600.0,0.7,,0.0
2021-08-30/2021-09-05,3.0,66.7,-0.034,0.815,1.07,-0.08,-0.1,25.0,0.37,-0.85,-0.8
2021-09-06/2021-09-12,3.0,66.7,0.531,0.92,10.45,1.13,1.6,1300.0,1.0,-0.41,-0.4
2021-09-13/2021-09-19,8.0,75.0,0.532,0.395,12.38,2.64,4.3,4125.0,0.8,-0.27,-0.5
2021-09-20/2021-09-26,5.0,80.0,0.69,0.608,13.74,2.22,3.4,4300.0,1.0,-0.55,-0.6
2021-09-27/2021-10-03,8.0,62.5,0.261,0.548,1.48,0.93,2.1,1025.0,0.78,-0.61,-1.0
2021-10-04/2021-10-10,6.0,66.7,0.193,0.756,2.27,0.5,1.2,2288.0,0.79,-1.0,-1.0
2021-10-11/2021-10-17,3.0,33.3,-0.069,1.14,0.72,-0.12,-0.2,-288.0,1.0,-0.6,-0.2
2021-10-18/2021-10-24,4.0,25.0,-0.742,0.507,0.02,-2.87,-3.0,-1350.0,0.03,-1.0,-2.0
2021-10-25/2021-10-31,3.0,33.3,-0.23,1.218,0.43,-0.37,-0.7,-525.0,1.0,-0.84,-0.7
2021-11-01/2021-11-07,4.0,75.0,0.387,0.428,104.0,1.77,1.5,1288.0,0.53,-0.03,0.0
