orb,risk,rr,tr_n,tr_pnl,tr_pf,tr_win,tr_dd,tr_ndd,tr_shp,oo_n,oo_pnl,oo_pf,oo_win,oo_dd,oo_ndd,oo_shp
6,5,2.5,631,695,1.01,35.5,-9778,0.1,0.05,626,-16392,0.86,32.6,-19010,-0.9,-1.09
6,6,2.0,631,-892,0.99,39.9,-10822,-0.1,-0.06,626,-7880,0.94,38.7,-11165,-0.7,-0.49
6,5,3.0,631,-1742,0.98,32.6,-14198,-0.1,-0.11,626,-12305,0.9,30.8,-16060,-0.8,-0.76
6,6,2.5,631,-2455,0.98,36.5,-13535,-0.2,-0.14,626,-2218,0.98,36.3,-10210,-0.2,-0.12
6,5,2.0,631,-6168,0.94,38.2,-11820,-0.5,-0.45,626,-18655,0.83,35.8,-20160,-0.9,-1.37
6,4,3.0,631,-7130,0.93,30.4,-14090,-0.5,-0.53,626,-24980,0.77,26.5,-25398,-1.0,-1.9
6,6,3.0,631,-8768,0.93,34.1,-17462,-0.5,-0.48,626,-168,1.0,34.5,-12338,-0.0,-0.01
6,4,2.5,631,-12055,0.88,32.3,-15830,-0.8,-0.98,626,-27655,0.73,28.8,-27972,-1.0,-2.3
9,4,3.0,630,-12688,0.87,29.7,-18485,-0.7,-0.96,627,-23672,0.77,28.1,-23442,-1.0,-1.84
3,6,3.0,632,-12748,0.91,33.2,-27085,-0.5,-0.68,625,1538,1.01,32.5,-9242,0.2,0.08
3,4,2.5,632,-12935,0.87,32.3,-22040,-0.6,-1.04,625,-15475,0.85,30.9,-16438,-0.9,-1.24
3,4,2.0,632,-13598,0.85,36.6,-19545,-0.7,-1.21,625,-17100,0.82,34.7,-17712,-1.0,-1.52
3,4,3.0,632,-14248,0.86,29.3,-25810,-0.6,-1.06,625,-13188,0.87,28.2,-13822,-1.0,-0.96
6,4,2.0,631,-14392,0.84,35.7,-17022,-0.8,-1.29,626,-21780,0.77,34.0,-22468,-1.0,-1.97
9,6,2.5,630,-15038,0.88,35.6,-20010,-0.8,-0.91,627,-17110,0.86,35.1,-17588,-1.0,-1.03
9,5,3.0,630,-15212,0.87,31.3,-20525,-0.7,-0.98,627,-17260,0.85,31.4,-17558,-1.0,-1.11
3,3,2.0,632,-15710,0.79,35.3,-19215,-0.8,-1.84,625,-18400,0.76,34.4,-18762,-1.0,-2.15
3,5,2.5,632,-15722,0.87,32.8,-27722,-0.6,-1.04,625,-15138,0.88,31.5,-15448,-1.0,-0.98
3,5,2.0,632,-15798,0.86,36.2,-23715,-0.7,-1.15,625,-17125,0.85,35.2,-17800,-1.0,-1.24
6,3,2.0,631,-15842,0.79,35.2,-15975,-1.0,-1.86,626,-21218,0.72,33.9,-21630,-1.0,-2.51
9,4,2.5,630,-15950,0.84,31.4,-19625,-0.8,-1.32,627,-15572,0.84,32.1,-15475,-1.0,-1.27
3,6,2.5,632,-16260,0.88,34.5,-27325,-0.6,-0.93,625,-3488,0.97,34.4,-9888,-0.4,-0.19
9,6,3.0,630,-16400,0.87,34.3,-21672,-0.8,-0.94,627,-17285,0.87,33.8,-18412,-0.9,-0.99
9,5,2.5,630,-16625,0.85,32.7,-22962,-0.7,-1.14,627,-20960,0.82,33.0,-20970,-1.0,-1.45
3,6,2.0,632,-16648,0.87,37.2,-25690,-0.6,-1.04,625,-6350,0.95,37.8,-10888,-0.6,-0.38
3,5,3.0,632,-16648,0.86,30.4,-30400,-0.5,-1.03,625,-13762,0.89,29.0,-14572,-0.9,-0.82
3,3,3.0,632,-16835,0.8,27.1,-20902,-0.8,-1.62,625,-21038,0.76,25.8,-22172,-0.9,-2.05
9,6,2.0,630,-17888,0.85,37.1,-24755,-0.7,-1.16,627,-19998,0.84,37.5,-19895,-1.0,-1.31
3,3,2.5,632,-18660,0.77,29.9,-22015,-0.8,-1.97,625,-18200,0.78,29.8,-18950,-1.0,-1.91
9,3,3.0,630,-18825,0.77,26.7,-20540,-0.9,-1.86,627,-22635,0.73,25.8,-22455,-1.0,-2.26
6,3,3.0,631,-19068,0.77,26.6,-20378,-0.9,-1.88,626,-20780,0.76,26.2,-21342,-1.0,-2.03
9,3,2.5,630,-19362,0.76,29.7,-20002,-1.0,-2.09,627,-22935,0.72,28.5,-22755,-1.0,-2.48
6,3,2.5,631,-19668,0.76,29.5,-19988,-1.0,-2.1,626,-20680,0.75,29.6,-21468,-1.0,-2.2
9,5,2.0,630,-20075,0.82,35.1,-24262,-0.8,-1.51,627,-11560,0.89,38.0,-11445,-1.0,-0.86
9,4,2.0,630,-20325,0.78,34.3,-21812,-0.9,-1.87,627,-12285,0.87,36.5,-14588,-0.8,-1.1
9,3,2.0,630,-23625,0.69,32.5,-23755,-1.0,-2.87,627,-24222,0.69,32.4,-24042,-1.0,-2.92
