cfg,tr_n,tr_pnl,tr_pf,tr_win,tr_dd,tr_ndd,oo_n,oo_pnl,oo_pf,oo_win,oo_dd,oo_ndd
lvl_sma20d_ib12_r12_rr1.5_md3.0,362,21578,1.19,47.8,-7642,2.8,383,4322,1.03,44.6,-15695,0.3
lvl_sma20d_ib12_r10_rr1.5_md3.0,362,9415,1.09,45.6,-7722,1.2,383,-740,0.99,43.1,-14935,-0.0
lvl_sma20d_ib18_r12_rr1.5_md3.0,319,8642,1.09,45.5,-7005,1.2,349,-295,1.0,45.3,-13430,-0.0
lvl_sma20d_ib18_r10_rr1.5_md3.0,319,2042,1.02,44.2,-10090,0.2,349,-9608,0.91,41.8,-15802,-0.6
lvl_sma20d_ib12_r8_rr1.5_md3.0,362,-3972,0.95,42.8,-10435,-0.4,383,3460,1.04,44.1,-8978,0.4
lvl_sma20d_ib18_r8_rr1.5_md3.0,319,-8082,0.9,40.8,-13272,-0.6,349,-6382,0.93,41.8,-14485,-0.4
