cfg,signals,folds,oos_trades,net,prom,pct_green,wfe,pf,mar,mar95,best_share
VA_only,4011,13,2945,339044.25,0.41783231705214985,61.53846153846154,41.699743311195306,1.1501195867894765,8.134019876566164,5.257164277346672,37.34468288431378
VA_VWAPgt0.5,3358,12,2352,270222.0,0.33308151729778707,75.0,57.37567787730755,1.2032217609812998,5.916158094372773,4.189698668983579,46.149462293965705
VA_VWAPgt1.0,2611,11,1823,237783.0,0.31324183103148767,81.81818181818183,35.395466561673885,1.135133244736658,7.076348485975746,4.148646621001539,43.7317848626689
VA_ERgt0.2,3598,12,2508,355605.5,0.4917235881788575,91.66666666666666,70.78259584233267,1.2764079800451342,9.161194337459586,6.424117527376258,38.695197346497736
VA_ERgt0.32,3245,12,2379,402411.25,0.5475206231085691,100.0,85.80807205820007,1.360045233562626,10.183437193559612,8.295890515448189,30.10657629477307
VA_ERgt0.4,2941,11,2017,341740.5,1.1164009588839852,90.9090909090909,83.6263465232691,1.2956594423547674,9.959795406854745,7.25885218266796,30.28065154700716
