er_min,signals,folds,oos_trades,net,exp,median,win_pct,prom,pct_green,wfe,pf,maxdd,mar,dd95,mar95,best_share
0.2,3598,12,2508,355605.5,141.78847687400318,123.625,53.74800637958532,0.4917235881788575,91.66666666666666,70.78259584233267,1.2764079800451342,-38816.5,9.161194337459586,-56734.325,6.267907479290535,38.695197346497736
0.22,3533,12,2482,348627.25,140.46222804190168,134.5,53.86784850926672,0.4785029663473608,91.66666666666666,74.88226655930112,1.2490314319309164,-39764.0,8.767408962880998,-55759.275,6.252363396044873,37.711839794508315
0.24,3481,12,2466,365913.0,148.3832116788321,148.625,54.33901054339011,0.5749139962142004,91.66666666666666,79.43174736460563,1.2860514517726491,-38839.25,9.421216939050058,-53791.737499999996,6.802401577007994,34.95373217130848
0.26,3423,12,2436,357346.75,146.69406814449917,159.5,54.43349753694581,0.5126184415408073,91.66666666666666,81.32450031429772,1.3215111605555054,-42961.5,8.317836900480662,-54121.5625,6.60266876071806,32.684710298890366
0.28,3369,12,2431,389173.25,160.087721102427,172.0,54.83340189222542,0.5154654878041798,91.66666666666666,105.54672891834211,1.3473813777243568,-42690.5,9.116155819210363,-51011.05,7.6291950469555125,31.596210685086913
0.3,3312,12,2391,395989.25,165.61658301965704,175.25,55.081555834378925,0.56131520951416,91.66666666666666,105.9490192729692,1.3493466701840615,-42690.5,9.275816633677282,-49009.4,8.07986325072333,31.66588486934936
0.32,3245,12,2379,402411.25,169.15142917192097,172.0,55.19125683060109,0.5475206231085691,100.0,85.80807205820007,1.360045233562626,-39516.25,10.183437193559612,-49034.15,8.206754884096084,30.10657629477307
0.34,3162,11,2135,327206.5,153.25831381733022,162.75,54.941451990632316,0.7142871140661736,100.0,68.4886929372316,1.278485533992142,-42126.0,7.767328965484499,-50632.2875,6.462408003983624,32.32240190827505
0.36,3080,11,2091,321561.25,153.7834768053563,162.75,55.14108082257293,0.7991967959727848,81.81818181818183,65.00361864103998,1.2380228745101176,-40011.0,8.036821124190848,-51212.3875,6.2789740079975775,30.332168443803475
0.38,3012,11,2054,325105.75,158.2793330087634,172.0,55.404089581304774,0.8636942907746743,90.9090909090909,51.221224330039014,1.2153950606806416,-39648.75,8.199646899334784,-50243.3875,6.470617650929688,28.588851473712783
0.4,2941,11,2017,341740.5,169.4300941993059,187.75,55.82548339117501,1.1164009588839852,90.9090909090909,83.6263465232691,1.2956594423547674,-34312.0,9.959795406854745,-47053.075,7.262872830309178,30.28065154700716
