bucket,ib_tier,n,P_trend,P_ext,P_postADR50,med_fthru_adr,P_both,P_close_above,P_close_inside,P_close_below,trend_2123,trend_2426
above_yH,narrow,111.0,0.0990990990990991,0.9009009009009009,0.5675675675675675,0.23196474135931336,0.2882882882882883,0.34234234234234234,0.36036036036036034,0.2972972972972973,0.11627906976744186,0.08823529411764706
above_yH,mid,94.0,0.1595744680851064,0.723404255319149,0.8297872340425532,0.2851782852595828,0.20212765957446807,0.30851063829787234,0.3829787234042553,0.30851063829787234,0.1111111111111111,0.225
above_yH,wide,73.0,0.3835616438356164,0.5616438356164384,0.8904109589041096,0.34573304157549234,0.0821917808219178,0.3287671232876712,0.3150684931506849,0.3561643835616438,0.3902439024390244,0.375
below_yL,narrow,34.0,0.058823529411764705,0.7352941176470589,0.6764705882352942,0.18325759856925167,0.29411764705882354,0.38235294117647056,0.4411764705882353,0.17647058823529413,,
below_yL,mid,77.0,0.23376623376623376,0.6753246753246753,0.8571428571428571,0.3629976580796253,0.3246753246753247,0.33766233766233766,0.36363636363636365,0.2987012987012987,0.2222222222222222,0.25
below_yL,wide,93.0,0.3333333333333333,0.4731182795698925,0.989247311827957,0.39446076374318084,0.25806451612903225,0.3010752688172043,0.46236559139784944,0.23655913978494625,0.3181818181818182,0.3469387755102041
lower_half,narrow,101.0,0.1188118811881188,0.8118811881188119,0.6831683168316832,0.2837869271923703,0.44554455445544555,0.43564356435643564,0.27722772277227725,0.2871287128712871,0.11764705882352941,0.12
lower_half,mid,112.0,0.25,0.7589285714285714,0.8928571428571429,0.37497817027564295,0.26785714285714285,0.39285714285714285,0.33035714285714285,0.2767857142857143,0.24285714285714285,0.2619047619047619
lower_half,wide,116.0,0.41379310344827586,0.5344827586206896,0.9568965517241379,0.3812538856323589,0.3017241379310345,0.3017241379310345,0.4396551724137931,0.25862068965517243,0.4444444444444444,0.3870967741935484
upper_half,narrow,171.0,0.08771929824561403,0.8128654970760234,0.6023391812865497,0.23097112860892388,0.3742690058479532,0.39766081871345027,0.3333333333333333,0.26900584795321636,0.15625,0.04672897196261682
upper_half,mid,134.0,0.23880597014925373,0.7388059701492538,0.8283582089552238,0.36316428660611066,0.2462686567164179,0.417910447761194,0.29850746268656714,0.2835820895522388,0.26153846153846155,0.21739130434782608
upper_half,wide,135.0,0.3925925925925926,0.5777777777777777,0.9185185185185185,0.4601449275362319,0.13333333333333333,0.3111111111111111,0.362962962962963,0.32592592592592595,0.4666666666666667,0.3333333333333333
