population,timeframe,keep_ER_gt,N,pct_kept,win_pct,exp_R,exp_usd,PF,net_usd,maxdd_usd,pnl_dd
ALL,ER15,0.0,5334,100.0,52.4,0.048,52.4,1.162,279242.0,-25970.0,10.75
ALL,ER15,0.1,5325,99.8,52.4,0.049,52.7,1.163,280575.0,-25970.0,10.8
ALL,ER15,0.2,5314,99.6,52.4,0.049,53.2,1.165,282555.0,-25970.0,10.88
ALL,ER15,0.3,5299,99.3,52.4,0.049,53.4,1.166,283155.0,-26648.0,10.63
ALL,ER15,0.4,5251,98.4,52.4,0.048,53.2,1.165,279345.0,-25750.0,10.85
ALL,ER15,0.5,5166,96.8,52.4,0.049,54.0,1.167,278832.0,-26385.0,10.57
ALL,ER15,0.6,5061,94.9,52.4,0.049,54.2,1.168,274558.0,-25775.0,10.65
ALL,ER15,0.7,4933,92.5,52.3,0.049,53.6,1.166,264372.0,-24742.0,10.68
ALL,ER15,0.8,4747,89.0,52.4,0.049,55.4,1.171,262865.0,-26902.0,9.77
ALL,ER15,0.9,4517,84.7,52.5,0.05,54.5,1.168,246315.0,-26268.0,9.38
ALL,ER30,0.0,5324,99.8,52.5,0.05,53.3,1.165,283855.0,-25970.0,10.93
ALL,ER30,0.1,5087,95.4,52.5,0.051,53.3,1.164,271228.0,-27872.0,9.73
ALL,ER30,0.2,4737,88.8,52.3,0.048,53.1,1.163,251340.0,-28688.0,8.76
ALL,ER30,0.3,4304,80.7,52.3,0.05,54.4,1.166,234005.0,-28988.0,8.07
ALL,ER30,0.4,3728,69.9,52.2,0.048,52.6,1.159,195935.0,-27918.0,7.02
ALL,ER30,0.5,3094,58.0,51.7,0.043,40.4,1.119,125018.0,-28762.0,4.35
ALL,ER30,0.6,2426,45.5,51.8,0.044,52.0,1.154,126095.0,-32100.0,3.93
ALL,ER30,0.7,1714,32.1,52.7,0.058,70.5,1.207,120780.0,-23392.0,5.16
ALL,ER30,0.8,1081,20.3,54.0,0.069,71.6,1.207,77408.0,-18532.0,4.18
ALL,ER30,0.9,597,11.2,52.3,0.019,16.2,1.043,9665.0,-33282.0,0.29
ALL,ER45,0.0,5293,99.2,52.4,0.049,52.6,1.162,278410.0,-25970.0,10.72
ALL,ER45,0.1,4701,88.1,52.4,0.048,51.3,1.157,241295.0,-24132.0,10.0
ALL,ER45,0.2,4062,76.1,52.0,0.042,43.6,1.13,177015.0,-27538.0,6.43
ALL,ER45,0.3,3405,63.8,52.4,0.052,51.4,1.154,175025.0,-20310.0,8.62
ALL,ER45,0.4,2712,50.8,53.2,0.071,71.6,1.219,194290.0,-21295.0,9.12
ALL,ER45,0.5,2016,37.8,53.0,0.067,68.5,1.203,138032.0,-17822.0,7.74
ALL,ER45,0.6,1406,26.4,53.3,0.064,70.0,1.198,98420.0,-27112.0,3.63
ALL,ER45,0.7,880,16.5,54.9,0.082,92.9,1.253,81725.0,-18360.0,4.45
ALL,ER45,0.8,462,8.7,55.4,0.082,87.0,1.229,40215.0,-19212.0,2.09
ALL,ER45,0.9,186,3.5,56.5,0.076,97.9,1.242,18208.0,-11900.0,1.53
ALL,ER60,0.0,5308,99.5,52.4,0.049,52.4,1.162,277910.0,-25655.0,10.83
ALL,ER60,0.1,4486,84.1,52.1,0.048,51.2,1.156,229508.0,-27678.0,8.29
ALL,ER60,0.2,3659,68.6,52.0,0.048,46.6,1.137,170368.0,-29680.0,5.74
ALL,ER60,0.3,2902,54.4,51.4,0.037,37.6,1.107,109015.0,-38568.0,2.83
ALL,ER60,0.4,2181,40.9,51.9,0.048,49.0,1.141,106945.0,-32635.0,3.28
ALL,ER60,0.5,1540,28.9,51.5,0.044,48.5,1.134,74725.0,-22042.0,3.39
ALL,ER60,0.6,980,18.4,52.6,0.057,73.2,1.203,71775.0,-17972.0,3.99
ALL,ER60,0.7,541,10.1,55.1,0.08,116.6,1.315,63082.0,-14750.0,4.28
ALL,ER60,0.8,223,4.2,57.4,0.086,76.1,1.186,16960.0,-17152.0,0.99
ALL,ER60,0.9,68,1.3,54.4,-0.002,138.8,1.318,9435.0,-13382.0,0.71
CC1,ER15,0.0,130,100.0,52.3,0.098,189.4,1.573,24625.0,-9658.0,2.55
CC1,ER15,0.1,129,99.2,52.7,0.107,197.9,1.607,25530.0,-9658.0,2.64
CC1,ER15,0.2,126,96.9,51.6,0.086,174.3,1.522,21958.0,-9658.0,2.27
