er10_min,zlo_filter,trades,n_wins,n_stop,n_sess,win_pct,net,exp,exp_r,pf,avg_win,avg_loss,maxdd,pnl_dd,sqn,sharpe
0.2,trend_dir_strict,3026,1648,1378,0,54.5,248257.0,82.0,0.0918,1.28,724.0,-685.0,-23517.0,10.56,1.07,1.85
0.2,osc_sign+trend,3023,1648,1375,0,54.5,248707.0,82.3,0.0925,1.28,722.0,-685.0,-23517.0,10.58,1.08,1.86
0.2,osc_sign+ts3,3306,1803,1503,0,54.5,268298.0,81.2,0.0919,1.28,713.0,-677.0,-21996.0,12.2,1.07,1.92
0.2,confluence_mom,329,189,140,0,57.4,49441.0,150.3,0.167,1.54,760.0,-673.0,-8781.0,5.63,2.13,2.58
0.2,confluence_any,338,194,144,0,57.4,49001.0,145.0,0.1651,1.51,762.0,-687.0,-8781.0,5.58,2.09,2.5
0.3,none,4380,2445,1935,0,55.8,468903.0,107.1,0.1136,1.38,723.0,-671.0,-27018.0,17.36,1.31,2.99
0.3,trend_dir,3371,1856,1515,0,55.1,331440.0,98.3,0.1051,1.34,737.0,-684.0,-28972.0,11.44,1.24,2.34
0.3,ts_ge3,3105,1736,1369,0,55.9,325050.0,104.7,0.1141,1.37,720.0,-676.0,-20279.0,16.03,1.33,2.36
0.3,ts_ge4,3029,1696,1333,0,56.0,316556.0,104.5,0.1157,1.37,717.0,-675.0,-20279.0,15.61,1.35,2.33
0.3,ts_dir_ge3,3044,1694,1350,0,55.7,299353.0,98.3,0.1089,1.35,713.0,-673.0,-20279.0,14.76,1.27,2.21
0.3,ts_dir_ge4,3002,1675,1327,0,55.8,300511.0,100.1,0.1118,1.35,713.0,-674.0,-20279.0,14.82,1.31,2.22
0.3,osc_sign,3050,1700,1350,0,55.7,303302.0,99.4,0.1103,1.35,713.0,-673.0,-20279.0,14.96,1.29,2.24
0.3,trend_dir_strict,2786,1548,1238,0,55.6,279741.0,100.4,0.1095,1.35,725.0,-680.0,-21800.0,12.83,1.28,2.17
0.3,osc_sign+trend,2783,1548,1235,0,55.6,280191.0,100.7,0.1103,1.35,723.0,-680.0,-21800.0,12.85,1.29,2.19
0.3,osc_sign+ts3,3044,1694,1350,0,55.7,299353.0,98.3,0.1089,1.35,713.0,-673.0,-20279.0,14.76,1.27,2.21
0.3,confluence_mom,302,178,124,0,58.9,50946.0,168.7,0.1847,1.62,760.0,-681.0,-7960.0,6.4,2.36,2.85
0.3,confluence_any,310,183,127,0,59.0,51561.0,166.3,0.1861,1.61,762.0,-693.0,-8051.0,6.4,2.36,2.83
0.4,none,4050,2320,1730,0,57.3,516330.0,127.5,0.1396,1.46,722.0,-670.0,-24522.0,21.06,1.62,3.47
0.4,trend_dir,3121,1764,1357,0,56.5,368730.0,118.1,0.1295,1.41,735.0,-684.0,-26475.0,13.93,1.53,2.76
0.4,ts_ge3,2863,1644,1219,0,57.4,364605.0,127.4,0.1412,1.46,720.0,-672.0,-18123.0,20.12,1.65,2.83
0.4,ts_ge4,2798,1610,1188,0,57.5,356351.0,127.4,0.1434,1.47,717.0,-671.0,-18123.0,19.66,1.68,2.81
0.4,ts_dir_ge3,2810,1605,1205,0,57.1,339586.0,120.8,0.1353,1.44,714.0,-670.0,-18123.0,18.74,1.58,2.69
0.4,ts_dir_ge4,2774,1590,1184,0,57.3,341718.0,123.2,0.1389,1.45,714.0,-670.0,-18123.0,18.86,1.63,2.71
0.4,osc_sign,2816,1611,1205,0,57.2,343535.0,122.0,0.1368,1.44,714.0,-670.0,-18123.0,18.96,1.6,2.72
0.4,trend_dir_strict,2572,1466,1106,0,57.0,313674.0,122.0,0.1342,1.44,726.0,-678.0,-19303.0,16.25,1.58,2.61
0.4,osc_sign+trend,2570,1466,1104,0,57.0,313870.0,122.1,0.135,1.44,724.0,-677.0,-19303.0,16.26,1.59,2.62
0.4,osc_sign+ts3,2810,1605,1205,0,57.1,339586.0,120.8,0.1353,1.44,714.0,-670.0,-18123.0,18.74,1.58,2.69
0.4,confluence_mom,282,173,109,0,61.3,58608.0,207.8,0.2223,1.81,766.0,-678.0,-7960.0,7.36,2.87,3.51
0.4,confluence_any,289,178,111,0,61.6,60777.0,210.3,0.2269,1.82,768.0,-684.0,-7960.0,7.64,2.92,3.56
0.5,none,3788,2230,1558,0,58.9,577009.0,152.3,0.1672,1.58,723.0,-664.0,-19384.0,29.77,1.96,4.03
0.5,trend_dir,2903,1688,1215,0,58.1,423893.0,146.0,0.1576,1.54,737.0,-675.0,-21337.0,19.87,1.87,3.32
0.5,ts_ge3,2676,1580,1096,0,59.0,403958.0,151.0,0.1678,1.57,719.0,-668.0,-14649.0,27.58,1.97,3.29
0.5,ts_ge4,2612,1546,1066,0,59.2,394724.0,151.1,0.1703,1.58,715.0,-666.0,-14649.0,26.95,2.01,3.27
0.5,ts_dir_ge3,2624,1542,1082,0,58.8,380122.0,144.9,0.1623,1.55,713.0,-664.0,-14649.0,25.95,1.91,3.17
0.5,ts_dir_ge4,2589,1527,1062,0,59.0,381274.0,147.3,0.166,1.56,713.0,-666.0,-14649.0,26.03,1.96,3.18
0.5,osc_sign,2630,1548,1082,0,58.9,384071.0,146.0,0.1638,1.55,713.0,-664.0,-14649.0,26.22,1.93,3.19
0.5,trend_dir_strict,2399,1407,992,0,58.6,353853.0,147.5,0.1612,1.55,725.0,-672.0,-16170.0,21.88,1.91,3.08
0.5,osc_sign+trend,2397,1407,990,0,58.7,354049.0,147.7,0.1621,1.55,723.0,-671.0,-16170.0,21.9,1.92,3.09
0.5,osc_sign+ts3,2624,1542,1082,0,58.8,380122.0,144.9,0.1623,1.55,713.0,-664.0,-14649.0,25.95,1.91,3.17
0.5,confluence_mom,269,170,99,0,63.2,64990.0,241.6,0.2439,2.01,771.0,-668.0,-5755.0,11.29,3.16,4.14
0.5,confluence_any,275,175,100,0,63.6,68376.0,248.6,0.2527,2.05,773.0,-669.0,-5755.0,11.88,3.27,4.28
0.6,none,3563,2136,1427,0,59.9,598303.0,167.9,0.1827,1.66,722.0,-661.0,-19512.0,30.66,2.14,4.24
0.6,trend_dir,2723,1618,1105,0,59.4,446228.0,163.9,0.1749,1.62,735.0,-673.0,-20645.0,21.61,2.09,3.6
0.6,ts_ge3,2514,1515,999,0,60.3,432726.0,172.1,0.1839,1.68,721.0,-661.0,-14892.0,29.06,2.17,3.65
0.6,ts_ge4,2451,1482,969,0,60.5,424151.0,173.1,0.1873,1.68,717.0,-659.0,-14892.0,28.48,2.22,3.64
