cfg,signals,folds,oos_trades,net,exp,prom,pct_green,wfe,pf,mar,dd95,mar95,best_share
ER_only,4535,15,3520,517000.25,146.87507102272727,0.7232737058931218,80.0,121.59135834757593,1.2502374757361747,10.054360614929843,-58846.3625,8.785594011864369,26.532724113769774
ER+VA,3312,12,2391,395989.25,165.61658301965704,0.56131520951416,91.66666666666666,105.9490192729692,1.3493466701840615,9.275816633677282,-48861.325,8.104349401085624,31.66588486934936
ER+VWAP_drop05,3760,14,2821,406077.5,143.94806806097128,0.5608761501447006,85.71428571428571,98.88846914444332,1.3099518323984907,9.365579990082683,-58696.875,6.918213277964116,29.423201236217224
ER+EMA_aligned,4185,14,3061,355311.0,116.07677229663508,0.42579391445914544,92.85714285714286,125.69081490275215,1.2055473230351055,7.014955429857554,-66810.275,5.3182089132248,29.85827908508321
