dt,side,why15,R15,risk_tk,e50,stop,tgt,tick_why,tick_R
2026-06-01 09:00:00,S,stop,-1.0,14.5,7652.88,7656.5,7630.24,stop,-1.0
2026-06-01 09:15:00,L,stop,-1.0,9.7,7647.75,7645.33,7662.84,stop,-1.0
2026-06-01 09:30:00,S,stop,-1.0,7.2,7650.38,7652.17,7639.15,stop,-1.0
2026-06-01 11:00:00,L,stop,-1.0,10.4,7653.25,7650.65,7669.44,stop,-1.0
2026-06-01 13:30:00,S,target,6.24,4.8,7688.38,7689.58,7680.83,target,6.24
2026-06-02 09:15:00,S,stop,-1.0,15.5,7673.12,7676.99,7649.02,stop,-1.0
2026-06-02 14:00:00,S,stop,-1.0,5.7,7682.75,7684.17,7673.92,stop,-1.0
2026-06-03 10:00:00,L,stop,-1.0,11.0,7646.88,7644.13,7663.99,stop,-1.0
2026-06-03 12:00:00,S,stop,-1.0,13.0,7637.5,7640.74,7617.26,stop,-1.0
2026-06-03 14:15:00,L,stop,-1.0,10.6,7635.0,7632.35,7651.56,stop,-1.0
2026-06-08 14:00:00,L,stop,-1.0,49.6,7478.0,7465.61,7555.28,stop,-1.0
2026-06-08 11:15:00,S,target,6.24,17.0,7520.0,7524.25,7493.5,stop,-1.0
2026-06-10 08:45:00,L,stop,-1.0,24.4,7434.38,7428.27,7472.46,stop,-1.0
2026-06-10 11:15:00,S,stop,-1.0,20.5,7388.0,7393.13,7355.98,stop,-1.0
2026-06-11 09:30:00,L,stop,-1.0,35.0,7359.88,7351.11,7414.52,stop,-1.0
2026-06-11 10:30:00,S,stop,-1.0,22.1,7373.62,7379.14,7339.22,stop,-1.0
2026-06-12 09:00:00,L,target,6.24,38.9,7447.25,7437.52,7507.97,stop,-1.0
2026-06-12 11:30:00,S,stop,-1.0,30.1,7493.12,7500.65,7446.2,stop,-1.0
2026-06-12 13:00:00,L,mtm,3.36,22.9,7485.5,7479.78,7521.2,mtm,3.36
2026-06-15 13:30:00,L,stop,-1.0,20.4,7627.12,7622.02,7658.96,stop,-1.0
2026-06-16 11:00:00,S,target,6.24,15.5,7620.38,7624.24,7596.27,target,6.24
2026-06-17 10:15:00,S,stop,-1.0,20.7,7582.38,7587.54,7550.18,stop,-1.0
2026-06-18 10:15:00,L,stop,-1.0,14.5,7550.88,7547.25,7573.51,stop,-1.0
2026-06-19 10:00:00,S,mtm,3.38,12.9,7567.12,7570.34,7547.07,NO_TICKS,
2026-06-22 10:30:00,L,target,6.24,10.7,7538.62,7535.94,7555.37,stop,-1.0
2026-06-22 12:15:00,L,stop,-1.0,6.1,7543.25,7541.72,7552.82,stop,-1.0
2026-06-23 09:00:00,S,mtm,2.73,62.2,7481.12,7496.67,7384.16,mtm,2.73
2026-06-23 10:00:00,L,stop,-1.0,35.8,7453.12,7444.19,7508.88,stop,-1.0
2026-06-23 12:45:00,L,stop,-1.0,18.6,7455.5,7450.84,7484.57,stop,-1.0
2026-06-23 14:45:00,S,mtm,2.46,22.5,7452.62,7458.26,7417.48,mtm,2.46
2026-06-23 14:30:00,L,stop,-1.0,11.1,7440.5,7437.73,7457.8,stop,-1.0
2026-06-25 12:15:00,S,stop,-1.0,23.1,7434.25,7440.03,7398.19,stop,-1.0
2026-06-26 11:00:00,L,stop,-1.0,23.7,7434.38,7428.45,7471.36,stop,-1.0
2026-06-26 11:45:00,S,stop,-1.0,18.3,7440.12,7444.7,7411.6,stop,-1.0
2026-06-26 14:15:00,S,stop,-1.0,16.2,7422.38,7426.42,7397.17,stop,-1.0
