trade_id,event,strategy,nlegs,net_fill,pkg_worst,pkg_best,achievable,within_band
auto_20260814_083129,exit,eodfly_p,2,-9.2,-9.2,-9.1,True,True
auto_20260817_083202,entry,eodfly_c,2,8.5,8.5,8.6,True,True
auto_20260817_083223,entry,openic_p,2,0.25,0.25,0.25,True,True
auto_20260817_083125,entry,eodfly_p,2,6.05,5.95,6.05,True,True
auto_20260817_083304,entry,openfly_p,2,8.4,8.1,8.5,True,True
auto_20260817_083325,entry,openfly_c,2,6.65,6.55,6.65,True,True
auto_20260817_083304,exit,openfly_p,2,-9.4,-9.8,-9.2,True,True
auto_20260817_083345,entry,gx_bps,2,4.95,4.8,5.35,True,True
auto_20260817_083125,exit,eodfly_p,2,-9.4,-9.8,-9.2,True,True
auto_20260818_083113,entry,eodic_p,2,1.6,1.45,1.6,True,True
auto_20260818_083229,entry,eodic_c,2,0.0,0.0,0.0,True,True
auto_20260817_083345,exit,gx_bps,2,-5.75,-5.85,-5.7,True,True
auto_20260818_083346,entry,eodfly_c,2,1.35,1.25,1.35,True,True
auto_20260818_083250,entry,eodfly_p,2,18.9,18.0,19.4,True,True
auto_20260818_083407,entry,openic_p,2,0.5,0.5,0.5,True,True
auto_20260818_083434,entry,openfly_p,2,9.7,9.4,10.0,True,True
auto_20260818_083629,entry,openfly_c,2,10.1,9.5,10.0,False,False
auto_20260818_083839,entry,gx_bps,2,12.7,12.4,12.9,True,True
auto_20260818_083250,exit,eodfly_p,2,-19.3,-19.7,-18.9,True,True
auto_20260818_083839,exit,gx_bps,2,-13.7,-13.9,-13.5,True,True
auto_20260819_083054,entry,eodic_c,2,0.75,0.7,0.75,True,True
auto_20260818_083434,exit,openfly_p,2,-9.8,-9.9,-9.7,True,True
auto_20260819_083131,entry,eodfly_p,2,1.9,1.9,1.95,True,True
auto_20260819_083151,entry,eodfly_c,2,19.0,18.6,19.2,True,True
auto_20260819_090605,entry,openic_p,2,0.2,0.15,0.2,True,True
auto_20260819_083151,exit,eodfly_c,2,-16.8,-17.0,-16.7,True,True
auto_20260819_090658,entry,openic_c,2,0.0,0.0,0.0,True,True
auto_20260819_090828,entry,openfly_c,2,9.5,9.3,9.6,True,True
auto_20260819_090735,entry,openfly_p,2,7.1,7.0,7.4,True,True
auto_20260819_090905,entry,gx_bps,2,0.1,0.1,0.1,True,True
auto_20260819_090942,entry,gx_bcs,2,5.85,5.7,5.85,True,True
auto_20260820_083036,entry,eodic_p,2,1.65,1.55,1.7,True,True
auto_20260820_083149,entry,eodfly_p,2,15.0,14.3,15.3,True,True
auto_20260820_083210,entry,eodfly_c,2,3.15,3.05,3.2,True,True
auto_20260820_083232,entry,openic_p,2,0.5,0.5,0.5,True,True
auto_20260820_083252,entry,openic_c,2,0.15,0.15,0.15,True,True
auto_20260820_083334,entry,openfly_c,2,10.9,10.7,11.1,True,True
auto_20260820_083313,entry,openfly_p,2,7.1,6.9,7.4,True,True
auto_20260820_083432,entry,gx_bcs,2,0.15,0.15,0.15,True,True
auto_20260820_083355,entry,gx_bps,2,12.0,11.6,12.2,True,True
auto_20260820_083149,exit,eodfly_p,2,-12.4,-12.7,-12.4,True,True
auto_20260820_083334,exit,openfly_c,2,-14.1,-14.3,-13.9,True,True
auto_20260820_083355,exit,gx_bps,2,-9.6,-9.7,-9.4,True,True
auto_20260821_083037,entry,eodic_p,2,0.1,0.1,0.1,True,True
auto_20260821_083058,entry,eodic_c,2,1.2,1.15,1.2,True,True
auto_20260820_083313,exit,openfly_p,2,-9.8,-10.0,-9.5,True,True
auto_20260821_083141,entry,eodfly_c,2,18.6,18.3,18.9,True,True
auto_20260821_083120,entry,eodfly_p,2,2.5,2.45,2.6,True,True
auto_20260821_083202,entry,openic_p,2,0.55,0.5,0.55,True,True
auto_20260821_083239,entry,openic_c,2,0.15,0.15,0.15,True,True
auto_20260821_083300,entry,openfly_p,2,9.1,8.9,9.2,True,True
auto_20260821_083354,entry,openfly_c,2,7.1,6.9,7.15,True,True
auto_20260821_083433,entry,gx_bps,2,2.75,2.65,2.75,True,True
auto_20260821_083454,entry,gx_bcs,2,2.05,2.05,2.1,True,True
auto_20260821_083141,exit,eodfly_c,2,-19.3,-19.6,-19.1,True,True
auto_20260821_083300,exit,openfly_p,2,-8.6,-8.9,-8.5,True,True
auto_20260821_083354,exit,openfly_c,2,-8.4,-8.5,-8.4,True,True
auto_20260824_083027,entry,eodic_p,2,0.6,0.6,0.65,True,True
auto_20260824_083312,entry,openic_p,2,0.3,0.3,0.3,True,True
auto_20260824_083058,entry,eodfly_p,2,13.6,13.4,13.9,True,True
auto_20260824_083355,entry,openfly_p,2,11.1,10.9,11.4,True,True
auto_20260824_083418,entry,openfly_c,2,4.95,4.85,4.95,True,True
auto_20260824_083440,entry,gx_bps,2,2.85,2.7,2.85,True,True
auto_20260824_083512,entry,eodfly_c,2,2.5,2.5,2.5,True,True
auto_20260824_083058,exit,eodfly_p,2,-18.6,-19.1,-18.6,True,True
auto_20260824_083355,exit,openfly_p,2,-15.1,-15.4,-15.0,True,True
auto_20260824_083418,exit,openfly_c,2,-6.9,-7.0,-6.8,True,True
auto_20260825_084252,entry,eodfly_p,2,1.95,1.95,1.95,True,True
auto_20260825_084313,entry,eodfly_c,2,17.8,17.6,18.0,True,True
auto_20260825_084313,exit,eodfly_c,2,-17.9,-18.1,-17.7,True,True
auto_20260825_090604,entry,openic_c,2,0.0,0.0,0.0,True,True
auto_20260825_090642,entry,openfly_p,2,6.05,6.0,6.15,True,True
auto_20260825_090742,entry,gx_bps,2,2.25,2.25,2.25,True,True
auto_20260825_090720,entry,openfly_c,2,8.3,8.2,8.3,True,True
