cfg,n,all_pnl,all_pf,all_dd,all_ndd,all_shp,tr_pf,tr_pnl,oo_pf,oo_pnl,both
FT1+OBs|eod|below,1044,96330,1.19,-33288,2.9,1.28,1.09,24362,1.31,71968,True
FT1|eod|below,1056,89295,1.17,-35060,2.5,1.16,1.07,19058,1.3,70238,True
FT1+OBs|BO|eod,1307,73928,1.15,-30252,2.4,0.77,1.05,12292,1.24,61635,True
FT1.5|eod|LONG,657,35290,1.15,-17948,2.0,0.8,1.07,8958,1.22,26332,True
FT1.5|eod,1273,59985,1.12,-38975,1.5,0.7,1.01,2622,1.23,57362,True
FT1.5|eod|below,460,49425,1.22,-32712,1.5,1.26,0.98,-3022,1.55,52448,False
FT1+OBs+PO|eod|below,995,74412,1.16,-49882,1.5,1.02,1.07,17588,1.26,56825,True
FT1.5|rr3,1331,50345,1.1,-36182,1.4,0.61,0.99,-1220,1.2,51565,False
FT1+OBs|eod,2620,63050,1.06,-51735,1.2,0.44,1.04,19475,1.08,43575,True
FT1|eod,2645,55138,1.05,-54135,1.0,0.38,1.04,19290,1.07,35848,True
FT1.5|rr2,1399,29880,1.06,-40985,0.7,0.39,0.94,-14932,1.17,44812,False
FT1+OBs+PO|eod,2482,39228,1.04,-54262,0.7,0.28,1.0,445,1.08,38782,True
FT1+OBs|rr3,3119,43218,1.04,-66750,0.6,0.33,1.02,13168,1.05,30050,True
FT1|rr3,3154,40142,1.03,-67562,0.6,0.3,1.03,15200,1.04,24942,True
FT1.5|eod|above,852,10028,1.04,-19480,0.5,0.21,1.06,6315,1.02,3712,True
FT1+OBs+PO|rr3,2908,23535,1.02,-50988,0.5,0.18,0.98,-8498,1.06,32032,False
FT1.5|eod|SHORT,824,14018,1.04,-49265,0.3,0.23,0.89,-17298,1.18,31315,False
FT1+OBs|rr2,3648,-10302,0.99,-72355,-0.1,-0.08,0.95,-29730,1.03,19428,False
FT1|rr2,3700,-4162,1.0,-72808,-0.1,-0.03,0.97,-19058,1.02,14895,False
FT1+OBs+PO|rr2,3345,-8738,0.99,-56328,-0.2,-0.07,0.95,-25655,1.03,16918,False
FT1+OBs|eod|SHORT,2101,-11230,0.99,-63658,-0.2,-0.1,0.98,-8258,0.99,-2972,False
FT1|eod|SHORT,2138,-10940,0.99,-61512,-0.2,-0.09,0.97,-9870,1.0,-1070,False
FT1+OBs+PO|eod|SHORT,1901,-11055,0.98,-65945,-0.2,-0.1,0.93,-23478,1.04,12422,False
FT1+OBs|eod|LONG,2074,-11532,0.99,-47180,-0.2,-0.1,0.96,-13620,1.01,2088,False
FT1+OBs|eod|above,1729,-15670,0.97,-50095,-0.3,-0.21,0.99,-3302,0.96,-12368,False
FT1|eod|LONG,2106,-14968,0.98,-51428,-0.3,-0.13,0.96,-14188,1.0,-780,False
FT1|eod|above,1744,-14708,0.97,-52278,-0.3,-0.2,1.01,1365,0.95,-16072,False
FT1+OBs+PO|eod|LONG,1893,-11815,0.98,-40972,-0.3,-0.11,0.95,-15530,1.01,3715,False
FT1+OBs+PO|eod|above,1619,-30158,0.94,-56698,-0.5,-0.43,0.94,-14020,0.95,-16138,False
FT1+OBs|IB|eod,1088,-17890,0.95,-38020,-0.5,-0.29,0.92,-13795,0.98,-4095,False
FT1+OBs|Trap|eod,2099,-44182,0.94,-77295,-0.6,-0.41,0.93,-24182,0.95,-20000,False
FT1+OBs|OB|eod,800,-31488,0.9,-46568,-0.7,-0.6,0.89,-15212,0.9,-16275,False
