Date,time,rev,side,entry,stop,bar
2021-06-18,2021-06-18 10:40:00,OB,1,4972.0,4960.5,25
2021-06-18,2021-06-18 11:40:00,IB,-1,4972.75,4977.5,37
2021-06-18,2021-06-18 12:25:00,IB,-1,4972.0,4977.0,46
2021-06-18,2021-06-18 14:20:00,BO,1,4970.25,4960.5,69
2021-06-21,2021-06-21 10:25:00,BO,1,5005.75,5001.75,22
2021-06-21,2021-06-21 12:35:00,BO,1,5008.25,5004.75,48
2021-06-21,2021-06-21 13:05:00,BO,-1,5011.5,5015.25,54
2021-06-22,2021-06-22 14:10:00,BO,1,5038.5,5033.5,67
2021-06-23,2021-06-23 11:40:00,BO,-1,5032.5,5039.0,37
2021-06-24,2021-06-24 09:25:00,BO,1,5058.75,5053.25,10
2021-06-24,2021-06-24 09:55:00,BO,-1,5054.75,5060.0,16
2021-06-25,2021-06-25 11:30:00,OB,-1,5065.75,5068.5,35
2021-06-30,2021-06-30 11:30:00,BO,-1,5083.0,5086.0,35
2021-07-01,2021-07-01 13:25:00,BO,1,5106.75,5104.0,58
2021-07-02,2021-07-02 15:05:00,BO,-1,5139.5,5146.5,78
2021-07-05,2021-07-05 12:00:00,OB,-1,5141.0,5145.25,41
2021-07-06,2021-07-06 09:20:00,BO,-1,5128.25,5133.0,51
2021-07-06,2021-07-06 11:10:00,BO,-1,5106.75,5117.5,73
2021-07-08,2021-07-08 11:35:00,BO,1,5118.5,5111.0,36
2021-07-08,2021-07-08 14:15:00,BO,-1,5104.25,5110.75,68
2021-07-08,2021-07-08 14:50:00,BO,-1,5099.25,5112.5,75
2021-07-08,2021-07-08 15:00:00,OB,1,5115.0,5096.25,77
2021-07-09,2021-07-09 13:25:00,BO,1,5156.5,5154.5,58
2021-07-12,2021-07-12 10:40:00,BO,-1,5166.5,5169.5,25
2021-07-12,2021-07-12 12:50:00,BO,-1,5169.25,5172.75,51
2021-07-12,2021-07-12 14:40:00,OB,-1,5174.0,5176.75,73
2021-07-13,2021-07-13 13:45:00,BO,-1,5162.75,5169.25,62
2021-07-14,2021-07-14 08:50:00,IB,-1,5178.0,5184.0,3
2021-07-14,2021-07-14 09:50:00,BO,1,5177.0,5170.0,15
2021-07-14,2021-07-14 13:30:00,IB,-1,5172.0,5174.5,59
2021-07-14,2021-07-14 14:20:00,BO,-1,5169.0,5175.75,69
2021-07-15,2021-07-15 15:00:00,BO,1,5152.5,5147.0,77
2021-07-16,2021-07-16 08:45:00,BO,-1,5157.25,5165.25,2
2021-07-16,2021-07-16 12:30:00,BO,-1,5140.25,5145.5,47
2021-07-20,2021-07-20 12:10:00,OB,-1,5115.25,5125.25,43
2021-07-21,2021-07-21 13:20:00,BO,-1,5141.0,5144.25,57
