date,dir,bos,size_adr,inside_run_before,next_bos
2010-06-17,1,1,0.038834951456310676,0,0.0
2010-06-17,1,0,0.18122977346278318,0,0.0
2010-06-17,1,0,0.1553398058252427,1,0.0
2010-06-17,1,0,0.16828478964401294,2,0.0
2010-06-17,1,0,0.37540453074433655,3,0.0
2010-06-17,1,0,0.36245954692556637,4,
2010-06-17,-1,1,0.284789644012945,0,1.0
2010-06-17,-1,1,0.284789644012945,0,1.0
2010-06-17,-1,1,0.41423948220064727,0,1.0
2010-06-17,-1,1,0.1941747572815534,0,0.0
2010-06-17,-1,0,0.23300970873786409,0,0.0
2010-06-17,-1,0,0.4401294498381877,1,
2010-06-18,1,1,0.02782608695652174,0,1.0
2010-06-18,1,1,0.41739130434782606,0,1.0
2010-06-18,1,1,0.16695652173913045,0,0.0
2010-06-18,1,0,0.16695652173913045,0,0.0
2010-06-18,1,0,0.20869565217391303,1,0.0
2010-06-18,1,0,0.20869565217391303,2,0.0
2010-06-18,1,0,0.16695652173913045,3,
2010-06-18,-1,1,0.2782608695652174,0,0.0
2010-06-18,-1,0,0.15304347826086956,0,0.0
2010-06-18,-1,0,0.2782608695652174,1,0.0
2010-06-18,-1,0,0.2643478260869565,2,0.0
2010-06-18,-1,0,0.1808695652173913,3,0.0
2010-06-18,-1,0,0.22260869565217392,4,
2010-06-21,1,1,0.06177606177606178,0,0.0
2010-06-21,1,0,0.33976833976833976,0,0.0
2010-06-21,1,0,0.20077220077220076,1,0.0
2010-06-21,1,0,0.20077220077220076,2,0.0
2010-06-21,1,0,0.18532818532818532,3,0.0
2010-06-21,1,0,0.29343629343629346,4,0.0
2010-06-21,1,0,0.18532818532818532,5,
2010-06-21,-1,1,0.37065637065637064,0,1.0
2010-06-21,-1,1,0.43243243243243246,0,1.0
2010-06-21,-1,1,0.416988416988417,0,1.0
2010-06-21,-1,1,0.32432432432432434,0,0.0
2010-06-21,-1,0,0.15444015444015444,0,1.0
2010-06-21,-1,1,0.9111969111969112,1,1.0
2010-06-21,-1,1,0.29343629343629346,0,
2010-06-22,1,1,0.12573673870333987,0,1.0
2010-06-22,1,1,0.3300589390962672,0,0.0
2010-06-22,1,0,0.18860510805500982,0,0.0
2010-06-22,1,0,0.2043222003929273,1,0.0
2010-06-22,1,0,0.3143418467583497,2,0.0
2010-06-22,1,0,0.4715127701375246,3,0.0
2010-06-22,1,0,0.18860510805500982,4,0.0
2010-06-22,1,0,0.2829076620825147,5,0.0
2010-06-22,1,0,0.2043222003929273,6,0.0
2010-06-22,1,0,0.18860510805500982,7,0.0
2010-06-22,1,0,0.3143418467583497,8,0.0
2010-06-22,1,0,0.2357563850687623,9,0.0
2010-06-22,1,0,0.15717092337917485,10,
2010-06-22,-1,1,0.15717092337917485,0,1.0
2010-06-22,-1,1,0.4715127701375246,0,1.0
2010-06-22,-1,1,0.3143418467583497,0,1.0
2010-06-22,-1,1,0.2357563850687623,0,0.0
2010-06-22,-1,0,0.26719056974459726,0,0.0
2010-06-22,-1,0,0.37721021611001965,1,0.0
2010-06-22,-1,0,0.29862475442043224,2,1.0
2010-06-22,-1,1,0.45579567779960706,3,1.0
2010-06-22,-1,1,0.2829076620825147,0,1.0
2010-06-22,-1,1,0.6915520628683693,0,1.0
2010-06-22,-1,1,0.5029469548133595,0,1.0
2010-06-22,-1,1,0.26719056974459726,0,
2010-06-23,1,1,0.029357798165137616,0,0.0
2010-06-23,1,0,0.22018348623853212,0,0.0
2010-06-23,1,0,0.24954128440366974,1,0.0
2010-06-23,1,0,0.27889908256880735,2,0.0
2010-06-23,1,0,0.23486238532110093,3,0.0
2010-06-23,1,0,0.42568807339449544,4,1.0
2010-06-23,1,1,0.6752293577981652,5,0.0
2010-06-23,1,0,0.23486238532110093,0,0.0
2010-06-23,1,0,0.26422018348623855,1,0.0
2010-06-23,1,0,0.27889908256880735,2,0.0
2010-06-23,1,0,0.3522935779816514,3,
2010-06-23,-1,1,0.29357798165137616,0,1.0
2010-06-23,-1,1,0.6311926605504588,0,0.0
2010-06-23,-1,0,0.1908256880733945,0,0.0
2010-06-23,-1,0,0.1614678899082569,1,0.0
2010-06-23,-1,0,0.27889908256880735,2,0.0
2010-06-23,-1,0,0.3229357798165138,3,0.0
2010-06-23,-1,0,0.5724770642201835,4,0.0
2010-06-23,-1,0,0.381651376146789,5,0.0
2010-06-23,-1,0,0.20550458715596331,6,0.0
2010-06-23,-1,0,0.22018348623853212,7,
2010-06-24,1,1,0.07380073800738007,0,0.0
2010-06-24,1,0,0.3247232472324723,0,0.0
2010-06-24,1,0,0.30996309963099633,1,0.0
2010-06-24,1,0,0.5018450184501845,2,0.0
2010-06-24,1,0,0.3837638376383764,3,0.0
2010-06-24,1,0,0.36900369003690037,4,0.0
2010-06-24,1,0,0.1918819188191882,5,0.0
2010-06-24,1,0,0.3247232472324723,6,
2010-06-24,-1,1,0.5756457564575646,0,0.0
2010-06-24,-1,0,0.2066420664206642,0,1.0
2010-06-24,-1,1,0.6937269372693727,1,0.0
2010-06-24,-1,0,0.35424354243542433,0,0.0
2010-06-24,-1,0,0.17712177121771217,1,0.0
2010-06-24,-1,0,0.6346863468634686,2,1.0
2010-06-24,-1,1,0.4575645756457565,3,0.0
2010-06-24,-1,0,0.30996309963099633,0,
2010-06-25,1,1,0.0,0,1.0
2010-06-25,1,1,0.4436229205175601,0,0.0
2010-06-25,1,0,0.22181146025878004,0,0.0
2010-06-25,1,0,0.266173752310536,1,0.0
2010-06-25,1,0,0.31053604436229204,2,0.0
2010-06-25,1,0,0.32532347504621073,3,0.0
2010-06-25,1,0,0.2809611829944547,4,1.0
2010-06-25,1,1,0.6654343807763401,5,0.0
2010-06-25,1,0,0.17744916820702403,0,0.0
2010-06-25,1,0,0.22181146025878004,1,0.0
2010-06-25,1,0,0.22181146025878004,2,0.0
2010-06-25,1,0,0.32532347504621073,3,0.0
2010-06-25,1,0,0.266173752310536,4,
2010-06-25,-1,1,0.39926062846580407,0,1.0
2010-06-25,-1,1,0.4879852125693161,0,1.0
2010-06-25,-1,1,0.36968576709796674,0,0.0
2010-06-25,-1,0,0.20702402957486138,0,0.0
2010-06-25,-1,0,0.22181146025878004,1,0.0
2010-06-25,-1,0,0.1922365988909427,2,0.0
2010-06-25,-1,0,0.2365988909426987,3,0.0
2010-06-25,-1,0,0.2513863216266174,4,0.0
2010-06-25,-1,0,0.17744916820702403,5,0.0
2010-06-25,-1,0,0.22181146025878004,6,0.0
2010-06-25,-1,0,0.41404805914972276,7,0.0
2010-06-25,-1,0,0.41404805914972276,8,0.0
2010-06-25,-1,0,0.2513863216266174,9,
2010-06-28,1,1,0.06072106261859583,0,0.0
2010-06-28,1,0,0.2732447817836812,0,0.0
2010-06-28,1,0,0.3036053130929791,1,1.0
2010-06-28,1,1,0.47058823529411764,2,1.0
2010-06-28,1,1,0.2732447817836812,0,0.0
2010-06-28,1,0,0.16698292220113853,0,0.0
2010-06-28,1,0,0.19734345351043645,1,0.0
2010-06-28,1,0,0.2884250474383302,2,0.0
2010-06-28,1,0,0.2732447817836812,3,0.0
2010-06-28,1,0,0.2428842504743833,4,
2010-06-28,-1,1,0.6072106261859582,0,0.0
2010-06-28,-1,0,0.19734345351043645,0,0.0
2010-06-28,-1,0,0.2125237191650854,1,0.0
2010-06-28,-1,0,0.18216318785578747,2,0.0
2010-06-28,-1,0,0.36432637571157495,3,0.0
2010-06-28,-1,0,0.2125237191650854,4,0.0
2010-06-28,-1,0,0.3036053130929791,5,0.0
2010-06-28,-1,0,0.16698292220113853,6,0.0
2010-06-28,-1,0,0.33396584440227706,7,
2010-06-29,1,1,0.015209125475285171,0,0.0
2010-06-29,1,0,0.22813688212927757,0,0.0
2010-06-29,1,0,0.3041825095057034,1,0.0
2010-06-29,1,0,0.5931558935361216,2,0.0
2010-06-29,1,0,0.3193916349809886,3,0.0
2010-06-29,1,0,0.1520912547528517,4,0.0
2010-06-29,1,0,0.4714828897338403,5,0.0
2010-06-29,1,0,0.1520912547528517,6,0.0
2010-06-29,1,0,0.22813688212927757,7,0.0
2010-06-29,1,0,0.2889733840304182,8,0.0
2010-06-29,1,0,0.5475285171102662,9,
2010-06-29,-1,1,0.5627376425855514,0,1.0
2010-06-29,-1,1,0.532319391634981,0,1.0
2010-06-29,-1,1,0.5475285171102662,0,0.0
2010-06-29,-1,0,0.4866920152091255,0,0.0
2010-06-29,-1,0,0.24334600760456274,1,1.0
2010-06-29,-1,1,0.41064638783269963,2,0.0
2010-06-29,-1,0,0.1520912547528517,0,0.0
2010-06-29,-1,0,0.34980988593155893,1,1.0
2010-06-29,-1,1,0.5627376425855514,2,1.0
2010-06-29,-1,1,0.44106463878326996,0,
2010-06-30,1,1,0.5138888888888888,0,0.0
2010-06-30,1,0,0.16666666666666666,0,0.0
2010-06-30,1,0,0.2638888888888889,1,1.0
2010-06-30,1,1,0.4166666666666667,2,0.0
2010-06-30,1,0,0.18055555555555555,0,0.0
2010-06-30,1,0,0.18055555555555555,1,0.0
2010-06-30,1,0,0.16666666666666666,2,0.0
2010-06-30,1,0,0.18055555555555555,3,0.0
2010-06-30,1,0,0.3194444444444444,4,
2010-06-30,-1,1,0.041666666666666664,0,0.0
2010-06-30,-1,0,0.2777777777777778,0,0.0
2010-06-30,-1,0,0.19444444444444445,1,0.0
2010-06-30,-1,0,0.3055555555555556,2,0.0
2010-06-30,-1,0,0.3055555555555556,3,0.0
2010-06-30,-1,0,0.16666666666666666,4,0.0
2010-06-30,-1,0,0.3472222222222222,5,0.0
2010-06-30,-1,0,0.1527777777777778,6,1.0
2010-06-30,-1,1,0.8611111111111112,7,
2010-07-01,1,1,0.17834394904458598,0,0.0
2010-07-01,1,0,0.22929936305732485,0,0.0
2010-07-01,1,0,0.24203821656050956,1,0.0
2010-07-01,1,0,0.17834394904458598,2,0.0
2010-07-01,1,0,0.2802547770700637,3,0.0
2010-07-01,1,0,0.5859872611464968,4,0.0
2010-07-01,1,0,0.6496815286624203,5,0.0
2010-07-01,1,0,0.25477707006369427,6,0.0
2010-07-01,1,0,0.267515923566879,7,0.0
2010-07-01,1,0,0.35668789808917195,8,0.0
2010-07-01,1,0,0.40764331210191085,9,0.0
2010-07-01,1,0,0.35668789808917195,10,0.0
2010-07-01,1,0,0.3057324840764331,11,
2010-07-01,-1,1,0.25477707006369427,0,1.0
2010-07-01,-1,1,0.6496815286624203,0,1.0
2010-07-01,-1,1,0.36942675159235666,0,1.0
2010-07-01,-1,1,0.5095541401273885,0,1.0
2010-07-01,-1,1,0.35668789808917195,0,0.0
2010-07-01,-1,0,0.3057324840764331,0,0.0
2010-07-01,-1,0,0.33121019108280253,1,0.0
2010-07-01,-1,0,0.16560509554140126,2,0.0
2010-07-01,-1,0,0.2802547770700637,3,0.0
2010-07-01,-1,0,0.535031847133758,4,0.0
2010-07-01,-1,0,0.2802547770700637,5,0.0
2010-07-01,-1,0,0.33121019108280253,6,
2010-07-02,1,1,0.268370607028754,0,0.0
2010-07-02,1,0,0.35782747603833864,0,0.0
2010-07-02,1,0,0.17891373801916932,1,0.0
2010-07-02,1,0,0.28115015974440893,2,0.0
2010-07-02,1,0,0.24281150159744408,3,0.0
2010-07-02,1,0,0.25559105431309903,4,0.0
2010-07-02,1,0,0.6261980830670927,5,
2010-07-02,-1,1,0.11501597444089456,0,1.0
2010-07-02,-1,1,0.4984025559105431,0,1.0
2010-07-02,-1,1,0.38338658146964855,0,1.0
2010-07-02,-1,1,0.48562300319488816,0,1.0
2010-07-02,-1,1,0.38338658146964855,0,0.0
2010-07-02,-1,0,0.15335463258785942,0,0.0
2010-07-02,-1,0,0.19169329073482427,1,
2010-07-06,1,1,0.04371584699453552,0,1.0
2010-07-06,1,1,0.5683060109289617,0,0.0
2010-07-06,1,0,0.16029143897996356,0,0.0
2010-07-06,1,0,0.24772313296903462,1,0.0
2010-07-06,1,0,0.17486338797814208,2,0.0
2010-07-06,1,0,0.2185792349726776,3,0.0
2010-07-06,1,0,0.16029143897996356,4,0.0
2010-07-06,1,0,0.4080145719489982,5,0.0
2010-07-06,1,0,0.2040072859744991,6,0.0
2010-07-06,1,0,0.26229508196721313,7,0.0
2010-07-06,1,0,0.5537340619307832,8,
2010-07-06,-1,1,0.1894353369763206,0,0.0
2010-07-06,-1,0,0.24772313296903462,0,0.0
2010-07-06,-1,0,0.33515482695810567,1,1.0
2010-07-06,-1,1,0.6411657559198543,2,1.0
2010-07-06,-1,1,0.2185792349726776,0,1.0
2010-07-06,-1,1,0.5245901639344263,0,1.0
2010-07-06,-1,1,0.3205828779599271,0,0.0
2010-07-06,-1,0,0.2331511839708561,0,1.0
2010-07-06,-1,1,0.4225865209471767,1,1.0
2010-07-06,-1,1,0.34972677595628415,0,0.0
2010-07-06,-1,0,0.29143897996357016,0,
2010-07-07,1,1,0.2206896551724138,0,1.0
2010-07-07,1,1,0.5103448275862069,0,1.0
2010-07-07,1,1,0.5103448275862069,0,0.0
2010-07-07,1,0,0.2896551724137931,0,1.0
2010-07-07,1,1,0.5517241379310345,1,1.0
2010-07-07,1,1,0.2482758620689655,0,
2010-07-07,-1,1,0.16551724137931034,0,0.0
2010-07-07,-1,0,0.19310344827586207,0,0.0
2010-07-07,-1,0,0.30344827586206896,1,0.0
2010-07-07,-1,0,0.31724137931034485,2,0.0
2010-07-07,-1,0,0.15172413793103448,3,0.0
2010-07-07,-1,0,0.1793103448275862,4,
2010-07-08,1,1,0.15926493108728942,0,0.0
