date,net,range_adr,eff,rls,close_loc,legs,type,ret,next_type,next_ret
2010-06-17,-1.25,0.6731391585760518,0.0962,0.0577,0.8462,12,Range,-1.25,Channel,-3.25
2010-06-18,-3.25,0.43130434782608695,0.4194,0.4194,0.1613,13,Channel,-3.25,Trend-Down,-16.0
2010-06-21,-16.0,1.498069498069498,0.6598,0.0412,0.299,14,Trend-Down,-16.0,Trend-Down,-19.5
2010-06-22,-19.5,1.5717092337917484,0.78,0.19,0.03,25,Trend-Down,-19.5,Channel,-4.75
2010-06-23,-4.75,0.9100917431192661,0.3065,0.2581,0.4355,21,Channel,-4.75,Trend-Down,-12.25
2010-06-24,-12.25,1.018450184501845,0.7101,0.0725,0.2174,16,Trend-Down,-12.25,Range,2.0
2010-06-25,2.0,0.9907578558225508,0.1194,0.403,0.7164,26,Range,2.0,Channel,-5.0
2010-06-28,-5.0,0.7286527514231499,0.4167,0.25,0.3333,19,Channel,-5.0,Trend-Down,-20.5
2010-06-29,-20.5,1.5513307984790874,0.8039,0.0098,0.1863,21,Trend-Down,-20.5,Channel,-9.5
2010-06-30,-9.5,1.1527777777777777,0.4578,0.4699,0.0723,18,Channel,-9.5,Range,-4.25
2010-07-01,-4.25,1.2101910828025477,0.1789,0.1474,0.6737,25,Range,-4.25,Trend-Down,-11.75
2010-07-02,-11.75,0.9329073482428115,0.6438,0.1644,0.1918,14,Trend-Down,-11.75,Trend-Down,-1.75
2010-07-05,-1.75,0.16026711185308848,0.5833,0.1667,0.25,1,Trend-Down,-1.75,Range,-7.25
2010-07-06,-7.25,1.4571948998178506,0.29,0.29,0.42,22,Range,-7.25,Trend-Up,33.5
2010-07-07,33.5,1.9310344827586208,0.9571,0.9714,0.9857,12,Trend-Up,33.5,Range,2.5
2010-07-08,2.5,0.7105666156202144,0.1724,0.2759,0.8966,14,Range,2.5,Trend-Up,6.0
2010-07-09,6.0,0.5188536953242836,0.5581,0.814,0.7442,9,Trend-Up,6.0,Channel,5.25
2010-07-12,5.25,0.5695364238410596,0.4884,0.5814,0.907,9,Channel,5.25,Range,3.25
2010-07-13,3.25,0.6666666666666666,0.2766,0.8298,0.4468,11,Range,3.25,Range,3.25
2010-07-14,3.25,0.7441860465116279,0.2708,0.6458,0.625,18,Range,3.25,Range,-1.0
2010-07-15,-1.0,1.2545824847250509,0.0519,0.2208,0.7273,15,Range,-1.0,Trend-Down,-22.5
2010-07-16,-22.5,1.5827338129496402,0.8182,0.0273,0.1545,16,Trend-Down,-22.5,Range,-1.25
2010-07-19,-1.25,0.7915194346289752,0.0893,0.4107,0.5,16,Range,-1.25,Trend-Up,27.25
2010-07-20,27.25,1.842323651452282,0.982,0.991,0.991,20,Trend-Up,27.25,Trend-Down,-21.25
2010-07-21,-21.25,1.4654205607476636,0.8673,0.0204,0.1122,19,Trend-Down,-21.25,Trend-Up,10.25
2010-07-22,10.25,0.8949152542372881,0.6212,0.9848,0.6364,14,Trend-Up,10.25,Trend-Up,13.75
2010-07-23,13.75,0.9135399673735726,0.7857,0.8143,0.9714,18,Trend-Up,13.75,Trend-Up,8.75
2010-07-26,8.75,0.7044025157232704,0.625,0.7857,0.8393,6,Trend-Up,8.75,Channel,-5.5
2010-07-27,-5.5,0.5838509316770186,0.4681,0.0851,0.4468,9,Channel,-5.5,Channel,-5.5
2010-07-28,-5.5,0.6384364820846905,0.449,0.2857,0.2653,13,Channel,-5.5,Channel,-13.25
2010-07-29,-13.25,1.403254972875226,0.5464,0.1237,0.3299,17,Channel,-13.25,Trend-Up,13.75
2010-07-30,13.75,1.0235690235690236,0.7237,0.8947,0.8289,18,Trend-Up,13.75,Channel,7.0
2010-08-02,7.0,0.8014311270125224,0.5,0.6964,0.8036,5,Channel,7.0,Range,-1.5
2010-08-03,-1.5,0.5880077369439072,0.1579,0.3158,0.5263,10,Range,-1.5,Channel,4.5
2010-08-04,4.5,0.6380368098159509,0.4615,0.5897,0.8718,10,Channel,4.5,Trend-Up,6.5
2010-08-05,6.5,0.5938864628820961,0.7647,0.7941,0.9706,12,Trend-Up,6.5,Channel,7.5
2010-08-06,7.5,1.2293577981651376,0.4478,0.4925,0.9552,15,Channel,7.5,Range,2.0
2010-08-09,2.0,0.6140350877192983,0.2286,0.3429,0.8857,9,Range,2.0,Range,4.25
2010-08-10,4.25,1.1764705882352942,0.2615,0.5692,0.6923,14,Range,4.25,Trend-Down,-16.5
2010-08-11,-16.5,1.326829268292683,0.9706,0.0147,0.0147,19,Trend-Down,-16.5,Trend-Up,8.0
2010-08-12,8.0,1.1343283582089552,0.5614,0.9474,0.614,23,Trend-Up,8.0,Range,-1.5
2010-08-13,-1.5,0.6947890818858561,0.1714,0.8,0.0286,20,Range,-1.5,Channel,7.0
2010-08-16,7.0,1.16,0.4828,0.7241,0.7586,14,Channel,7.0,Range,2.5
2010-08-17,2.5,1.1646778042959427,0.1639,0.8033,0.3607,13,Range,2.5,Range,-3.75
2010-08-18,-3.75,1.0582959641255605,0.2542,0.5932,0.1525,19,Range,-3.75,Trend-Down,-15.5
2010-08-19,-15.5,1.5342465753424657,0.7381,0.1429,0.119,23,Trend-Down,-15.5,Range,0.75
2010-08-20,0.75,0.6406570841889117,0.0769,0.1282,0.9487,12,Range,0.75,Trend-Down,-9.25
2010-08-23,-9.25,1.1106290672451193,0.5781,0.3438,0.0781,17,Trend-Down,-9.25,Range,-4.0
2010-08-24,-4.0,0.9978118161925602,0.2807,0.3158,0.4035,21,Range,-4.0,Channel,11.25
2010-08-25,11.25,1.4529540481400438,0.5422,0.6627,0.8795,20,Channel,11.25,Trend-Down,-14.0
2010-08-26,-14.0,1.0930693069306932,0.8116,0.087,0.1014,21,Trend-Down,-14.0,Channel,10.75
2010-08-27,10.75,1.689922480620155,0.3945,0.4128,0.9817,16,Channel,10.75,Trend-Down,-15.5
2010-08-30,-15.5,1.0780141843971631,0.8158,0.1711,0.0132,8,Trend-Down,-15.5,Trend-Up,9.0
2010-08-31,9.0,0.8261617900172117,0.6,0.7167,0.8833,22,Trend-Up,9.0,Trend-Up,20.5
2010-09-01,20.5,1.2351885098743267,0.9535,0.9767,0.9767,12,Trend-Up,20.5,Trend-Up,8.25
2010-09-02,8.25,0.5960264900662252,0.7333,0.7778,0.9556,8,Trend-Up,8.25,Channel,3.5
2010-09-03,3.5,0.588034188034188,0.3256,0.4419,0.8837,9,Channel,3.5,Trend-Down,-1.5
2010-09-06,-1.5,0.14010507880910683,0.6,0.2,0.2,0,Trend-Down,-1.5,Trend-Down,-6.75
2010-09-07,-6.75,0.6265060240963856,0.6923,0.1538,0.1538,16,Trend-Down,-6.75,Trend-Up,6.5
2010-09-08,6.5,0.7350427350427351,0.6047,0.9535,0.6512,12,Trend-Up,6.5,Trend-Down,-8.0
2010-09-09,-8.0,0.8756218905472637,0.7273,0.0682,0.2045,15,Trend-Down,-8.0,Channel,3.75
2010-09-10,3.75,0.6486486486486487,0.5,0.6333,0.8667,16,Channel,3.75,Range,1.0
2010-09-13,1.0,0.7764705882352941,0.1212,0.4545,0.6667,17,Range,1.0,Range,1.25
2010-09-14,1.25,1.3658536585365855,0.102,0.6531,0.449,25,Range,1.25,Trend-Up,8.5
2010-09-15,8.5,1.3745704467353952,0.68,0.72,0.96,24,Trend-Up,8.5,Channel,5.75
2010-09-16,5.75,1.2080536912751678,0.5111,0.6667,0.8444,30,Channel,5.75,Trend-Down,-6.25
2010-09-17,-6.25,0.9369369369369369,0.641,0.1026,0.2564,15,Trend-Down,-6.25,Trend-Up,12.5
2010-09-20,12.5,1.8258258258258258,0.6579,0.8553,0.8026,13,Trend-Up,12.5,Range,-3.5
2010-09-21,-3.5,1.2021857923497268,0.2545,0.4182,0.3273,23,Range,-3.5,Range,-3.5
2010-09-22,-3.5,1.1246684350132625,0.2642,0.4717,0.2642,24,Range,-3.5,Range,0.0
2010-09-23,0.0,1.2,0.0,0.7833,0.2167,18,Range,0.0,Trend-Up,10.0
2010-09-24,10.0,0.955503512880562,0.7843,0.902,0.8824,15,Trend-Up,10.0,Trend-Down,-6.25
2010-09-27,-6.25,0.6153846153846154,0.7576,0.1515,0.0909,14,Trend-Down,-6.25,Range,2.0
2010-09-28,2.0,1.4563106796116505,0.1067,0.3333,0.7733,17,Range,2.0,Range,1.5
2010-09-29,1.5,0.6515837104072398,0.1667,0.5556,0.6111,18,Range,1.5,Channel,-10.5
2010-09-30,-10.5,1.6218678815489749,0.4719,0.3483,0.1798,25,Channel,-10.5,Range,-2.75
2010-10-01,-2.75,0.8495575221238938,0.2292,0.125,0.6458,16,Range,-2.75,Range,-4.5
2010-10-04,-4.5,1.2224719101123596,0.2647,0.2941,0.4412,17,Range,-4.5,Trend-Up,11.75
2010-10-05,11.75,1.1652173913043478,0.7015,0.9254,0.7761,13,Trend-Up,11.75,Range,0.5
2010-10-06,0.5,0.5310492505353319,0.0645,0.4194,0.6452,13,Range,0.5,Range,-3.5
2010-10-07,-3.5,0.9664429530201343,0.2593,0.037,0.7037,16,Range,-3.5,Channel,4.5
2010-10-08,4.5,0.8547008547008547,0.36,0.64,0.72,11,Channel,4.5,Range,-0.25
2010-10-11,-0.25,0.5237020316027088,0.0345,0.3103,0.6552,7,Range,-0.25,Channel,6.25
2010-10-12,6.25,1.2660550458715596,0.3623,0.6232,0.7391,11,Channel,6.25,Range,2.75
2010-10-13,2.75,0.9038461538461539,0.234,0.766,0.4681,15,Range,2.75,Range,-0.25
2010-10-14,-0.25,1.002409638554217,0.0192,0.1538,0.8269,21,Range,-0.25,Range,-3.25
2010-10-15,-3.25,1.2832080200501252,0.2031,0.0469,0.75,18,Range,-3.25,Channel,6.0
2010-10-18,6.0,0.9494949494949495,0.5106,0.8085,0.7021,17,Channel,6.0,Range,-3.25
2010-10-19,-3.25,1.4174757281553398,0.1781,0.3562,0.4658,24,Range,-3.25,Trend-Up,10.25
2010-10-20,10.25,1.1879350348027842,0.6406,0.9531,0.6875,16,Trend-Up,10.25,Range,-3.5
2010-10-21,-3.5,1.3662921348314607,0.1842,0.3684,0.4474,20,Range,-3.5,Channel,3.0
2010-10-22,3.0,0.3902439024390244,0.5,0.5417,0.9583,8,Channel,3.0,Range,-3.5
2010-10-25,-3.5,0.8411633109619687,0.2979,0.5319,0.1702,14,Range,-3.5,Trend-Up,6.75
2010-10-26,6.75,0.697986577181208,0.6923,0.7436,0.9487,16,Trend-Up,6.75,Channel,4.75
2010-10-27,4.75,0.9400921658986175,0.3725,0.4902,0.8824,17,Channel,4.75,Channel,-6.75
2010-10-28,-6.75,0.9881235154394299,0.5192,0.0577,0.4231,21,Channel,-6.75,Channel,2.25
2010-10-29,2.25,0.5070422535211268,0.3333,0.6296,0.7037,16,Channel,2.25,Range,-3.25
2010-11-01,-3.25,1.6,0.1711,0.3421,0.4868,20,Range,-3.25,Channel,3.25
2010-11-02,3.25,0.5918367346938775,0.4483,0.5172,0.931,10,Channel,3.25,Range,5.5
2010-11-03,5.5,1.7159420289855072,0.2973,0.3108,0.9865,20,Range,5.5,Trend-Up,10.75
2010-11-04,10.75,0.9924050632911392,0.8776,0.898,0.9796,12,Trend-Up,10.75,Channel,3.75
2010-11-05,3.75,0.6045340050377834,0.5,0.8,0.7,16,Channel,3.75,Range,1.25
2010-11-08,1.25,0.5979381443298969,0.1724,0.4483,0.7241,17,Range,1.25,Trend-Down,-12.5
2010-11-09,-12.5,1.6174863387978142,0.6757,0.0811,0.2432,20,Trend-Down,-12.5,Range,3.0
2010-11-10,3.0,1.2577319587628866,0.1967,0.3934,0.8033,25,Range,3.0,Channel,4.75
2010-11-11,4.75,0.8530805687203792,0.4222,0.6667,0.7556,20,Channel,4.75,Channel,-8.5
2010-11-12,-8.5,1.411764705882353,0.4928,0.3188,0.1884,30,Channel,-8.5,Channel,-5.25
2010-11-15,-5.25,0.8167053364269141,0.4773,0.4318,0.0909,16,Channel,-5.25,Trend-Down,-13.0
2010-11-16,-13.0,1.5162094763092269,0.6842,0.1053,0.2105,29,Trend-Down,-13.0,Range,0.75
2010-11-17,0.75,0.6355140186915887,0.0882,0.5882,0.5,16,Range,0.75,Trend-Up,9.5
2010-11-18,9.5,0.7777777777777778,0.9048,1.0,0.9048,9,Trend-Up,9.5,Channel,4.0
2010-11-19,4.0,0.898876404494382,0.32,0.48,0.84,10,Channel,4.0,Channel,5.25
2010-11-22,5.25,1.2161520190023754,0.3281,0.4062,0.9219,18,Channel,5.25,Channel,-5.0
2010-11-23,-5.0,0.7735849056603774,0.4878,0.2195,0.2927,21,Channel,-5.0,Trend-Up,9.5
2010-11-24,9.5,0.8380952380952381,0.8636,0.9773,0.8864,14,Trend-Up,9.5,Trend-Up,4.5
2010-11-25,4.5,0.46582278481012657,0.7826,0.8696,0.913,1,Trend-Up,4.5,Channel,-3.25
2010-11-26,-3.25,0.8770053475935828,0.3171,0.6585,0.0244,9,Channel,-3.25,Channel,7.0
2010-11-29,7.0,1.6755162241887906,0.3944,0.5775,0.8169,19,Channel,7.0,Range,2.25
2010-11-30,2.25,1.1914893617021276,0.1607,0.875,0.2857,24,Range,2.25,Trend-Up,7.75
2010-12-01,7.75,0.9025641025641026,0.7045,0.9773,0.7273,19,Trend-Up,7.75,Trend-Up,16.0
2010-12-02,16.0,1.4166666666666667,0.9412,0.9559,0.9853,11,Trend-Up,16.0,Trend-Up,7.25
2010-12-03,7.25,0.7628865979381443,0.7838,0.973,0.8108,15,Trend-Up,7.25,Range,1.25
2010-12-06,1.25,0.4583333333333333,0.2273,0.7727,0.4545,14,Range,1.25,Trend-Down,-12.0
2010-12-07,-12.0,1.149171270718232,0.9231,0.0385,0.0385,25,Trend-Down,-12.0,Channel,3.75
2010-12-08,3.75,0.8388746803069054,0.3659,0.439,0.9268,15,Channel,3.75,Range,-2.0
2010-12-09,-2.0,0.7161125319693095,0.2286,0.0857,0.6857,12,Range,-2.0,Channel,4.75
2010-12-10,4.75,0.8338028169014085,0.5135,0.5676,0.9459,14,Channel,4.75,Trend-Down,-4.5
2010-12-13,-4.5,0.6428571428571429,0.6667,0.2222,0.1111,12,Trend-Down,-4.5,Range,-0.75
2010-12-14,-0.75,0.9529780564263323,0.0789,0.5,0.4211,12,Range,-0.75,Range,-2.0
