date,net,range_adr,eff,rls,close_loc,legs,type,ret,next_type,next_ret
2010-12-15,-2.0,1.1903114186851211,0.186,0.4884,0.3256,18,Range,-2.0,Channel,6.25
2010-12-16,6.25,1.3288135593220338,0.5102,0.6327,0.8776,20,Channel,6.25,Range,1.0
2010-12-17,1.0,0.6459627329192547,0.1538,0.5385,0.6154,9,Range,1.0,Range,-2.0
2010-12-20,-2.0,1.027027027027027,0.2105,0.2895,0.5,7,Range,-2.0,Trend-Up,4.25
2010-12-21,4.25,0.6552901023890785,0.7083,0.8333,0.875,10,Trend-Up,4.25,Trend-Up,3.5
2010-12-22,3.5,0.5106382978723404,0.7778,0.7778,1.0,4,Trend-Up,3.5,Range,0.0
2010-12-23,0.0,0.6083650190114068,0.0,0.3,0.7,12,Range,0.0,Trend-Up,6.25
2010-12-27,6.25,0.90625,0.8621,0.931,0.931,9,Trend-Up,6.25,Range,-1.0
2010-12-28,-1.0,0.582995951417004,0.2222,0.1667,0.6111,7,Range,-1.0,Range,-0.5
2010-12-29,-0.5,0.5045045045045045,0.1429,0.6429,0.2143,5,Range,-0.5,Range,0.25
2010-12-30,0.25,0.9411764705882353,0.0455,0.4545,0.5909,17,Range,0.25,Trend-Up,6.25
2010-12-31,6.25,1.4426229508196722,0.7576,0.7879,0.9697,16,Trend-Up,6.25,Range,1.75
2011-01-03,1.75,1.752808988764045,0.1795,0.9487,0.2308,25,Range,1.75,Channel,-4.25
2011-01-04,-4.25,1.9481865284974094,0.3617,0.0213,0.617,23,Channel,-4.25,Trend-Up,9.75
2011-01-05,9.75,1.8738738738738738,0.75,0.9038,0.8462,23,Trend-Up,9.75,Channel,-3.0
2011-01-06,-3.0,1.0393700787401574,0.3636,0.1818,0.4545,21,Channel,-3.0,Range,-4.75
2011-01-07,-4.75,2.0155038759689923,0.2923,0.1231,0.5846,31,Range,-4.75,Channel,3.25
2011-01-10,3.25,1.0491803278688525,0.325,0.575,0.75,27,Channel,3.25,Range,-0.5
2011-01-11,-0.5,0.797583081570997,0.0606,0.3939,0.5455,14,Range,-0.5,Trend-Up,5.0
2011-01-12,5.0,0.7719298245614035,0.6061,0.697,0.9091,6,Trend-Up,5.0,Range,-1.75
2011-01-13,-1.75,0.631578947368421,0.2593,0.0741,0.6667,14,Range,-1.75,Trend-Up,12.0
2011-01-14,12.0,1.2606060606060605,0.9231,0.9231,1.0,20,Trend-Up,12.0,Channel,1.0
2011-01-17,1.0,0.21492537313432836,0.4444,0.6667,0.7778,3,Channel,1.0,Trend-Up,7.25
2011-01-18,7.25,0.9315068493150684,0.8529,0.8529,1.0,14,Trend-Up,7.25,Trend-Down,-11.0
2011-01-19,-11.0,1.7747440273037542,0.6769,0.0615,0.2615,25,Trend-Down,-11.0,Range,0.0
2011-01-20,0.0,1.3924914675767919,0.0,0.3529,0.6471,25,Range,0.0,Channel,-4.75
2011-01-21,-4.75,1.0,0.5,0.3158,0.1842,21,Channel,-4.75,Trend-Up,9.75
2011-01-24,9.75,1.13915857605178,0.8864,0.9773,0.9091,20,Trend-Up,9.75,Channel,3.75
2011-01-25,3.75,1.15,0.3261,0.4348,0.8913,22,Channel,3.75,Channel,2.75
2011-01-26,2.75,0.8023598820058997,0.3235,0.7059,0.6176,19,Channel,2.75,Channel,2.5
2011-01-27,2.5,0.7476635514018691,0.3333,0.6667,0.6667,16,Channel,2.5,Trend-Down,-27.0
2011-01-28,-27.0,2.7134502923976607,0.931,0.069,0.0,28,Trend-Down,-27.0,Trend-Up,6.25
2011-01-31,6.25,0.7924528301886793,0.5952,0.6905,0.9048,14,Trend-Up,6.25,Trend-Up,11.75
2011-02-01,11.75,1.2967581047381547,0.7231,0.9538,0.7692,8,Trend-Up,11.75,Range,0.0
2011-02-02,0.0,0.3855421686746988,0.0,0.85,0.15,13,Range,0.0,Channel,4.75
2011-02-03,4.75,1.1486146095717884,0.3333,0.5088,0.8246,11,Channel,4.75,Channel,3.25
2011-02-04,3.25,0.8,0.3171,0.3902,0.9268,12,Channel,3.25,Channel,5.25
2011-02-07,5.25,0.7901234567901234,0.525,0.95,0.575,9,Channel,5.25,Channel,5.0
2011-02-08,5.0,0.7201946472019465,0.5405,0.5676,0.973,8,Channel,5.0,Range,1.25
2011-02-09,1.25,0.784688995215311,0.122,0.4146,0.7073,14,Range,1.25,Trend-Up,7.25
2011-02-10,7.25,1.119533527696793,0.6042,0.75,0.8542,19,Trend-Up,7.25,Trend-Up,13.75
2011-02-11,13.75,1.4212034383954155,0.8871,0.9677,0.9194,16,Trend-Up,13.75,Range,1.75
2011-02-14,1.75,0.6242774566473989,0.2593,0.7778,0.4815,8,Range,1.75,Range,0.5
2011-02-15,0.5,0.5212464589235127,0.087,0.3913,0.6957,14,Range,0.5,Channel,2.75
2011-02-16,2.75,0.8526645768025078,0.3235,0.6765,0.6471,22,Channel,2.75,Trend-Up,7.5
2011-02-17,7.5,1.1282051282051282,0.6818,0.8864,0.7955,17,Trend-Up,7.5,Channel,3.5
2011-02-18,3.5,0.6835443037974683,0.5185,0.5185,1.0,16,Channel,3.5,Trend-Down,-8.5
2011-02-21,-8.5,1.0457516339869282,0.85,0.05,0.1,3,Trend-Down,-8.5,Channel,-12.5
2011-02-22,-12.5,2.544262295081967,0.5155,0.3299,0.1546,32,Channel,-12.5,Channel,-8.0
2011-02-23,-8.0,1.7175141242937852,0.4211,0.1711,0.4079,29,Channel,-8.0,Range,-2.25
2011-02-24,-2.25,1.5217391304347827,0.1286,0.3143,0.5571,29,Range,-2.25,Trend-Up,8.25
2011-02-25,8.25,0.7980535279805353,0.8049,0.9268,0.878,13,Trend-Up,8.25,Range,2.75
2011-02-28,2.75,0.7272727272727273,0.2821,0.5385,0.7436,14,Range,2.75,Trend-Down,-30.5
2011-03-01,-30.5,2.3410138248847927,0.9606,0.0315,0.0079,21,Trend-Down,-30.5,Range,3.0
2011-03-02,3.0,0.758220502901354,0.2449,0.8776,0.3673,19,Range,3.0,Trend-Up,10.25
2011-03-03,10.25,0.7569573283858998,0.8039,0.9804,0.8235,9,Trend-Up,10.25,Channel,-9.5
2011-03-04,-9.5,1.12,0.4935,0.0519,0.4545,14,Channel,-9.5,Trend-Down,-15.5
2011-03-07,-15.5,1.4792452830188678,0.6327,0.1224,0.2449,19,Trend-Down,-15.5,Channel,8.5
2011-03-08,8.5,1.144927536231884,0.4304,0.7089,0.7215,11,Channel,8.5,Range,-3.25
2011-03-09,-3.25,0.6844919786096256,0.2708,0.4167,0.3125,19,Range,-3.25,Trend-Down,-11.25
2011-03-10,-11.25,0.7323943661971831,0.8654,0.0192,0.1154,19,Trend-Down,-11.25,Trend-Up,16.0
2011-03-11,16.0,1.0189328743545611,0.8649,0.9865,0.8784,16,Trend-Up,16.0,Range,0.0
2011-03-14,0.0,0.8636363636363636,0.0,0.3333,0.6667,28,Range,0.0,Trend-Up,19.25
2011-03-15,19.25,1.7014925373134329,0.6754,0.9649,0.7105,26,Trend-Up,19.25,Channel,-16.75
2011-03-16,-16.75,1.7629382303839733,0.5076,0.1288,0.3636,24,Channel,-16.75,Range,-2.0
2011-03-17,-2.0,0.636085626911315,0.1538,0.3077,0.5385,19,Range,-2.0,Trend-Down,-10.0
2011-03-18,-10.0,0.75,0.7018,0.0351,0.2632,16,Trend-Down,-10.0,Channel,3.5
2011-03-21,3.5,0.4641638225255973,0.4118,0.7941,0.6176,9,Channel,3.5,Trend-Down,-5.0
2011-03-22,-5.0,0.40559440559440557,0.6897,0.2414,0.069,12,Trend-Down,-5.0,Channel,7.0
2011-03-23,7.0,0.9908925318761385,0.4118,0.6471,0.7647,9,Channel,7.0,Channel,5.5
2011-03-24,5.5,0.8397790055248618,0.386,0.4912,0.8947,9,Channel,5.5,Range,2.75
2011-03-25,2.75,0.5451197053406999,0.2973,0.7027,0.5946,6,Range,2.75,Trend-Down,-9.25
2011-03-28,-9.25,0.9098712446351931,0.6981,0.283,0.0189,8,Trend-Down,-9.25,Trend-Up,11.75
2011-03-29,11.75,1.4470284237726099,0.6714,0.7571,0.9143,8,Trend-Up,11.75,Channel,2.5
2011-03-30,2.5,0.6518518518518519,0.303,0.7879,0.5152,13,Channel,2.5,Range,0.0
2011-03-31,0.0,0.4409448818897638,0.0,0.7619,0.2381,11,Range,0.0,Range,-2.75
2011-04-01,-2.75,0.8260869565217391,0.2895,0.3947,0.3158,9,Range,-2.75,Range,-1.0
2011-04-04,-1.0,0.6790450928381963,0.125,0.3125,0.5625,14,Range,-1.0,Range,1.25
2011-04-05,1.25,0.844574780058651,0.1389,0.9444,0.1944,17,Range,1.25,Trend-Down,-5.5
2011-04-06,-5.5,0.9,0.6111,0.1389,0.25,25,Trend-Down,-5.5,Range,-1.25
2011-04-07,-1.25,1.3040752351097178,0.0962,0.4231,0.4808,27,Range,-1.25,Trend-Down,-10.5
2011-04-08,-10.5,1.7106918238993711,0.6176,0.0588,0.3235,22,Trend-Down,-10.5,Channel,-5.75
2011-04-11,-5.75,1.3417721518987342,0.434,0.3396,0.2264,29,Channel,-5.75,Channel,-5.0
2011-04-12,-5.0,0.9761904761904762,0.4878,0.2439,0.2683,21,Channel,-5.0,Trend-Down,-7.5
2011-04-13,-7.5,1.1235955056179776,0.6,0.08,0.32,23,Trend-Down,-7.5,Channel,8.0
2011-04-14,8.0,1.3043478260869565,0.5333,0.7,0.8333,19,Channel,8.0,Trend-Up,5.5
2011-04-15,5.5,0.7878787878787878,0.5641,0.5897,0.9744,10,Trend-Up,5.5,Range,-0.25
2011-04-18,-0.25,1.0827067669172932,0.0185,0.1852,0.7963,20,Range,-0.25,Channel,5.0
2011-04-19,5.0,0.7482014388489209,0.5128,0.641,0.8718,12,Channel,5.0,Trend-Up,4.25
2011-04-20,4.25,0.5742574257425742,0.5862,0.8621,0.7241,12,Trend-Up,4.25,Channel,-2.5
2011-04-21,-2.5,0.4602739726027397,0.4762,0.1429,0.381,17,Channel,-2.5,Range,-1.0
2011-04-25,-1.0,0.6486486486486487,0.1481,0.2963,0.5556,15,Range,-1.0,Channel,4.75
2011-04-26,4.75,1.1786833855799372,0.4043,0.8723,0.5319,9,Channel,4.75,Channel,5.75
2011-04-27,5.75,1.4177215189873418,0.4107,0.5714,0.8393,21,Channel,5.75,Trend-Up,5.25
2011-04-28,5.25,0.9230769230769231,0.5833,0.9444,0.6389,14,Trend-Up,5.25,Trend-Up,6.5
2011-04-29,6.5,0.8802588996763754,0.7647,0.7941,0.9706,10,Trend-Up,6.5,Trend-Down,-8.0
2011-05-02,-8.0,1.3840830449826989,0.64,0.12,0.24,16,Trend-Down,-8.0,Range,-2.75
2011-05-03,-2.75,1.2266666666666666,0.2391,0.2174,0.5435,28,Range,-2.75,Trend-Down,-9.25
2011-05-04,-9.25,1.5394321766561514,0.6066,0.0328,0.3607,29,Trend-Down,-9.25,Range,-1.0
2011-05-05,-1.0,1.7478991596638656,0.0513,0.4487,0.5,24,Range,-1.0,Channel,-9.5
2011-05-06,-9.5,1.5686274509803921,0.475,0.3625,0.1625,29,Channel,-9.5,Channel,5.5
2011-05-09,5.5,0.8344671201814059,0.4783,0.8043,0.6739,14,Channel,5.5,Trend-Up,7.0
2011-05-10,7.0,0.8352668213457076,0.6222,0.8667,0.7556,12,Trend-Up,7.0,Trend-Down,-13.0
2011-05-11,-13.0,1.4,0.6753,0.026,0.2987,19,Trend-Down,-13.0,Trend-Up,12.0
2011-05-12,12.0,1.3250517598343685,0.6,0.65,0.95,18,Trend-Up,12.0,Trend-Down,-12.5
2011-05-13,-12.5,1.1228070175438596,0.6944,0.0972,0.2083,23,Trend-Down,-12.5,Channel,-5.75
2011-05-16,-5.75,0.9795918367346939,0.3485,0.6212,0.0303,15,Channel,-5.75,Range,3.25
2011-05-17,3.25,0.75,0.2549,0.5294,0.7255,23,Range,3.25,Trend-Up,11.0
2011-05-18,11.0,0.9903288201160542,0.6875,0.8125,0.875,8,Trend-Up,11.0,Range,-1.25
2011-05-19,-1.25,0.7025948103792415,0.1136,0.2273,0.6591,12,Range,-1.25,Trend-Down,-10.0
2011-05-20,-10.0,0.8496993987975952,0.7547,0.1321,0.1132,11,Trend-Down,-10.0,Range,-0.25
2011-05-23,-0.25,0.5680473372781065,0.0278,0.5278,0.4444,17,Range,-0.25,Trend-Down,-6.25
2011-05-24,-6.25,0.7381974248927039,0.5814,0.2791,0.1395,15,Trend-Down,-6.25,Channel,7.5
2011-05-25,7.5,1.1748251748251748,0.4762,0.9841,0.4921,11,Channel,7.5,Trend-Up,11.75
2011-05-26,11.75,1.1428571428571428,0.7833,0.8333,0.95,20,Trend-Up,11.75,Range,1.25
2011-05-27,1.25,0.5410628019323671,0.1786,0.7143,0.4643,13,Range,1.25,Trend-Down,-1.25
2011-05-30,-1.25,0.18414322250639387,0.5556,0.2222,0.2222,1,Trend-Down,-1.25,Range,2.0
2011-05-31,2.0,1.1904761904761905,0.16,0.26,0.9,22,Range,2.0,Trend-Down,-27.0
2011-06-01,-27.0,2.783625730994152,0.9076,0.0252,0.0672,23,Trend-Down,-27.0,Range,-2.25
2011-06-02,-2.25,1.0,0.1765,0.1961,0.6275,24,Range,-2.25,Range,-0.25
2011-06-03,-0.25,1.0212765957446808,0.0185,0.963,0.0185,23,Range,-0.25,Trend-Down,-10.5
2011-06-06,-10.5,1.1059907834101383,0.7,0.1667,0.1333,16,Trend-Down,-10.5,Channel,-6.75
2011-06-07,-6.75,0.9651972157772621,0.5192,0.3077,0.1731,12,Channel,-6.75,Channel,-5.0
