net_q,n,legs,range_over_adr,efficiency,d_range
ext_down,837,19.771,1.421,0.619,58.534
down,845,16.575,0.93,0.336,20.425
flat,805,13.683,0.74,0.172,16.019
up,827,13.924,0.93,0.516,20.936
ext_up,823,13.559,1.173,0.661,54.768
