up,dt_entry,day,R_pts,hwb,entry_tick_low,entry_tick_high,conf400,conf800,outcome,target_first,resolved,mfe_pts,mae_pts,bars_to_out
True,2021-09-27 08:30:00,2021-09-27,35.25,5244.38,-361.0,372.0,False,False,stop,False,True,3.38,10.38,0.0
True,2021-09-28 14:15:00,2021-09-28,37.5,5162.5,-779.0,593.0,True,False,stop,False,True,16.75,16.0,2.0
False,2021-09-29 08:30:00,2021-09-29,34.75,5163.88,-216.0,864.0,True,True,stop,False,True,7.62,8.12,0.0
True,2021-09-29 10:30:00,2021-09-29,39.0,5166.0,-544.0,178.0,True,False,stop,False,True,8.75,9.0,3.0
False,2021-09-29 13:00:00,2021-09-29,32.25,5169.38,-297.0,972.0,True,True,stop,False,True,6.38,11.38,0.0
True,2021-09-29 14:30:00,2021-09-29,31.25,5168.88,-548.0,591.0,True,False,stop,False,True,8.62,14.62,1.0
False,2021-09-30 08:30:00,2021-09-30,30.25,5169.38,-221.0,1000.0,True,True,stop,False,True,2.62,13.12,0.0
True,2021-09-30 09:00:00,2021-09-30,28.25,5168.38,-620.0,364.0,True,False,stop,False,True,6.38,7.38,0.0
False,2021-09-30 13:30:00,2021-09-30,69.0,5148.0,-496.0,844.0,True,True,target,True,True,61.75,4.75,10.0
True,2021-09-30 14:00:00,2021-09-30,39.25,5133.12,-825.0,912.0,True,True,stop,False,True,17.12,6.62,2.0
False,2021-10-01 08:30:00,2021-10-01,49.5,5128.0,-201.0,1182.0,True,True,target,True,True,41.75,2.25,3.0
True,2021-10-01 08:45:00,2021-10-01,27.0,5116.75,-530.0,399.0,True,False,stop,False,True,0.0,14.75,0.0
False,2021-10-01 10:00:00,2021-10-01,44.25,5108.12,-539.0,972.0,True,True,stop,False,True,11.62,11.38,0.0
True,2021-10-04 09:00:00,2021-10-04,88.75,5130.38,-639.0,193.0,True,False,stop,False,True,15.38,18.62,1.0
False,2021-10-05 08:45:00,2021-10-05,98.25,5125.62,-276.0,514.0,True,False,stop,False,True,14.88,18.12,1.0
True,2021-10-06 08:30:00,2021-10-06,92.25,5122.62,-1290.0,139.0,True,True,stop,False,True,3.88,19.62,0.0
False,2021-10-06 12:30:00,2021-10-06,80.25,5128.62,-61.0,916.0,True,True,stop,False,True,3.62,12.12,0.0
False,2021-10-11 08:45:00,2021-10-11,48.0,5206.5,-67.0,565.0,True,False,stop,False,True,12.0,7.5,1.0
True,2021-10-11 11:00:00,2021-10-11,34.0,5199.5,-722.0,210.0,True,False,stop,False,True,11.0,4.75,2.0
False,2021-10-14 08:30:00,2021-10-14,68.5,5182.25,-93.0,1358.0,True,True,stop,False,True,0.0,28.5,0.0
True,2021-10-12 11:30:00,2021-10-12,26.0,5161.0,-713.0,381.0,True,False,stop,False,True,4.25,7.25,0.0
False,2021-10-13 08:30:00,2021-10-13,37.25,5155.38,-178.0,394.0,False,False,stop,False,True,1.38,10.88,0.0
True,2021-10-13 08:45:00,2021-10-13,29.5,5151.5,-523.0,275.0,True,False,stop,False,True,6.25,11.75,0.0
False,2021-10-13 09:45:00,2021-10-13,38.5,5147.0,-79.0,445.0,True,False,stop,False,True,11.25,8.5,4.0
False,2021-10-18 08:45:00,2021-10-18,30.75,5261.12,-536.0,216.0,False,False,stop,False,True,2.62,7.12,0.0
False,2021-10-22 11:30:00,2021-10-22,36.25,5342.38,-98.0,445.0,True,False,stop,False,True,5.88,5.38,1.0
True,2021-10-27 14:15:00,2021-10-27,74.75,5361.62,-668.0,628.0,True,False,stop,False,True,7.12,8.88,2.0
False,2021-10-28 08:30:00,2021-10-28,46.25,5375.88,-86.0,714.0,True,False,stop,False,True,7.88,7.62,1.0
True,2021-10-29 08:30:00,2021-10-29,46.0,5375.75,-457.0,191.0,True,False,stop,False,True,9.75,6.5,0.0
False,2021-10-29 08:45:00,2021-10-29,29.5,5384.0,-333.0,162.0,False,False,stop,False,True,1.0,6.5,0.0
False,2021-11-05 13:45:00,2021-11-05,37.5,5502.0,-275.0,375.0,False,False,stop,False,True,8.75,14.0,6.0
True,2021-11-08 10:45:00,2021-11-08,32.75,5499.62,-339.0,236.0,False,False,stop,False,True,4.12,3.88,1.0
False,2021-11-12 10:00:00,2021-11-12,81.75,5475.12,-118.0,536.0,True,False,stop,False,True,8.12,10.12,2.0
False,2021-11-18 10:30:00,2021-11-18,41.75,5497.88,-320.0,496.0,True,False,stop,False,True,4.88,7.12,0.0
True,2021-11-22 10:45:00,2021-11-22,72.5,5513.25,-756.0,88.0,True,False,stop,False,True,24.75,26.25,16.0
False,2021-11-22 13:30:00,2021-11-22,43.0,5528.0,-145.0,429.0,True,False,stop,False,True,4.5,10.0,2.0
True,2021-11-22 14:30:00,2021-11-22,31.5,5522.25,-625.0,434.0,True,False,stop,False,True,5.5,7.5,0.0
False,2021-11-24 14:15:00,2021-11-24,62.0,5507.0,-356.0,385.0,False,False,stop,False,True,4.75,10.0,4.0
True,2021-11-23 09:00:00,2021-11-23,28.5,5490.25,-492.0,272.0,True,False,stop,False,True,10.5,11.5,0.0
False,2021-11-23 10:15:00,2021-11-23,46.5,5481.25,-331.0,469.0,True,False,stop,False,True,15.75,10.75,11.0
True,2021-11-24 08:30:00,2021-11-24,42.25,5479.12,-801.0,169.0,True,True,stop,False,True,1.38,12.12,0.0
False,2021-11-24 09:00:00,2021-11-24,35.0,5482.75,-264.0,329.0,False,False,stop,False,True,13.0,5.5,1.0
True,2021-11-26 08:30:00,2021-11-26,52.5,5491.5,-1278.0,-46.0,True,True,stop,False,True,0.0,60.75,0.0
False,2021-11-29 08:30:00,2021-11-29,123.75,5455.88,-172.0,1200.0,True,True,stop,False,True,25.62,15.12,11.0
True,2021-11-26 11:45:00,2021-11-26,33.75,5410.88,-711.0,515.0,True,False,stop,False,True,10.12,20.62,0.0
False,2021-11-29 08:30:00,2021-11-29,41.5,5407.0,-172.0,1200.0,True,True,stop,False,True,0.0,52.0,0.0
True,2021-11-30 09:45:00,2021-11-30,72.75,5422.62,-932.0,75.0,True,True,stop,False,True,15.62,30.12,0.0
False,2021-11-29 10:00:00,2021-11-29,28.75,5444.62,-243.0,543.0,True,False,stop,False,True,9.12,3.62,1.0
True,2021-11-30 08:30:00,2021-11-30,48.5,5454.5,-856.0,328.0,True,True,stop,False,True,0.0,31.0,0.0
False,2021-11-30 09:00:00,2021-11-30,55.25,5451.12,-452.0,673.0,True,False,target,True,True,58.62,2.12,3.0
True,2021-11-30 09:45:00,2021-11-30,29.75,5438.38,-932.0,75.0,True,True,stop,False,True,0.0,45.88,0.0
False,2021-12-01 08:30:00,2021-12-01,69.5,5418.5,41.0,1391.0,True,True,stop,False,True,3.25,13.25,0.0
True,2021-11-30 10:30:00,2021-11-30,27.75,5397.62,-763.0,263.0,True,False,stop,False,True,6.62,13.62,0.0
False,2021-11-30 11:30:00,2021-11-30,40.5,5391.25,-682.0,551.0,True,False,stop,False,True,14.75,10.75,5.0
True,2021-11-30 13:45:00,2021-11-30,35.0,5388.5,-676.0,263.0,True,False,stop,False,True,5.75,6.5,0.0
False,2021-11-30 15:00:00,2021-11-30,40.0,5386.0,-244.0,-81.0,False,False,stop,False,True,14.5,7.25,0.0
True,2021-12-01 12:00:00,2021-12-01,93.75,5412.88,-1011.0,241.0,True,True,stop,False,True,11.88,12.62,1.0
False,2021-12-02 11:00:00,2021-12-02,153.0,5383.25,-562.0,475.0,True,False,stop,False,True,9.5,19.5,14.0
True,2021-12-02 09:30:00,2021-12-02,69.0,5341.25,-850.0,495.0,True,True,stop,False,True,26.25,9.25,1.0
False,2021-12-02 10:00:00,2021-12-02,43.75,5353.88,-439.0,699.0,True,False,stop,False,True,0.0,19.38,0.0
True,2021-12-03 08:45:00,2021-12-03,70.75,5367.38,-770.0,151.0,True,False,stop,False,True,27.88,19.62,1.0
False,2021-12-02 15:00:00,2021-12-02,28.0,5388.75,-328.0,200.0,False,False,stop,False,True,7.25,26.75,1.0
True,2021-12-03 08:45:00,2021-12-03,40.75,5395.12,-770.0,151.0,True,False,stop,False,True,0.12,31.62,0.0
False,2021-12-06 08:30:00,2021-12-06,102.25,5364.38,-210.0,909.0,True,True,stop,False,True,16.12,15.12,0.0
True,2021-12-03 11:45:00,2021-12-03,31.25,5328.88,-881.0,419.0,True,True,stop,False,True,11.12,5.62,1.0
False,2021-12-03 14:15:00,2021-12-03,43.5,5322.75,-667.0,825.0,True,True,stop,False,True,16.0,7.25,0.0
False,2021-12-10 08:30:00,2021-12-10,40.75,5491.88,-189.0,1120.0,True,True,stop,False,True,0.0,22.12,0.0
True,2021-12-10 09:30:00,2021-12-10,42.5,5492.75,-602.0,297.0,True,False,stop,False,True,16.0,6.5,1.0
False,2021-12-10 10:30:00,2021-12-10,36.25,5495.88,-278.0,363.0,False,False,stop,False,True,7.62,6.12,1.0
True,2021-12-13 08:45:00,2021-12-13,43.75,5499.62,-442.0,319.0,True,False,stop,False,True,9.62,14.38,2.0
False,2021-12-15 14:00:00,2021-12-15,82.0,5480.5,-477.0,849.0,True,True,stop,False,True,22.5,27.5,1.0
True,2021-12-14 09:00:00,2021-12-14,28.75,5453.88,-544.0,294.0,True,False,stop,False,True,4.62,11.38,0.0
False,2021-12-14 14:00:00,2021-12-14,55.75,5440.38,-322.0,633.0,True,False,stop,False,True,6.62,9.62,1.0
True,2021-12-15 08:30:00,2021-12-15,42.25,5433.62,-378.0,465.0,False,False,stop,False,True,14.62,8.88,1.0
False,2021-12-15 13:15:00,2021-12-15,36.5,5436.5,-709.0,522.0,True,False,stop,False,True,0.0,29.75,0.0
True,2021-12-16 13:15:00,2021-12-16,121.25,5478.88,-820.0,150.0,True,True,stop,False,True,9.12,20.62,2.0
True,2021-12-16 14:45:00,2021-12-16,35.75,5476.12,-784.0,854.0,True,False,stop,False,True,14.12,4.38,1.0
False,2021-12-17 09:45:00,2021-12-17,87.75,5450.12,-230.0,883.0,True,True,stop,False,True,11.88,15.38,0.0
True,2021-12-17 10:30:00,2021-12-17,67.0,5439.75,-867.0,292.0,True,True,stop,False,True,28.25,10.5,1.0
False,2021-12-17 11:30:00,2021-12-17,49.5,5448.5,-747.0,786.0,True,False,stop,False,True,12.25,7.75,3.0
True,2021-12-17 14:15:00,2021-12-17,39.5,5443.5,-763.0,591.0,True,False,stop,False,True,9.0,12.25,1.0
False,2021-12-21 08:30:00,2021-12-21,126.75,5399.88,-236.0,1393.0,True,True,stop,False,True,0.0,20.38,0.0
False,2021-12-21 10:00:00,2021-12-21,31.75,5404.38,-523.0,392.0,False,False,stop,False,True,6.88,8.38,0.0
False,2022-01-03 08:30:00,2022-01-03,42.5,5594.75,-236.0,815.0,True,True,stop,False,True,6.75,8.0,0.0
True,2022-01-03 08:45:00,2022-01-03,29.25,5588.12,-715.0,457.0,True,False,stop,False,True,10.62,24.38,0.0
False,2022-01-03 09:00:00,2022-01-03,39.0,5583.25,-408.0,467.0,True,False,stop,False,True,10.0,9.75,1.0
True,2022-01-04 10:00:00,2022-01-04,60.75,5594.12,-804.0,265.0,True,True,stop,False,True,10.62,9.38,10.0
False,2022-01-04 14:00:00,2022-01-04,43.75,5602.62,-150.0,378.0,False,False,stop,False,True,4.38,5.38,1.0
