instrument,contract_month,rollover_date,offset
CL,2027-04,2027-02-17,NaN
CL,2027-05,2027-03-17,NaN
CL,2027-06,2027-04-15,NaN
CL,2027-07,2027-05-17,NaN
CL,2027-08,2027-06-17,NaN
CL,2027-09,2027-07-15,NaN
CL,2027-10,2027-08-20,NaN
CL,2027-11,2027-09-21,NaN
CL,2027-12,2027-10-20,NaN
CL,2028-01,2027-11-16,NaN
CL,2028-02,2027-12-15,NaN
CL,2028-03,2028-01-17,NaN
CL,2028-04,2028-02-17,NaN
CL,2028-05,2028-03-16,NaN
CL,2028-06,2028-04-17,NaN
