BACKFILL PLAN (ETH -> data/ticks_continuous_eth/):
  ES 09-25: 2025-07-11 .. 2025-09-12
  ES 12-25: 2025-09-14 .. 2025-12-12
  ES 03-26: 2025-12-14 .. 2026-03-13
  ES 06-26: 2026-03-15 .. 2026-06-18
  ES 09-26: 2026-06-08 .. 2026-09-11

=== ES 09-25 2025-07-11..2025-09-12 — requested (ETH); waiting for AddOn ===
reading 70 file(s):
  ES_09-25_ticks_20250711_221438.csv: 23,396 rows  contract='ES 09-25'
  ES_09-25_ticks_20250711_221733.csv: 23,396 rows  contract='ES 09-25'
  ES_09-25_ticks_20250711_222018.csv: 23,396 rows  contract='ES 09-25'
  ES_09-25_ticks_20250714_221440.csv: 1,545,184 rows  contract='ES 09-25'
  ES_09-25_ticks_20250714_221736.csv: 1,545,184 rows  contract='ES 09-25'
  ES_09-25_ticks_20250714_222028.csv: 1,545,184 rows  contract='ES 09-25'
  ES_09-25_ticks_20250715_221446.csv: 1,954,050 rows  contract='ES 09-25'
  ES_09-25_ticks_20250715_221747.csv: 1,954,050 rows  contract='ES 09-25'
  ES_09-25_ticks_20250715_222036.csv: 1,954,050 rows  contract='ES 09-25'
  ES_09-25_ticks_20250716_221454.csv: 1,727,086 rows  contract='ES 09-25'
  ES_09-25_ticks_20250716_221758.csv: 1,727,086 rows  contract='ES 09-25'
  ES_09-25_ticks_20250717_221500.csv: 1,397,573 rows  contract='ES 09-25'
  ES_09-25_ticks_20250717_221808.csv: 1,397,573 rows  contract='ES 09-25'
  ES_09-25_ticks_20250718_221505.csv: 719,379 rows  contract='ES 09-25'
  ES_09-25_ticks_20250718_221814.csv: 719,379 rows  contract='ES 09-25'
  ES_09-25_ticks_20250721_221508.csv: 1,387,461 rows  contract='ES 09-25'
  ES_09-25_ticks_20250721_221819.csv: 1,387,461 rows  contract='ES 09-25'
  ES_09-25_ticks_20250722_221514.csv: 1,612,994 rows  contract='ES 09-25'
  ES_09-25_ticks_20250722_221827.csv: 1,612,994 rows  contract='ES 09-25'
  ES_09-25_ticks_20250723_221520.csv: 1,564,423 rows  contract='ES 09-25'
  ES_09-25_ticks_20250723_221835.csv: 1,564,423 rows  contract='ES 09-25'
  ES_09-25_ticks_20250724_221525.csv: 1,280,724 rows  contract='ES 09-25'
  ES_09-25_ticks_20250724_221844.csv: 1,280,724 rows  contract='ES 09-25'
  ES_09-25_ticks_20250725_221530.csv: 546,985 rows  contract='ES 09-25'
  ES_09-25_ticks_20250725_221850.csv: 546,985 rows  contract='ES 09-25'
  ES_09-25_ticks_20250728_221533.csv: 1,428,142 rows  contract='ES 09-25'
  ES_09-25_ticks_20250728_221854.csv: 1,428,142 rows  contract='ES 09-25'
  ES_09-25_ticks_20250729_221538.csv: 1,700,872 rows  contract='ES 09-25'
  ES_09-25_ticks_20250729_221904.csv: 1,700,872 rows  contract='ES 09-25'
  ES_09-25_ticks_20250730_221546.csv: 2,176,141 rows  contract='ES 09-25'
  ES_09-25_ticks_20250730_221914.csv: 2,176,141 rows  contract='ES 09-25'
  ES_09-25_ticks_20250731_221555.csv: 2,939,888 rows  contract='ES 09-25'
  ES_09-25_ticks_20250731_221926.csv: 2,939,888 rows  contract='ES 09-25'
  ES_09-25_ticks_20250801_221605.csv: 1,684,045 rows  contract='ES 09-25'
  ES_09-25_ticks_20250801_221938.csv: 1,684,045 rows  contract='ES 09-25'
  ES_09-25_ticks_20250804_221612.csv: 1,890,979 rows  contract='ES 09-25'
  ES_09-25_ticks_20250804_221951.csv: 1,890,979 rows  contract='ES 09-25'
  ES_09-25_ticks_20250805_221619.csv: 1,869,425 rows  contract='ES 09-25'
  ES_09-25_ticks_20250805_222003.csv: 1,869,425 rows  contract='ES 09-25'
  ES_09-25_ticks_20250806_221628.csv: 1,907,800 rows  contract='ES 09-25'
  ES_09-25_ticks_20250806_222012.csv: 1,907,800 rows  contract='ES 09-25'
  ES_09-25_ticks_20250807_221636.csv: 1,878,294 rows  contract='ES 09-25'
  ES_09-25_ticks_20250807_222022.csv: 1,878,294 rows  contract='ES 09-25'
  ES_09-25_ticks_20250808_221644.csv: 820,141 rows  contract='ES 09-25'
  ES_09-25_ticks_20250808_222033.csv: 820,141 rows  contract='ES 09-25'
  ES_09-25_ticks_20250811_221649.csv: 1,640,648 rows  contract='ES 09-25'
  ES_09-25_ticks_20250812_221700.csv: 1,626,533 rows  contract='ES 09-25'
  ES_09-25_ticks_20250813_221712.csv: 1,578,403 rows  contract='ES 09-25'
