DateTime,Open,High,Low,Close,K,D,KSignalUp,KSignalDn,ZoneSignal
2009-04-13 15:15:00,1416.75,1433.00,1413.25,1425.75,91.1854,91.1854,0,1,-1
2009-04-14 15:15:00,1417.75,1425.00,1408.00,1412.25,58.9109,58.9109,0,0,0
2009-04-15 15:15:00,1405.75,1422.25,1403.25,1421.00,76.2376,76.2376,0,0,0
2009-04-16 15:15:00,1426.25,1438.75,1415.00,1433.00,89.7778,89.7778,0,1,0
2009-04-17 15:15:00,1435.50,1443.75,1428.50,1438.75,91.8367,91.8367,0,1,0
2009-04-20 15:15:00,1422.75,1423.75,1400.50,1405.25,36.8852,36.8852,0,0,0
2009-04-21 15:15:00,1395.50,1420.50,1395.00,1419.25,49.7436,49.7436,0,0,0
2009-04-22 15:15:00,1410.25,1430.50,1407.00,1408.00,26.6667,26.6667,0,0,0
2009-04-23 15:15:00,1414.50,1421.75,1403.00,1420.50,52.3077,52.3077,0,0,0
2009-04-24 15:15:00,1427.50,1440.50,1424.00,1438.25,88.7179,88.7179,0,1,-1
2009-04-27 15:15:00,1423.50,1437.50,1422.25,1428.50,68.7179,68.7179,0,0,0
2009-04-28 15:15:00,1417.25,1433.25,1414.50,1423.00,57.4359,57.4359,0,0,0
2009-04-29 15:15:00,1432.50,1451.00,1430.00,1440.50,81.2500,81.2500,0,1,0
2009-04-30 15:15:00,1452.50,1457.50,1436.25,1436.75,66.8000,66.8000,0,0,0
2009-05-01 15:15:00,1441.25,1450.00,1434.25,1448.25,83.0275,83.0275,0,1,-1
2009-05-04 15:15:00,1453.00,1476.50,1450.75,1475.00,97.9592,97.9592,0,1,-1
2009-05-05 15:15:00,1473.25,1476.50,1465.25,1475.25,97.9839,97.9839,0,1,0
2009-05-06 15:15:00,1483.75,1489.75,1473.00,1489.25,99.3355,99.3355,0,1,0
2009-05-07 15:15:00,1497.75,1498.75,1469.75,1479.50,77.1513,77.1513,0,0,0
2009-05-08 15:15:00,1488.00,1499.50,1481.50,1496.00,94.9640,94.9640,0,1,-1
2009-05-11 15:15:00,1484.75,1488.25,1477.50,1481.25,72.0307,72.0307,0,0,0
2009-05-12 15:15:00,1483.50,1485.25,1465.75,1478.50,67.8161,67.8161,0,0,0
2009-05-13 15:15:00,1464.50,1467.25,1451.75,1457.00,12.8205,12.8205,1,0,1
2009-05-14 15:15:00,1455.00,1468.50,1452.25,1461.25,19.8953,19.8953,0,0,0
2009-05-15 15:15:00,1460.75,1467.25,1448.50,1454.25,11.2745,11.2745,1,0,0
