Date,High,Low,Close
2021-06-01,4234.1201171875,4197.58984375,4202.0400390625
2021-06-02,4217.3701171875,4198.27001953125,4208.1201171875
2021-06-03,4204.39013671875,4167.93017578125,4192.85009765625
2021-06-04,4233.4501953125,4206.0498046875,4229.89013671875
2021-06-07,4232.33984375,4215.66015625,4226.52001953125
2021-06-08,4236.740234375,4208.41015625,4227.259765625
2021-06-09,4237.08984375,4218.740234375,4219.5498046875
2021-06-10,4249.740234375,4220.33984375,4239.18017578125
2021-06-11,4248.3798828125,4232.25,4247.43994140625
2021-06-14,4255.58984375,4234.06982421875,4255.14990234375
2021-06-15,4257.16015625,4238.35009765625,4246.58984375
2021-06-16,4251.89013671875,4202.4501953125,4223.7001953125
2021-06-17,4232.2900390625,4196.0498046875,4221.85986328125
2021-06-18,4204.77978515625,4164.39990234375,4166.4501953125
2021-06-21,4226.240234375,4173.39990234375,4224.7900390625
2021-06-22,4255.83984375,4217.27001953125,4246.43994140625
2021-06-23,4256.60009765625,4241.43017578125,4241.83984375
2021-06-24,4271.27978515625,4256.97021484375,4266.490234375
2021-06-25,4286.1201171875,4271.16015625,4280.7001953125
2021-06-28,4292.14013671875,4274.669921875,4290.60986328125
2021-06-29,4300.52001953125,4287.0400390625,4291.7998046875
2021-06-30,4302.43017578125,4287.9599609375,4297.5
2021-07-01,4320.66015625,4300.72998046875,4319.93994140625
2021-07-02,4355.43017578125,4326.60009765625,4352.33984375
2021-07-06,4356.4599609375,4314.3701171875,4343.5400390625
2021-07-07,4361.8798828125,4329.7900390625,4358.1298828125
2021-07-08,4330.8798828125,4289.3701171875,4320.81982421875
2021-07-09,4371.60009765625,4329.3798828125,4369.5498046875
2021-07-12,4386.68017578125,4364.02978515625,4384.6298828125
2021-07-13,4392.3701171875,4366.919921875,4369.2099609375
2021-07-14,4393.68017578125,4362.35986328125,4374.2998046875
2021-07-15,4369.02001953125,4340.7001953125,4360.02978515625
2021-07-16,4375.08984375,4322.52978515625,4327.16015625
