date,yr,dir,mae,eod,adr10
2023-09-15,2023,S,6.0,11.25,30.7
2023-10-11,2023,S,23.5,-23.0,58.475
2023-10-19,2023,L,63.0,-61.25,58.275
2023-11-06,2023,S,13.5,-10.0,49.45
2023-11-07,2023,L,11.5,-1.75,45.225
2023-11-10,2023,L,0.25,12.0,41.075
2023-11-10,2023,L,0.5,10.75,41.075
2023-11-17,2023,L,1.0,2.25,36.25
2023-11-29,2023,S,6.75,6.5,25.25
2023-12-01,2023,S,10.0,-8.25,26.225
2023-12-01,2023,L,3.5,4.25,26.225
2023-12-05,2023,S,8.5,-6.0,28.75
2023-12-06,2023,S,2.25,19.25,26.825
2023-12-06,2023,S,3.0,16.0,26.825
2023-12-08,2023,L,8.25,16.75,29.75
2023-12-12,2023,L,3.75,18.0,33.675
2023-12-12,2023,L,1.75,15.0,33.675
2023-12-15,2023,L,12.5,1.5,38.4
2023-12-15,2023,L,15.5,-1.5,38.4
2023-12-19,2023,L,6.0,3.0,35.675
2023-12-19,2023,L,3.25,3.75,35.675
2023-12-28,2023,S,5.25,1.0,39.6
2023-12-29,2023,L,5.25,-0.75,34.025
2024-01-11,2024,L,0.5,15.0,35.075
2024-01-16,2024,L,31.25,-12.0,41.275
2024-01-19,2024,L,1.0,42.0,42.45
2024-01-22,2024,S,2.5,5.75,44.425
2024-01-22,2024,S,6.5,1.75,44.425
2024-01-23,2024,S,19.25,-19.25,42.85
2024-02-08,2024,S,8.25,-3.75,41.75
2024-02-08,2024,L,3.75,3.75,41.75
2024-02-14,2024,L,25.25,20.25,43.225
2024-02-15,2024,S,31.75,-28.75,41.525
2024-02-15,2024,L,1.0,10.25,41.525
2024-02-21,2024,S,23.75,-18.5,35.525
2024-02-26,2024,S,3.5,12.5,41.075
2024-02-27,2024,L,11.5,13.25,40.875
2024-02-29,2024,S,21.75,-7.25,36.775
2024-02-29,2024,S,29.0,-14.5,36.775
2024-03-01,2024,L,1.0,7.0,36.475
2024-03-04,2024,L,6.75,-6.25,37.6
2024-03-04,2024,L,10.5,-10.0,37.6
2024-03-07,2024,L,3.75,-0.25,37.275
2024-03-07,2024,L,11.25,-7.75,37.275
2024-03-12,2024,L,26.25,7.75,39.9
2024-03-12,2024,S,35.5,-30.25,39.9
2024-03-19,2024,L,1.0,26.0,45.1
2024-03-20,2024,L,11.5,50.25,44.2
2024-03-21,2024,L,16.75,-10.0,46.8
2024-03-21,2024,S,1.75,8.25,46.8
2024-03-22,2024,S,10.5,5.75,45.35
2024-03-26,2024,S,1.0,16.75,37.925
2024-04-01,2024,S,5.5,0.75,32.4
2024-04-01,2024,S,11.75,-5.5,32.4
2024-05-09,2024,L,8.5,13.25,54.4
2024-05-10,2024,S,9.5,-3.0,47.5
2024-05-10,2024,S,9.5,-3.0,47.5
2024-05-13,2024,S,5.25,0.0,46.425
2024-05-15,2024,L,3.5,4.25,40.475
2024-05-16,2024,S,3.0,21.25,37.075
2024-05-21,2024,L,5.75,10.5,31.2
2024-05-30,2024,L,29.5,-24.5,36.675
2024-06-04,2024,L,2.25,16.5,46.8
2024-06-05,2024,L,4.25,16.75,48.625
2024-06-11,2024,L,7.0,7.75,47.15
2024-06-13,2024,S,24.5,-15.25,50.725
2024-06-24,2024,S,6.5,12.25,40.5
2024-06-24,2024,S,10.25,8.5,40.5
2024-06-28,2024,L,66.25,-45.25,36.975
2024-07-03,2024,L,7.75,15.25,39.525
2024-07-05,2024,L,1.0,3.5,40.8
2024-07-08,2024,S,1.5,0.75,39.725
2024-07-08,2024,S,4.5,-2.5,39.725
2024-07-08,2024,S,6.75,-4.75,39.725
2024-07-10,2024,L,1.25,17.75,36.2
2024-07-10,2024,L,2.5,14.25,36.2
2024-07-15,2024,S,15.0,-4.5,45.8
2024-07-16,2024,S,25.5,-19.25,43.65
2024-08-20,2024,S,14.0,-7.0,71.85
2024-08-21,2024,S,17.75,-7.0,63.425
2024-08-22,2024,S,3.5,43.75,53.9
2024-08-26,2024,S,6.0,9.5,51.975
2024-08-26,2024,S,15.25,-7.5,51.975
2024-08-27,2024,L,15.25,2.5,52.0
2024-08-28,2024,S,35.0,-19.75,49.825
2024-08-29,2024,L,63.0,-43.25,51.625
2024-08-30,2024,S,52.75,-42.0,53.65
2024-09-03,2024,S,7.25,40.0,56.85
2024-09-03,2024,S,7.25,28.75,56.85
2024-09-17,2024,S,6.25,-5.5,75.3
2024-09-18,2024,L,28.0,-12.5,69.9
2024-09-23,2024,S,11.75,-8.0,63.075
2024-09-24,2024,L,13.0,4.0,60.375
2024-09-25,2024,S,2.25,5.25,58.55
2024-09-25,2024,S,7.0,-6.75,58.55
2024-09-27,2024,S,4.25,10.75,44.3
2024-10-03,2024,L,34.0,-8.75,46.175
2024-10-08,2024,L,10.75,14.75,50.15
2024-10-09,2024,L,13.5,2.25,50.5
2024-10-11,2024,L,11.0,-0.25,50.975
2024-10-15,2024,S,8.25,25.75,49.675
2024-10-15,2024,S,6.25,25.25,49.675
2024-10-18,2024,L,9.25,-0.75,47.15
2024-10-25,2024,S,7.25,34.0,45.775
2024-10-29,2024,L,7.25,16.0,45.425
2024-10-29,2024,L,6.25,8.5,45.425
2024-10-30,2024,S,1.25,24.0,43.65
2024-11-08,2024,L,14.5,-8.0,52.575
2024-11-12,2024,S,3.75,7.5,50.625
2024-11-13,2024,L,22.0,-10.25,50.975
2024-11-13,2024,L,21.75,-10.0,50.975
2024-11-14,2024,L,43.25,-43.0,50.675
2024-11-21,2024,L,8.25,-7.75,49.6
2024-11-22,2024,S,18.75,-12.75,53.675
2024-11-26,2024,S,28.75,-26.75,55.75
2024-12-03,2024,L,4.0,7.75,47.25
2024-12-09,2024,L,16.75,-15.25,31.325
2024-12-10,2024,L,30.5,-18.25,32.025
2024-12-10,2024,S,4.5,12.0,32.025
2024-12-11,2024,L,3.75,2.0,29.825
2024-12-16,2024,L,7.5,-4.25,29.3
2024-12-17,2024,L,16.75,-6.25,30.15
2024-12-18,2024,S,6.5,209.75,30.475
2025-01-21,2025,L,9.0,4.75,63.1
2025-01-24,2025,S,1.5,8.25,51.05
2025-01-28,2025,S,43.0,-29.5,47.925
2025-02-05,2025,S,37.75,-37.0,59.775
2025-02-10,2025,L,14.5,-2.75,67.05
2025-02-10,2025,L,17.25,-5.5,67.05
2025-02-11,2025,L,15.5,6.25,63.9
2025-02-11,2025,L,3.0,5.5,63.9
2025-02-13,2025,L,17.5,27.25,60.375
2025-02-14,2025,L,14.75,-7.25,61.175
2025-02-14,2025,L,11.0,-3.5,61.175
2025-02-14,2025,L,7.25,-2.75,61.175
2025-02-18,2025,S,15.25,-13.0,54.125
2025-02-18,2025,S,22.25,-20.0,54.125
2025-03-26,2025,S,0.5,50.0,73.175
2025-04-24,2025,L,8.75,49.25,169.85
2025-04-24,2025,L,8.25,45.5,169.85
2025-04-29,2025,S,29.25,-18.0,105.35
2025-05-07,2025,L,57.0,-1.75,90.875
2025-05-14,2025,S,8.75,-1.5,76.775
2025-05-28,2025,L,30.5,-21.0,62.825
2025-05-30,2025,S,57.0,-41.0,66.125
2025-06-05,2025,S,3.5,24.0,66.875
2025-06-11,2025,L,45.5,-22.25,56.425
2025-06-11,2025,L,54.25,-31.0,56.425
2025-06-11,2025,S,3.25,25.75,56.425
2025-06-11,2025,S,0.75,4.0,56.425
2025-06-17,2025,S,12.0,0.25,47.925
2025-06-20,2025,S,5.75,11.5,50.0
2025-06-20,2025,S,13.75,-0.75,50.0
2025-06-20,2025,S,8.25,1.75,50.0
2025-06-26,2025,L,4.25,-1.25,53.875
2025-06-30,2025,L,13.75,8.25,53.4
2025-07-02,2025,L,1.75,13.5,50.2
2025-07-02,2025,L,2.25,9.25,50.2
2025-07-02,2025,L,3.75,6.0,50.2
2025-07-09,2025,S,1.5,-1.25,38.325
2025-07-10,2025,L,14.25,-12.25,39.3
2025-07-18,2025,S,9.0,-6.25,42.75
2025-07-21,2025,L,30.75,-23.75,44.425
2025-07-25,2025,L,2.75,11.75,41.825
2025-07-25,2025,L,1.5,2.25,41.825
2025-07-25,2025,L,5.0,-1.25,41.825
2025-07-25,2025,L,7.0,-3.25,41.825
2025-07-28,2025,S,11.75,-9.75,41.25
2025-07-29,2025,S,7.75,7.75,40.35
2025-08-11,2025,S,23.0,11.5,60.15
2025-08-11,2025,S,2.0,10.25,60.15
2025-08-12,2025,L,2.0,9.25,62.0
2025-08-12,2025,L,0.75,5.0,62.0
2025-08-14,2025,L,5.5,-2.5,60.5
2025-08-19,2025,S,5.75,14.25,46.45
2025-08-26,2025,L,4.25,29.75,47.55
2025-08-26,2025,L,8.75,23.75,47.55
2025-09-04,2025,L,3.75,31.5,50.45
2025-09-04,2025,L,5.5,29.75,50.45
2025-09-04,2025,L,1.25,21.25,50.45
2025-09-09,2025,L,0.25,14.75,47.675
2025-09-11,2025,L,6.25,0.25,46.6
2025-09-12,2025,L,10.25,-6.0,48.425
2025-09-16,2025,S,8.25,-3.5,43.575
2025-09-17,2025,L,49.0,4.5,39.075
2025-09-19,2025,L,0.75,13.5,41.625
2025-09-19,2025,L,3.0,10.0,41.625
2025-09-23,2025,S,0.5,30.5,39.55
2025-09-24,2025,S,5.5,-4.75,42.9
2025-09-30,2025,L,13.0,19.5,48.3
2025-09-30,2025,L,17.25,14.0,48.3
2025-10-02,2025,S,20.75,-16.25,49.525
2025-10-02,2025,L,1.5,8.25,49.525
2025-10-03,2025,L,35.5,-27.75,48.625
2025-10-07,2025,S,5.75,-4.25,46.825
2025-10-10,2025,S,6.25,187.25,45.45
2025-10-10,2025,S,0.25,189.0,45.45
2025-11-05,2025,L,31.75,-29.5,54.975
2025-11-06,2025,S,1.25,33.0,52.925
2025-11-12,2025,S,15.5,-10.25,69.125
2025-12-03,2025,L,8.5,15.75,84.8
2025-12-03,2025,L,7.5,-2.5,84.8
2025-12-05,2025,S,15.0,-4.75,61.375
2025-12-08,2025,S,14.75,-11.75,51.375
2025-12-19,2025,L,9.0,1.25,65.075
2025-12-22,2025,L,4.25,2.5,66.025
2025-12-23,2025,L,0.25,22.75,63.7
2025-12-26,2025,S,4.25,4.25,60.725
2026-01-07,2026,L,42.75,-41.75,38.8
2026-01-12,2026,L,4.0,7.75,42.65
2026-01-29,2026,L,6.75,21.5,54.125
2026-02-25,2026,L,4.0,11.0,83.95
2026-02-25,2026,L,0.25,10.5,83.95
2026-04-09,2026,L,18.75,-7.5,89.675
2026-04-10,2026,S,11.0,-5.0,90.275
2026-04-13,2026,L,4.0,39.0,83.45
2026-04-15,2026,L,3.75,16.75,79.475
2026-04-15,2026,L,1.5,10.5,79.475
2026-04-20,2026,S,13.75,-10.75,64.425
2026-04-21,2026,S,6.25,9.0,63.9
2026-04-21,2026,S,9.75,5.5,63.9
2026-04-22,2026,L,14.0,3.25,63.45
2026-04-27,2026,S,18.75,-12.25,65.675
2026-04-27,2026,L,3.25,7.75,65.675
2026-04-29,2026,S,37.75,15.25,55.825
2026-04-29,2026,S,41.25,11.75,55.825
2026-04-29,2026,S,46.5,6.5,55.825
2026-05-04,2026,S,18.75,-4.5,58.525
2026-05-07,2026,L,50.0,-26.0,60.3
2026-05-07,2026,S,22.75,-13.5,60.3
2026-05-13,2026,L,0.75,43.75,59.0
2026-05-13,2026,L,1.75,37.0,59.0
2026-05-13,2026,L,3.0,3.75,59.0
2026-05-18,2026,L,33.5,15.0,60.275
2026-05-20,2026,L,18.25,6.0,63.75
2026-05-28,2026,L,3.75,15.0,62.825
2026-05-28,2026,L,4.75,9.5,62.825
2026-06-01,2026,L,15.0,-9.75,58.2
2026-06-03,2026,S,9.25,11.5,52.725
2026-06-16,2026,S,8.5,31.75,111.05
2026-06-17,2026,S,15.25,83.0,112.95
2026-07-01,2026,L,42.75,-36.5,84.1
2026-07-01,2026,S,5.0,21.5,84.1
2026-07-02,2026,S,17.25,6.0,85.875
2026-07-06,2026,L,4.25,17.0,80.75
2026-07-06,2026,L,11.5,9.75,80.75
2026-07-10,2026,L,0.75,15.5,70.8
2026-07-13,2026,S,2.0,35.5,68.3
2026-07-13,2026,S,3.25,12.5,68.3
2026-07-14,2026,L,13.75,5.5,64.65
2026-07-15,2026,S,18.0,-12.75,62.175
2026-07-16,2026,S,1.25,29.25,60.3
2026-07-16,2026,S,1.75,14.75,60.3
2026-07-22,2026,L,28.5,-7.25,62.45
2026-08-05,2026,S,3.75,11.25,88.675
2026-08-05,2026,S,5.25,9.75,88.675
2026-08-07,2026,L,26.5,-7.25,91.775
2026-08-17,2026,S,2.0,10.0,61.825
2026-08-19,2026,S,9.5,7.0,44.4
2026-08-20,2026,S,10.25,33.0,41.35
2026-08-20,2026,S,4.5,10.75,41.35
2026-08-21,2026,L,13.5,-8.25,43.025
2026-08-24,2026,L,9.25,-6.5,42.425
2026-08-25,2026,S,19.25,-16.25,42.225
2026-08-25,2026,S,12.75,-9.75,42.225
2026-08-28,2026,S,35.75,26.25,40.25
2026-09-03,2026,L,12.5,-10.0,45.975
2026-09-04,2026,L,17.25,-11.5,46.525
