date,yr,dir,trig,entry,exit,outcome,pts,mae_pts,stop_pts,fill_tick,exit_tick,sgn
2026-07-01,2026,L,7573.25,7571.75,7546.5,STOP,-25.25,25.25,25.25,188213,301512,1
2026-07-01,2026,S,7555.25,7556.75,7535.25,EOD,21.5,5.0,25.25,264087,335376,-1
2026-07-02,2026,S,7528.75,7530.25,7524.25,EOD,6.0,17.25,25.75,254877,533272,-1
2026-07-06,2026,L,7581.0,7579.5,7596.5,EOD,17.0,4.25,24.25,123862,273916,1
2026-07-06,2026,L,7588.25,7586.75,7596.5,EOD,9.75,11.5,24.25,151540,273916,1
2026-07-10,2026,L,7608.5,7607.0,7622.5,EOD,15.5,0.75,21.25,418785,616772,1
2026-07-13,2026,S,7593.5,7595.0,7559.5,EOD,35.5,2.0,20.5,302681,763108,-1
2026-07-13,2026,S,7570.5,7572.0,7559.5,EOD,12.5,3.25,20.5,497424,763108,-1
2026-07-14,2026,L,7585.25,7583.75,7589.25,EOD,5.5,13.75,19.5,257631,624857,1
2026-07-15,2026,S,7600.25,7601.75,7614.5,EOD,-12.75,18.0,18.75,316322,802619,-1
2026-07-16,2026,S,7595.0,7596.5,7567.25,EOD,29.25,1.25,18.0,479643,783835,-1
2026-07-16,2026,S,7580.5,7582.0,7567.25,EOD,14.75,1.75,18.0,578935,783835,-1
2026-07-22,2026,L,7561.75,7560.25,7541.5,STOP,-18.75,18.75,18.75,336829,464463,1
2026-08-05,2026,S,7769.25,7770.75,7759.5,EOD,11.25,3.75,26.5,465928,896192,-1
2026-08-05,2026,S,7767.75,7769.25,7759.5,EOD,9.75,5.25,26.5,622822,896192,-1
2026-08-07,2026,L,7784.0,7782.5,7775.25,EOD,-7.25,26.5,27.5,386254,740453,1
2026-08-17,2026,S,7775.75,7777.25,7767.25,EOD,10.0,2.0,18.5,406691,555121,-1
2026-08-19,2026,S,7734.0,7735.5,7728.5,EOD,7.0,9.5,13.25,584443,823343,-1
2026-08-20,2026,S,7693.0,7694.5,7661.5,EOD,33.0,10.25,12.5,470980,853858,-1
2026-08-20,2026,S,7670.75,7672.25,7661.5,EOD,10.75,4.5,12.5,666651,853858,-1
2026-08-21,2026,L,7700.75,7699.25,7686.25,STOP,-13.0,13.0,13.0,415513,507880,1
2026-08-24,2026,L,7678.75,7677.25,7670.75,EOD,-6.5,9.25,12.75,539952,650656,1
2026-08-25,2026,S,7674.25,7675.75,7688.5,STOP,-12.75,12.75,12.75,203705,264168,-1
2026-08-25,2026,S,7680.75,7682.25,7695.0,STOP,-12.75,12.75,12.75,428540,522468,-1
2026-08-28,2026,S,7745.25,7746.75,7758.75,STOP,-12.0,12.5,12.0,68596,72387,-1
2026-09-03,2026,L,7765.0,7763.5,7753.5,EOD,-10.0,12.5,13.75,680585,840065,1
2026-09-04,2026,L,7731.5,7730.0,7716.0,STOP,-14.0,14.0,14.0,438071,494647,1
