yr,n,net,pf,win,exp,vix,adr
2010,43,-840.0,0.8163934426229508,41.86046511627907,-19.53488372093023,22.54888888888889,13.815436241610739
2011,54,855.0,1.1233321312657771,46.2962962962963,15.833333333333334,24.202579365079366,18.28488372093023
2012,49,1805.0,1.4315600717274357,51.02040816326531,36.83673469387755,17.79888,13.5
2013,41,120.0,1.035190615835777,46.34146341463415,2.926829268292683,14.230119047619047,13.60515873015873
2014,48,-3727.5,0.4109047807190834,31.25,-77.65625,14.175992063492064,16.202
2015,61,-1842.5,0.8153807615230461,40.98360655737705,-30.204918032786885,16.674126984126985,21.648255813953487
2016,63,647.5,1.0839274141283215,47.61904761904761,10.277777777777779,15.82563492063492,18.8187984496124
2017,54,-3170.0,0.4510822510822511,35.18518518518518,-58.7037037037037,11.0902390438247,12.809338521400779
2018,84,5230.0,1.4367432150313153,46.42857142857143,62.26190476190476,16.639840637450202,33.15466926070039
2019,87,840.0,1.0630157539384846,47.12643678160919,9.655172413793103,15.387857142857142,24.55426356589147
2020,101,1807.5,1.0585093469288662,44.554455445544555,17.896039603960396,29.251304347826085,52.13127413127413
2021,104,4430.0,1.192399565689468,51.92307692307693,42.59615384615385,19.656150793650795,39.77131782945737
2022,51,7057.5,1.298288250211327,47.05882352941176,138.38235294117646,25.6371484375,73.34786821705427
2023,95,1175.0,1.04319058996508,46.31578947368421,12.368421052631579,16.849027237354086,43.81614785992218
2024,115,20000.0,1.6864595846919512,50.43478260869565,173.91304347826087,15.55065637065637,49.67567567567568
2025,112,30140.0,1.9576614504726348,53.57142857142857,269.10714285714283,18.926666666666666,70.33463035019456
2026,63,19472.5,2.1523894067169698,65.07936507936508,309.08730158730157,18.422513952628197,72.51551724137931
