date (CT)     bars  OHLCd  maxΔ  regd  r@ident  evtd  cause
--------------------------------------------------------------------------
2026-08-23      23      0  0.00     0        0     0  clean
2026-08-24     395      0  0.00     0        0     0  clean
2026-08-25     367      0  0.00     0        0     0  clean
2026-08-26     388      0  0.00     0        0     0  clean
2026-08-27     461      0  0.00     0        0     0  clean
2026-08-28     522      4  1.50     6        3     3  tick-data (tick@2144 first)
2026-08-30      31      0  0.00     0        0     0  clean
2026-08-31     403      0  0.00     0        0     0  clean
2026-09-01     576      0  0.00     0        0     0  clean
2026-09-02     464      0  0.00     0        0     0  clean
2026-09-03     503      0  0.00     0        0     0  clean
2026-09-04     428      0  0.00     0        0     0  clean
2026-09-06      13      0  0.00     0        0     0  clean
2026-09-07      68      0  0.00     0        0     0  clean
2026-09-08     496      0  0.00     0        0     0  clean
2026-09-09     510      0  0.00     0        0     0  clean
2026-09-10     596      0  0.00     0        0     0  clean
2026-09-11     516      0  0.00     0        0     0  clean
2026-09-13      12      0  0.00     0        0     0  clean
2026-09-14     327      0  0.00     0        0     0  clean
2026-09-15     420      0  0.00     0        0     0  clean
2026-09-16     567      0  0.00     0        0     0  clean
2026-09-17     450      0  0.00     0        0     0  clean
2026-09-18     444    418  4.25    76        0    43  tick-data (tick@8557 first)
2026-09-20      24      0  0.00     0        0     0  clean
2026-09-21     438     27  0.25     0        0     0  clean
2026-09-22     470    181  1.75     0        0     0  clean
2026-09-23     355    348  1.50     9        1    14  tick-data (tick@9912 first)
--------------------------------------------------------------------------
TOTAL        10267    978          91        4    60
