d,beta,r2,spot
2021-09-27,259861.8356719296,0.9028536916175524,4447.3701171875
2021-09-28,223673.57586850532,0.8949866096252175,4360.3701171875
2021-09-29,223777.20213983944,0.8521565566861622,4366.14990234375
2021-09-30,191713.54631980273,0.7658148075684756,4324.02978515625
2021-10-01,252142.94262750752,0.9809117426565241,4359.43017578125
2021-10-04,191605.21069174126,0.7867162481509947,4304.490234375
2021-10-05,224934.0668191813,0.8893656455827921,4357.56982421875
2021-10-06,269590.6419037169,0.950952782115043,4353.64990234375
2021-10-08,213205.3315190265,0.7630411428645019,4394.919921875
2021-10-11,236443.30591468295,0.9036626735352281,4369.39990234375
2021-10-12,218743.2275972404,0.8972126506895001,4344.580078125
2021-10-13,214274.47838258606,0.8806970019540168,4361.830078125
2021-10-14,252743.21128622186,0.045179155300744234,4432.97998046875
2021-10-15,116285.72278676207,0.6939951126261705,4469.85009765625
2021-10-18,111360.24018047795,0.6476831083588328,4486.27001953125
2021-10-19,64465.827080051495,0.306551826201653,4514.1201171875
2021-10-20,179745.33008251866,0.802076623480859,4534.02978515625
2021-10-21,194568.38466745956,0.8302318530098025,4544.0400390625
2021-10-22,226228.18258527006,0.8892594070593445,4544.9599609375
2021-10-25,211599.46349503635,0.8586314769675749,4566.43017578125
2021-10-26,210685.93842755927,0.9137904989795306,4585.68994140625
2021-10-27,224463.7044687025,0.9364813753672111,4564.35009765625
2021-10-28,195599.0297902561,0.8683132359468178,4585.259765625
2021-10-29,219066.79112577645,0.8834619147703255,4599.89013671875
2021-11-01,216096.08344057787,0.8777483700030174,4609.56005859375
2021-11-02,198481.88658224142,0.8131508793983332,4631.97021484375
2021-11-03,210757.26784904805,0.8392811472728241,4660.740234375
2021-11-04,200833.23879474463,0.7643484873623294,4671.330078125
2021-11-05,214588.90597565245,0.853296865724367,4698.66015625
2021-11-09,208906.86579131562,0.6693030921416884,4684.02001953125
2021-11-10,254621.91595138208,0.7500725613870769,4641.14013671875
2021-11-11,250901.30464098588,0.7443377057570273,4652.009765625
2021-11-12,280753.95984212233,0.9566111371860956,4681.89013671875
2021-11-15,294513.12334234227,0.9606028144625701,4678.64013671875
2021-11-16,200116.9378766895,0.7490481793670634,4707.25
2021-11-17,202281.55505850379,0.8185364588889406,4695.740234375
2021-11-18,147565.74424443976,0.7378300542153793,4706.31005859375
2021-11-19,227576.80738027726,0.7910175420521218,4697.169921875
2021-11-22,191500.28134767295,0.7746724653485193,4709.81982421875
2021-11-23,241435.90874216118,0.8058729520769952,4686.68017578125
2021-11-24,240024.4993026199,0.8232783985944421,4698.06005859375
2021-11-26,256404.05376340018,0.7675733058651396,4612.68994140625
2021-11-29,269118.30995838484,0.7178830176419037,4660.490234375
2021-11-30,267091.25363269943,0.8716633087206915,4580.169921875
2021-12-01,214397.43394956714,0.7822249699808134,4552.3798828125
2021-12-02,252080.23239217652,0.8272298407136359,4587.56982421875
2021-12-03,261967.44705951476,0.8748559628586458,4510.2099609375
2021-12-06,284858.6258336348,0.9515395336884254,4591.2900390625
2021-12-07,267944.8865329231,0.9414564321805463,4675.5498046875
