base,scaling,spot,r2_fit,r2_holdout,ratio_med_fit,ratio_med_hold,ratio_iqr_fit
net_d90,x100spot,spot_mq,0.8140938227074559,0.9740880281009054,1.00571935348223,1.0427858676846167,0.31421868761182403
net_d90,x100spot,spot_orats,0.8140429612540836,0.9740187771675262,1.0056735311837222,1.042759663733843,0.316337772558821
net_ex1,x100spot,spot_mq,0.8035986112582151,-5.710160183024777e+42,0.950824801029754,0.9909299801421949,0.29223117151146094
net_ex1,x100spot,spot_orats,0.8035304332168413,-5.736705372640815e+42,0.950739771660544,0.9910831858857265,0.29269691141583376
net_all,xspot2_001,spot_mq,0.6421799075875728,-1.6818556634826022e+42,2.14819434811161,1.570330526863121,1.0480561849083512
net_all,xspot2_001,spot_orats,0.6421753344314797,-1.6975291116929698e+42,2.1482789966980356,1.5721318856404047,1.0483935789348613
net_ex1,xspot2_001,spot_orats,0.6357913747829661,-1.6975291116929698e+42,2.240141625642337,1.6358212923216457,0.8430088359166694
net_ex1,xspot2_001,spot_mq,0.635770847216442,-1.6818556634826022e+42,2.240229488621802,1.6350121791526533,0.8444477086619722
net_all,x100spot,spot_mq,0.6197465926402939,-5.710160183024777e+42,0.9187705977133809,0.9757470497404233,0.3919375951117038
net_all,x100spot,spot_orats,0.619554650960103,-5.736705372640815e+42,0.9189626307363287,0.9755493407438078,0.39175487790116126
net_d90,xspot2_001,spot_orats,0.5812156428111528,0.7685094323899306,2.379223256335231,1.736181462213514,0.894553738650242
net_d90,xspot2_001,spot_mq,0.5811983799373559,0.7687172896314679,2.3798878261513856,1.7351607828643856,0.8878788800843458
net_all,x100,spot_mq,-0.0016946433025244456,-1.9386877259303433e+35,3734.3368219550453,5839.56126715438,1549.2741773188418
net_all,x100,spot_orats,-0.0016946433025244456,-1.9386877259303433e+35,3734.3368219550453,5839.56126715438,1549.2741773188418
net_ex1,x100,spot_mq,-0.001733740051287791,-1.9386877259303433e+35,3873.722684498067,6034.56178552198,1146.772943448104
net_ex1,x100,spot_orats,-0.001733740051287791,-1.9386877259303433e+35,3873.722684498067,6034.56178552198,1146.772943448104
net_d90,x100,spot_orats,-0.0017894463905803182,-0.10076569437214511,4203.98201569561,6375.893396130303,1292.5991587926037
net_d90,x100,spot_mq,-0.0017894463905803182,-0.10076569437214511,4203.98201569561,6375.893396130303,1292.5991587926037
net_d90,x100spot2_001,spot_mq,-1745.4607217232685,-3361.649546478383,0.023798878261513858,0.01735160782864386,0.008878788800843456
net_d90,x100spot2_001,spot_orats,-1745.8743727510112,-3359.922233207551,0.02379223256335231,0.017361814622135145,0.008945537386502424
net_ex1,x100spot2_001,spot_mq,-2184.1233837512523,-1.6818556634826025e+46,0.022402294886218022,0.01635012179152653,0.008444477086619728
net_ex1,x100spot2_001,spot_orats,-2184.6276750619013,-1.69752911169297e+46,0.022401416256423366,0.01635821292321646,0.008430088359166688
net_all,x100spot2_001,spot_mq,-2843.5178184723472,-1.6818556634826025e+46,0.0214819434811161,0.015703305268631212,0.010480561849083508
net_all,x100spot2_001,spot_orats,-2844.5626523704946,-1.69752911169297e+46,0.021482789966980356,0.01572131885640405,0.010483935789348614
