spec,medabs_fit,medbias_fit,exact_fit,within5_fit,within25_fit,agree_fit,n_fit,medabs_hold,medbias_hold,exact_hold,within5_hold,within25_hold,agree_hold,n_hold
ex1|cspot|W10|near,10.0,0.0,0.11131386861313869,0.3266423357664234,0.656934306569343,0.9251824817518248,548,10.0,-5.0,0.14873417721518986,0.4287974683544304,0.8449367088607594,0.9572784810126582,632
ex1|cspot|W10|maxswing,10.0,0.0,0.08941605839416059,0.2773722627737226,0.614963503649635,0.8996350364963503,548,10.0,-5.0,0.12341772151898735,0.36075949367088606,0.7848101265822784,0.9208860759493671,632
ex1|mqspot|W10|near,10.0,0.0,0.11131386861313869,0.3248175182481752,0.6587591240875912,0.9233576642335767,548,10.0,-5.0,0.14873417721518986,0.43037974683544306,0.8433544303797469,0.9572784810126582,632
ex1|mqspot|W10|maxswing,10.0,0.0,0.08941605839416059,0.2773722627737226,0.614963503649635,0.8996350364963503,548,10.0,-5.0,0.12341772151898735,0.36075949367088606,0.7848101265822784,0.9208860759493671,632
all|cspot|W10|near,10.0,0.0,0.0948905109489051,0.2956204379562044,0.6076642335766423,0.8576642335766423,548,10.0,0.0,0.14082278481012658,0.36075949367088606,0.759493670886076,0.8670886075949367,632
all|mqspot|W10|near,10.0,0.0,0.09671532846715329,0.29744525547445255,0.6113138686131386,0.8540145985401459,548,10.0,0.0,0.14240506329113925,0.3623417721518987,0.7658227848101266,0.8813291139240507,632
ex1|cspot|W15|near,15.0,0.0,0.09124087591240876,0.3248175182481752,0.6824817518248175,0.927007299270073,548,10.0,-5.0,0.14715189873417722,0.40031645569620256,0.8765822784810127,0.9636075949367089,632
ex1|cspot|W15|maxswing,15.0,0.0,0.07664233576642336,0.28284671532846717,0.6313868613138686,0.9087591240875912,548,10.0,-5.0,0.12658227848101267,0.34651898734177217,0.8259493670886076,0.9224683544303798,632
ex1|mqspot|W15|near,15.0,0.0,0.09124087591240876,0.3284671532846715,0.6843065693430657,0.927007299270073,548,10.0,-5.0,0.14556962025316456,0.3971518987341772,0.8765822784810127,0.9667721518987342,632
ex1|mqspot|W15|maxswing,15.0,0.0,0.07664233576642336,0.28284671532846717,0.6313868613138686,0.9087591240875912,548,10.0,-5.0,0.12658227848101267,0.34651898734177217,0.8259493670886076,0.9224683544303798,632
ex1|cspot|W20|near,15.0,0.0,0.12043795620437957,0.2956204379562044,0.7153284671532847,0.9306569343065694,548,10.0,-5.0,0.1550632911392405,0.4050632911392405,0.9003164556962026,0.9651898734177216,632
ex1|mqspot|W20|near,15.0,0.0,0.12043795620437957,0.2956204379562044,0.7153284671532847,0.9306569343065694,548,10.0,-5.0,0.15664556962025317,0.40664556962025317,0.9003164556962026,0.9667721518987342,632
ex1|cspot|W25|near,15.0,0.0,0.13138686131386862,0.3029197080291971,0.7773722627737226,0.9343065693430657,548,10.0,-5.0,0.1661392405063291,0.3987341772151899,0.9477848101265823,0.9620253164556962,632
ex1|cspot|W25|maxswing,15.0,0.0,0.1259124087591241,0.2737226277372263,0.7518248175182481,0.9251824817518248,548,10.0,-5.0,0.15981012658227847,0.39556962025316456,0.9604430379746836,0.9604430379746836,632
ex1|mqspot|W25|near,15.0,0.0,0.13138686131386862,0.30474452554744524,0.7773722627737226,0.9397810218978102,548,10.0,-5.0,0.1661392405063291,0.3987341772151899,0.9477848101265823,0.9636075949367089,632
ex1|mqspot|W25|maxswing,15.0,0.0,0.1259124087591241,0.2737226277372263,0.7518248175182481,0.9251824817518248,548,10.0,-5.0,0.15981012658227847,0.39556962025316456,0.9604430379746836,0.9604430379746836,632
ex1|cspot|W35|near,15.0,0.0,0.08394160583941605,0.23357664233576642,0.7335766423357665,0.9470802919708029,548,10.0,-5.0,0.09018987341772151,0.31645569620253167,0.8639240506329114,0.9620253164556962,632
ex1|cspot|W35|maxswing,15.0,0.0,0.07846715328467153,0.2208029197080292,0.698905109489051,0.9343065693430657,548,10.0,-5.0,0.08702531645569621,0.3069620253164557,0.8481012658227848,0.9588607594936709,632
ex1|mqspot|W35|near,15.0,0.0,0.08394160583941605,0.23357664233576642,0.7335766423357665,0.9470802919708029,548,10.0,-5.0,0.09018987341772151,0.31645569620253167,0.8639240506329114,0.9604430379746836,632
ex1|mqspot|W35|maxswing,15.0,0.0,0.07846715328467153,0.2208029197080292,0.698905109489051,0.9343065693430657,548,10.0,-5.0,0.08702531645569621,0.3069620253164557,0.8481012658227848,0.9588607594936709,632
all|cspot|W15|near,15.0,0.0,0.09671532846715329,0.2937956204379562,0.6259124087591241,0.8722627737226277,548,10.0,0.0,0.125,0.3512658227848101,0.7737341772151899,0.8623417721518988,632
all|mqspot|W15|near,15.0,0.0,0.09671532846715329,0.2956204379562044,0.6259124087591241,0.8759124087591241,548,10.0,0.0,0.125,0.3512658227848101,0.7737341772151899,0.8734177215189873,632
all|cspot|W15|maxswing,15.0,0.0,0.08394160583941605,0.2518248175182482,0.583941605839416,0.8558394160583942,548,15.0,0.0,0.11075949367088607,0.31329113924050633,0.7436708860759493,0.8417721518987342,632
all|mqspot|W15|maxswing,15.0,0.0,0.08394160583941605,0.2518248175182482,0.583941605839416,0.8558394160583942,548,15.0,0.0,0.11075949367088607,0.31329113924050633,0.7436708860759493,0.8417721518987342,632
all|cspot|W20|near,15.0,0.0,0.10218978102189781,0.2645985401459854,0.6496350364963503,0.8813868613138686,548,15.0,0.0,0.12183544303797468,0.33544303797468356,0.7958860759493671,0.8765822784810127,632
all|mqspot|W20|near,15.0,0.0,0.10218978102189781,0.26277372262773724,0.6551094890510949,0.885036496350365,548,15.0,0.0,0.12183544303797468,0.33544303797468356,0.7974683544303798,0.8829113924050633,632
all|cspot|W25|near,15.0,0.0,0.14051094890510948,0.2791970802919708,0.7116788321167883,0.8813868613138686,548,15.0,0.0,0.13924050632911392,0.33069620253164556,0.8496835443037974,0.8813291139240507,632
all|mqspot|W25|near,15.0,0.0,0.14051094890510948,0.28102189781021897,0.7171532846715328,0.8905109489051095,548,15.0,0.0,0.13765822784810128,0.3291139240506329,0.8512658227848101,0.8829113924050633,632
all|cspot|W10|maxswing,17.5,0.0,0.07846715328467153,0.2645985401459854,0.593065693430657,0.8467153284671532,548,10.0,0.0,0.125,0.3227848101265823,0.7373417721518988,0.8433544303797469,632
all|mqspot|W10|maxswing,17.5,0.0,0.07846715328467153,0.2645985401459854,0.593065693430657,0.8467153284671532,548,10.0,0.0,0.125,0.3227848101265823,0.7373417721518988,0.8433544303797469,632
ex1|cspot|W20|maxswing,20.0,0.0,0.09854014598540146,0.2591240875912409,0.6478102189781022,0.916058394160584,548,10.0,0.0,0.14556962025316456,0.3528481012658228,0.8243670886075949,0.930379746835443,632
ex1|mqspot|W20|maxswing,20.0,0.0,0.09854014598540146,0.2591240875912409,0.6478102189781022,0.916058394160584,548,10.0,0.0,0.14556962025316456,0.3528481012658228,0.8243670886075949,0.930379746835443,632
ex1|cspot|W50|near,20.0,0.0,0.11131386861313869,0.2518248175182482,0.6642335766423357,0.9379562043795621,548,15.0,-5.0,0.1930379746835443,0.3512658227848101,0.8544303797468354,0.9572784810126582,632
ex1|cspot|W50|maxswing,20.0,0.0,0.09854014598540146,0.23905109489051096,0.6423357664233577,0.9288321167883211,548,15.0,-5.0,0.189873417721519,0.34651898734177217,0.8496835443037974,0.9572784810126582,632
ex1|mqspot|W50|near,20.0,0.0,0.11131386861313869,0.2518248175182482,0.6642335766423357,0.9379562043795621,548,15.0,-5.0,0.19462025316455697,0.3528481012658228,0.8560126582278481,0.9572784810126582,632
