level,hi,grid,band,exact_fit,w25_fit,medae_fit,exact_hold,w25_hold,medae_hold
cr,9999,any,none,0.8105646630236795,0.8123861566484517,0.0,0.9082278481012658,0.9082278481012658,0.0
cr,9999,any,b20,0.7996357012750456,0.8014571948998178,0.0,0.9145569620253164,0.9145569620253164,0.0
cr,365,any,none,0.7868852459016393,0.7887067395264117,0.0,0.8939873417721519,0.8939873417721519,0.0
cr,365,any,b20,0.7795992714025501,0.7814207650273224,0.0,0.8955696202531646,0.8955696202531646,0.0
cr,9999,any,b15,0.7632058287795993,0.7650273224043715,0.0,0.8971518987341772,0.8971518987341772,0.0
cr,365,any,b15,0.7595628415300546,0.761384335154827,0.0,0.8876582278481012,0.8876582278481012,0.0
cr,9999,m25,none,0.7468123861566485,0.7522768670309654,0.0,0.8971518987341772,0.9018987341772152,0.0
cr,9999,m25,b20,0.7340619307832422,0.7395264116575592,0.0,0.8987341772151899,0.9050632911392406,0.0
cr,365,m25,none,0.7158469945355191,0.7213114754098361,0.0,0.8829113924050633,0.8876582278481012,0.0
cr,365,m25,b20,0.7067395264116576,0.7122040072859745,0.0,0.8829113924050633,0.8892405063291139,0.0
cr,9999,m25,b15,0.6958105646630237,0.7012750455373407,0.0,0.884493670886076,0.8892405063291139,0.0
cr,365,m25,b15,0.6848816029143898,0.6903460837887068,0.0,0.8781645569620253,0.8829113924050633,0.0
ps,365,m25,b20,0.7431693989071039,0.7431693989071039,0.0,0.8481012658227848,0.8481012658227848,0.0
ps,365,any,b20,0.7413479052823315,0.7413479052823315,0.0,0.8496835443037974,0.8496835443037974,0.0
ps,365,m25,b15,0.7413479052823315,0.7413479052823315,0.0,0.8481012658227848,0.8481012658227848,0.0
ps,9999,m25,b20,0.7413479052823315,0.7413479052823315,0.0,0.865506329113924,0.865506329113924,0.0
ps,365,any,b15,0.7395264116575592,0.7395264116575592,0.0,0.8496835443037974,0.8496835443037974,0.0
ps,9999,any,b20,0.7395264116575592,0.7395264116575592,0.0,0.8686708860759493,0.8686708860759493,0.0
ps,9999,m25,b15,0.7395264116575592,0.7395264116575592,0.0,0.8686708860759493,0.8686708860759493,0.0
ps,9999,any,b15,0.7377049180327869,0.7377049180327869,0.0,0.8718354430379747,0.8718354430379747,0.0
ps,365,m25,none,0.7140255009107468,0.7140255009107468,0.0,0.8481012658227848,0.8481012658227848,0.0
ps,365,any,none,0.7122040072859745,0.7122040072859745,0.0,0.8496835443037974,0.8496835443037974,0.0
ps,9999,m25,none,0.7103825136612022,0.7103825136612022,0.0,0.8639240506329114,0.8639240506329114,0.0
ps,9999,any,none,0.7085610200364298,0.7085610200364298,0.0,0.8670886075949367,0.8670886075949367,0.0
