year,sessions,raw_cr0,raw_gw0,sessions_hist,cr0_nonnull,cr0_distinct,ps0_distinct,hvl0_distinct,cr0gex_distinct,orats_days,dying_expiry_days
2021,65,65,65,66,66,15,42,22,15,250,158
2022,251,251,251,251,251,193,190,207,193,251,220
2023,234,234,234,234,234,198,203,207,198,234,233
2024,249,249,249,249,249,199,226,216,199,249,249
2025,250,250,250,250,250,212,225,221,212,250,250
2026,134,134,134,133,133,108,120,114,108,133,133
